CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",0.91244036,0.52705526,5.7623005,1.244011,2.6157994,-0.61114734,-2.5956955,-1.4554819,1.1274709,1.6281029,-0.62725586,-0.5389533,0.691103,-0.30888903,0.79940146,1.3642739,0.10416356,-2.6815767,1.4594606,0.78106153,0.6718445,-0.27822188,-1.3894945,-0.30434978,-0.7744983,1.5167397,-2.1620507,-0.4120484,-1.4385443,-2.5675135,-2.9768023,-2.3062048,-1.4231879,0.38394335,-0.047605395,-2.2151048,-1.4244715,-0.5930086,1.2219754,-1.5493766,-1.0450741,0.06344332,-1.1299697,1.0625762,1.9584279,-1.504261,0.040942937,-3.0800757,1.1840665,-0.9088056,-2.1501627,0.42732936,0.4853687,1.9559835,0.14617977,2.3257406,-2.6738708,-1.2956319,-1.4555856,-0.31068772,-0.5275288,0.36075193,-1.0688201,-2.4132247,-5.202094,-1.2544881,-2.3134277,-0.3528516,-0.2286288,-1.590212,0.7705156,-0.7886646,-8.376668,-0.9387159,-0.28553998,-0.7452351,-0.95813125,-1.1223177,-0.71463746,-1.3450146,0.9432894,1.5212204,1.0634812,0.75848854,1.936347,-0.23325396,1.717737,0.21071042,2.7120361,1.2480373,1.9858489,-0.047674872,0.6011721,-4.2386136,1.2651842,-2.4380445,0.82678723,-0.91729945,0.41978702,-0.057426564,-0.66012526,3.0557873,1.292479,2.6260808,1.04258,-0.20208628,1.5883206,-0.68278325,1.1362417,-2.8339999,-1.1567601,-0.06999523,0.1759349,-0.033353515,2.0192287,0.4710522,-1.1107135,0.3905271,13.70905,-0.92760473,-2.626895,19.78619,-1.0893307,-1.2278025,0.65280205,0.35726416,1.143467,1.172198
"!",5.5018454,-0.24788223,34.007404,4.7917595,7.733166,-3.9760394,4.550453,-3.5318005,-4.6587563,8.817821,1.6154312,1.2432743,1.6810815,4.6876097,11.523369,5.5830927,-1.869528,-12.770673,5.9312835,1.3165045,-1.6060873,1.7852161,-4.2018266,3.4822867,1.3196708,4.027514,3.6712594,3.6348622,-15.824997,0.39300224,-10.306133,0.57559973,-8.893904,4.274123,0.34178534,0.4446654,-1.1279584,-5.0588474,19.79985,-2.5158577,-15.600252,14.1377325,1.7582444,12.686402,-0.03730153,-0.8538748,-1.7946075,-4.869375,8.384113,-0.19708163,-15.25252,-17.421997,-2.1909528,5.977237,6.9693427,6.004712,-10.062731,-9.766416,18.960344,3.139981,-2.1891901,-8.15664,-9.903337,-1.3571138,0.3696691,-3.7321026,1.704091,-0.2255652,-16.055046,0.057648197,0.7624235,5.5990634,-22.245234,1.1036578,1.7736808,-5.4687815,3.1598744,-6.573766,-7.696745,-13.422808,25.435707,11.505273,7.936902,10.384262,18.140963,-8.019081,11.618524,-3.3801396,6.442642,-2.623393,4.1645675,2.8805816,11.36055,-3.2748623,2.3062196,-8.191074,-5.869347,-27.199938,-0.12102118,-9.624374,0.93276536,6.0649233,-3.259021,17.912388,-3.4005547,1.2397069,5.4205065,3.6199384,8.084387,-7.448696,-2.882094,-5.1819263,1.9408166,15.892871,8.442008,0.25584152,0.16124785,2.5266013,18.15034,0.0017081257,-8.854912,16.002125,-4.3997226,0.18336211,5.1038294,8.088913,-2.0646389,8.103869
"#",5.6614127,0.94105834,5.930609,-1.654577,12.550624,-8.834149,1.5651388,-5.437858,-2.6045315,2.0049057,-0.28378806,-6.7954,-0.96407074,-1.8604484,15.889073,6.305299,-24.256477,-19.850819,8.633147,2.7431564,-4.300929,-0.7143394,-22.062866,1.3400307,-2.3169532,13.279858,2.7182808,5.439563,-12.414463,-0.9987186,-6.4476924,0.56378096,-12.081615,11.082928,13.914131,5.3285246,-1.1825528,-7.3412805,11.181635,-3.957203,-12.001979,30.957243,2.0636227,-0.5594044,7.2832503,-10.469049,-22.51708,-2.0710292,7.4308224,2.6728044,-5.93861,-6.605317,-17.004118,15.019843,9.874605,18.432869,-23.237467,-10.171201,5.7581153,9.648312,-3.445901,-8.426412,-3.334631,-9.6591015,0.017601367,-1.9873916,3.1601596,17.057093,-19.166813,1.6650318,0.3901823,3.3324192,-3.7572696,4.971437,19.032366,-18.576393,-6.910554,-7.7478833,-8.593584,-20.34347,23.452854,0.56685644,8.973536,12.064093,20.884626,-11.159225,23.277035,-2.7062414,18.080593,4.3204417,18.60085,-0.7531563,11.060074,-12.50393,4.800586,-9.665551,-8.396521,-11.516549,1.321412,-6.254283,2.150303,2.903111,1.2025818,14.43259,1.2584381,3.317654,8.076703,5.142101,15.165796,-2.882812,7.2552752,-5.2620077,3.4103618,9.324079,1.471169,-2.460775,0.9857087,15.707062,4.5381756,1.7973839,-15.950009,7.916992,1.3688302,-5.5706186,22.044586,11.854806,-2.8848486,10.550167
"%",12.991874,8.12597,33.137707,-5.3675838,8.352471,-20.820618,1.8561028,-8.451964,2.5189855,6.265173,-0.06731739,5.9545903,-1.0850207,3.0034776,13.860524,8.943093,-19.51659,-0.5981187,6.816017,-1.8910434,-4.186334,-2.355611,-15.501137,-2.2057319,-4.4808774,1.8011528,2.124361,1.9644443,-13.89406,-2.3823912,-12.509467,-2.5140698,-0.64957273,5.518371,9.807164,-3.4666438,1.4565622,-6.616436,20.614738,2.3150718,-26.33199,1.0734148,-3.2238433,28.95847,0.39989072,-9.890843,-13.226484,-9.500214,2.561224,0.44618487,-11.157732,-24.192923,-6.2841706,15.762651,0.48895666,5.312713,-14.955701,-9.984194,1.8712968,20.968468,0.81129616,-10.03922,-20.765617,-3.5033674,0.48896658,-0.6487398,0.68524337,2.903438,-16.990107,1.3076617,4.0739923,16.314362,-3.191598,8.320451,12.126768,-5.844923,-0.24481227,-10.500089,-2.3503423,-25.799126,28.86912,0.421855,13.405027,-1.5407528,6.0024414,-18.606112,19.082933,-1.2837238,7.3707824,1.9205897,28.86805,3.0797927,23.126074,-6.708012,10.576276,-0.2461193,-5.921123,-14.678293,0.822688,-4.179426,-3.9538114,5.870749,8.124448,3.5077202,-3.2102058,12.742719,4.379279,0.3888251,9.684776,-3.9233158,-3.2572672,-1.5886111,3.6981149,7.1960216,-3.9882393,-3.4551563,-1.8728876,5.220972,22.065414,-0.4664916,-6.289768,15.629842,-3.748378,-4.70319,8.217455,31.014105,1.6383482,9.696493
"&",9.1517515,4.218988,9.769977,3.0061495,10.3192215,-23.42285,0.44775414,-5.4810686,1.7175963,1.0632825,-2.8424063,-5.6524563,-0.84123236,2.9852886,4.8807993,5.699512,-6.5612082,-10.977418,3.877953,1.437579,0.25457186,1.002732,-6.733918,5.4069657,-1.1820965,3.9363887,1.4005185,5.511062,-4.6784,-1.5017796,-14.277605,0.6662487,-4.372012,4.0597196,8.902145,3.2329514,-2.2859967,-2.637926,5.79845,1.7243553,-11.319456,18.04668,2.0668254,1.4132866,4.8709683,-7.755237,-3.8831913,-3.095118,6.5401773,1.23235,-8.922034,-8.033083,-18.003744,10.356761,0.62326264,8.417223,-4.477253,-5.7162943,1.3173902,-2.3679965,3.2757337,-7.335946,-8.329199,-1.9125421,0.31248334,-1.4595021,1.5982088,7.545031,-8.787916,-2.284446,-4.00888,1.0981888,0.49687457,3.6725342,10.203476,-2.2661417,-3.3602102,-3.7055476,-5.1462736,-2.7111866,4.960757,13.526793,11.125358,4.3399153,3.2878654,-30.390491,3.5410943,2.6621315,1.970517,4.27168,5.4081206,-2.5075798,12.432101,-5.705159,5.4511123,-2.9735808,-3.511833,-11.299485,-0.57404536,-3.2946253,-0.35151383,4.5839505,-1.8936651,8.278094,-2.9166932,6.8440843,0.8196729,0.7640098,10.989354,-5.571502,4.3287244,-11.731295,2.9557042,6.435338,7.723239,-0.26639113,-1.8902141,10.531418,11.54372,-0.47159058,-10.45904,1.726822,-1.9186536,-3.889912,0.18522596,15.566883,-3.504775,10.310024
"+",10.12262,2.728603,14.968286,1.1931216,14.54555,-9.905319,6.1852875,-3.6782563,1.7270496,7.4244375,0.050459854,-0.4185488,1.1838504,4.144738,4.6821246,1.4952999,-10.20081,-16.348883,4.993005,0.06909336,-1.203841,-2.7491565,-0.9680731,1.1431645,1.0762539,6.7033277,3.8504543,3.2091193,-9.739283,1.0012786,-2.2438293,-2.8376286,-8.616107,6.382079,5.7444916,0.026460461,-0.72902936,-7.1158066,17.035963,-2.5828867,-7.194029,2.447787,1.9779493,3.9164805,4.8779817,-11.585002,0.87604177,-6.166816,7.498173,3.801637,-17.062141,-8.958434,-10.246041,10.072832,1.9097638,12.176847,-13.199643,-18.575575,5.746199,24.538988,-1.2015245,-7.012397,-11.841976,-2.252276,2.3873131,-1.0706979,2.1368175,10.733539,-17.925625,4.5059633,5.808542,5.6691456,-7.6654143,11.172109,7.0640903,-3.8896122,-0.16381902,-10.165736,-6.900134,-1.7169832,37.00242,17.58736,17.447239,1.5716406,3.6691747,-14.132009,12.0754175,-0.94662684,12.746891,2.359652,19.106495,0.45782304,6.022309,-13.829898,5.606392,-5.286773,-1.9315768,-7.3817053,-0.053549245,-4.978415,-1.4996625,6.1103206,4.3856225,7.6468005,-1.7194911,7.0144076,5.8320365,3.8692176,10.909586,-3.88867,1.23572,-16.195732,2.9161515,5.7651367,4.761378,-1.5313739,-1.1208233,7.5634913,18.44322,-0.75150317,-13.062399,4.4623904,-3.7401688,-3.1954424,0.16991842,27.111115,-1.4582961,8.29391
",",-0.5575876,0.4253138,19.822292,1.7284428,3.494399,-0.6059347,-0.3610673,-1.791164,0.4032725,1.3423048,-1.5165596,-0.8909643,-0.09346406,-0.35384554,1.1788822,-0.16797303,-0.019987985,-10.129986,1.8435413,1.0813878,-0.49349836,-0.76501805,-1.5241791,-1.3055483,-1.1745734,2.0679533,-1.2400134,0.24965435,-0.9653043,0.56061864,-1.5257877,-4.442097,-1.1784105,1.0551915,0.14156754,-1.1679056,-1.0465802,-1.0431691,2.2255654,-1.484772,-0.9736837,0.19531646,1.9373167,2.21778,1.5016346,-1.8240974,0.11435389,-4.690681,0.93367183,-1.1800163,-2.489736,-3.2449293,0.7345995,1.5569724,1.0748792,2.7862902,-2.0155828,-1.4049833,1.8417201,0.78838104,0.57160187,0.56779814,-1.13897,-0.97927976,-15.106376,-0.34685844,-0.51400834,-0.18868804,-0.36063722,-0.8966997,1.2327181,-0.64844716,-10.156746,-0.9992483,0.2797789,-2.5202732,-0.1391265,0.86836594,-0.5785759,-1.4343607,0.83906883,5.532816,1.122401,0.089664236,2.28232,-1.2240565,2.5130768,-0.39002872,1.8047614,1.6036781,3.9708412,-0.11463881,1.3804508,-2.8384347,1.6030123,-1.9789321,1.036733,-1.4719348,0.40201727,0.27446282,-0.09742185,2.3781297,0.1250377,2.5634925,-0.19112562,0.8374167,1.6025041,-0.58964086,0.53118795,-1.5385888,-0.78550386,-1.2764286,-0.080676846,1.5663894,1.9252898,1.0182569,-0.84034777,0.22762454,12.895794,-0.87226963,-3.8039515,12.355505,-1.3530356,-0.79250395,2.4660516,1.6976936,0.4431723,0.96170056
"-",2.9241357,-1.8018651,16.93373,1.5009713,2.631961,-1.060765,1.6795527,-3.8986018,1.3341705,2.5541408,0.93826133,-2.304094,1.1053418,-0.4566418,0.29025725,2.1936095,-0.10791114,-7.1650186,2.7761147,-1.4332811,-0.87329876,2.127816,-1.3685768,1.3429034,-1.092611,2.3747854,-1.6790516,-0.9761187,-3.5472064,-1.0427967,-8.735406,-2.9971254,-2.517074,4.8345995,2.6773798,-2.138078,-0.1651008,-2.7060049,1.1785129,-1.3745613,-1.6727376,0.48535025,0.14744517,2.4970794,-0.7984022,-1.5741565,-0.50783753,-2.8834066,2.656316,0.1393549,-6.7610955,-5.725974,1.7593414,1.2596251,0.39354455,1.9448012,-1.0785506,-3.0980618,3.9376347,1.8308579,1.4886874,-0.1649163,-0.57881695,-3.0858805,-10.823894,-0.623511,-0.57882446,-0.063510485,0.14698714,-0.49098513,-2.0721977,1.6561517,-1.8900894,0.25350156,0.39794955,-0.47759902,3.673696,-3.0746505,-0.95829374,-2.3144274,1.5753131,2.7201214,0.52181643,-0.71546906,1.2415864,-2.110963,1.2477176,0.51773274,5.1377378,0.25876528,0.06408048,-0.13392967,4.52567,-2.8360066,-0.95350635,-4.1341953,-0.106749676,0.15739794,-1.0482448,-3.1287642,-1.3321536,4.9449525,1.9203255,3.7046237,0.74320847,2.3001513,0.24865963,-0.35940087,2.715579,-1.4356493,-0.3850652,1.0077254,-0.08878748,0.8791847,0.37268847,-0.043014623,-0.3430082,0.57389116,7.311976,0.07723898,-5.4305286,3.4382532,-1.2425443,-0.97495973,-1.7174909,-0.35795105,-0.5528393,1.9917449
".",-0.06848686,1.3984152,7.6682897,2.4746218,3.7899787,-0.61201495,-0.83341265,-3.9638174,0.33444646,0.9649822,-1.5691816,-0.21380742,0.13555045,0.30029988,1.8281599,-0.4279903,-0.18376033,-8.500152,3.3314588,1.1806384,-1.0168403,-0.046041206,-1.7544674,-0.763597,-0.99180627,0.9122718,-0.9163297,-1.5343758,-1.3405926,0.14167471,-1.6204953,-3.1092794,-1.6463156,0.3351705,-0.67400104,-1.2307397,-1.1331855,-0.91723585,1.5633783,-1.6611354,-0.3348368,-0.05776881,4.183169,1.761184,0.64013445,-1.7975312,-0.5362131,-3.693938,1.1075486,-0.82901573,-2.3325124,-4.301335,0.42207947,1.9886883,1.0336461,2.748324,-1.8915433,-1.2190425,2.1723497,0.9982517,-0.011189704,0.21770121,-1.9730262,0.88518083,-11.29383,-0.017633935,-0.53133595,-0.64133614,-1.3590173,-2.194665,0.9202697,0.286064,3.8311672,-0.96055543,-0.027860712,-1.433236,-0.5467988,-1.1000782,-0.03473961,-2.6129887,1.2580113,-0.55512273,1.0182627,-0.22450702,2.6180608,-0.21359666,2.8523393,-0.4859517,2.4711244,0.91593593,2.178488,0.22137985,0.7842102,-3.5775435,-0.61266184,-2.0527768,1.1942619,-1.4142995,1.1159192,0.38960278,-0.27366185,3.6758845,0.0063367016,2.5855994,-0.32372534,0.82696813,1.7227889,-1.0193781,0.47072595,-2.2218788,-1.2448652,-1.8575283,0.6507114,2.1058192,1.6809596,1.1279784,-0.36380127,0.17404154,13.249281,-1.9287297,-4.146232,6.471701,-0.6255495,-1.0029039,1.6433597,2.0153003,0.5050583,0.7726496
"0",7.428647,3.80133,5.5895166,1.7169677,8.896519,-11.872675,1.1486114,-2.7572472,-0.9946609,4.798918,1.0511281,1.2153102,-3.402924,-2.330175,10.914074,2.7561452,-1.8606261,-5.878974,-1.0499566,2.6905231,-3.1699579,-1.4882008,-1.1070055,-0.5391176,-1.2181492,4.147554,3.5754979,0.49479565,-2.7541397,-0.0757484,-19.541992,-3.532205,-3.1404262,2.4663672,6.8450394,4.9217334,0.8703555,-3.8336349,9.42071,-0.42861232,-1.9922464,2.065854,2.5198166,2.7406871,0.49808693,-21.343298,-3.9869962,-2.3292065,0.51974636,2.0504463,-5.473265,-19.755737,-4.149983,6.8880315,0.29118997,-0.26903474,-5.7236433,-10.733386,0.44781008,9.024308,0.82868123,0.99174476,-3.6690996,-4.0282836,-1.4229529,-1.8044808,-0.44801143,3.172849,-16.025366,2.3987443,4.5983496,4.746333,-7.2151456,3.3475928,8.12319,-8.767518,-4.5127425,0.33090377,-2.854404,-26.938515,21.22586,11.677013,9.847193,-2.1013255,12.734586,-7.198055,3.1083887,-3.9244344,-2.4523313,-0.6371196,-0.060091317,-1.0591981,11.543749,-2.1107268,2.8821845,-5.618912,-4.199381,-24.565258,-3.3242862,-1.2615913,-1.9227736,4.838551,0.5644011,5.6005454,-2.868329,0.4111088,12.1263,2.4525726,5.91964,-3.4973261,2.3389456,0.50924325,2.046741,0.24088882,1.5638872,0.9015907,-0.50785524,3.0137208,3.9234126,1.3667396,-12.435153,4.416021,-1.1855416,2.617397,13.302312,25.678574,0.7333688,10.89559
