CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",-0.6946818,0.8383511,-0.79430896,-3.6051846,0.42033014,-1.2315164,1.1095628,-3.6325154,-0.7773915,0.8375835,-0.886492,1.8389504,0.34073013,-1.5859842,0.6881725,0.6369806,-1.7361348,0.29145753,0.8681971,0.83073676,-1.8362418,1.8245223,-0.9176797,0.106862605,0.09567241,-0.7974757,-0.08916045,0.026152562,0.395753,-0.8883961,-2.3431692,-2.2580347,-0.07749054,-0.8527767,-2.4967215,-0.8727429,0.7165084,-0.72656834,1.4556723,0.4155247,0.024838332,0.16839717,2.5775971,-0.18537593,-1.5632769,-0.5119515,-0.32538942,-0.0047461335,0.16482493,-0.6147027,-0.16901422,-6.0689573,-0.67420226,-1.157422,2.5253792,0.15094654,-2.761862,2.2604182,0.39067513,-0.48048717,1.0774001,0.2751285,-1.1429929,-1.2528514,0.094767876,-0.44283736,-0.940426,0.9876091,2.2179706,-0.7622654,-0.22976133,-0.77246994,0.18297355,0.7271122,0.025870917,1.2376894,0.0274594,-0.753702,0.5804186,1.9314134,1.0759487,0.42427075,-5.0755496,1.2121761,0.1786787,1.4394989,-4.3546844,-2.011,0.8244555,0.6331414,-0.010003595,-0.47577262,0.967785,0.17529014,0.5640653,0.47926039,-0.9851982,0.09972076,-6.0660644,-0.06931418,-0.3566389,0.3592656,1.646651,1.5222787,-0.06338133,-5.381193,-1.8996512,-0.29322237,0.69347435,1.2857218,2.1397307,1.3643769,0.18194209,0.55748695,-1.1144117,1.3216861,0.7286836,-1.7057637,2.465034,1.1815194,-1.7154707,0.19195874,-0.5354877,0.4633169,-0.2575275,-0.23407704,-1.7245957,-10.075137
"!",-1.2319205,2.6314867,-13.573355,-13.749766,10.365614,-1.3493469,7.1080155,-10.233899,-0.802712,3.9763029,7.6951838,1.9516075,4.8999786,-3.053676,1.5680529,9.048805,-3.399247,5.9338045,9.037844,33.804905,1.6105905,1.6804732,-12.123096,-0.76396763,1.2431124,9.429161,-2.1845348,-0.5398829,6.0113063,-0.5235299,-5.19671,-11.362364,-14.879408,-0.25990826,-5.2633533,0.9399134,-0.5376017,-1.8466994,7.302519,15.806778,-1.3613874,-10.6286955,4.573582,-1.4720792,-2.6497478,-4.8138266,-5.4600415,-6.627698,11.187831,-26.575035,-20.172266,4.9846067,-2.8581226,-6.9527264,9.94637,5.420618,-7.245591,-0.7904722,1.5561476,0.975545,4.0626326,-2.5912592,-8.405079,-16.455986,6.9528418,-16.33707,-5.8872676,2.6562152,6.911746,-0.8247625,-1.1018385,-0.5430212,-3.0728755,-2.2960992,0.2108369,1.7033186,1.6080245,-8.336878,-2.00082,-2.0380995,-5.852399,-1.0823617,-6.1102924,1.6895075,2.34162,-0.79783547,-9.707354,-9.1315775,2.344683,-14.73426,4.830627,3.947827,6.2135253,0.3265943,-6.302324,9.978661,-17.800928,-18.29347,-12.585538,7.4181676,11.286331,1.4758083,17.320356,0.16614734,-2.9657125,-3.697919,-18.089895,-2.471446,7.6372557,11.544065,19.420362,8.317212,0.6720022,8.979023,-5.937746,13.455149,5.274779,-7.6823254,2.8968458,-0.9403348,1.557146,20.532673,-7.3383017,0.12302243,9.036824,2.7377248,-8.782417,-10.627046
"#",-8.713739,8.7788925,-6.0351715,-1.2727329,6.92847,-5.3471894,3.289745,-0.4920424,5.6085525,14.219384,1.2265989,-0.42875522,0.99352914,-14.088437,4.525776,7.7928414,-5.093817,5.9388857,13.996224,2.4432535,-4.2047634,16.926992,-13.564899,9.0166645,14.074368,22.544088,-2.1488857,-1.7740856,9.367213,12.3816,-2.3070238,-6.603167,-5.0369534,-1.1604693,-1.0937017,4.091171,-1.8759236,2.8318603,13.513006,3.1008468,-15.597685,-5.2784467,8.708223,-12.883163,-17.332975,-8.208253,-5.226447,-9.703814,20.392208,-11.632075,-10.823692,4.26783,-18.727928,-24.420444,4.5335655,3.992217,-3.5357373,2.5441658,10.717042,-2.8783464,5.239285,-10.554397,-9.902763,-4.4429407,17.977177,-5.7469645,-7.6761603,10.989675,0.5244263,-3.362303,13.0938835,8.281578,-5.422885,-5.1208797,9.909802,9.896008,4.388734,-6.017394,-0.85770965,-3.475164,-6.4863467,-4.8555684,-1.2387573,0.9850066,13.347535,17.215542,-2.6832688,-33.542656,3.0729234,-7.340147,6.1880736,3.8742204,5.94251,4.344947,-14.955771,3.086046,-11.107729,-9.976596,-1.865974,8.262624,15.574342,0.3959196,9.680535,0.0069748396,-1.0237129,-0.2923488,-3.7680151,-1.4250441,10.082236,0.6081647,12.100136,3.7012718,0.49722347,5.0890126,-9.342823,6.0488844,5.244633,-6.918526,0.668044,-1.0855712,-1.4669456,14.67806,-15.384364,-9.633838,32.914055,10.412734,-16.313213,-17.662651
"%",-2.6884584,3.8181913,-8.831637,-0.16945799,4.6030865,-2.173489,4.15111,-5.2810845,11.390272,9.27282,-1.236289,3.1690977,4.6410503,-4.387121,0.07556056,4.515776,-2.2877617,3.2905023,5.5372343,0.09295988,1.1149212,13.563163,-1.2830487,6.053906,4.9535184,5.3627167,11.256009,1.3634698,-0.23291191,17.478727,2.7853522,-10.577553,0.5412829,-1.7907606,-0.39631417,1.9687791,-7.3580813,-2.3264434,13.773767,5.128693,-0.22101808,-7.163921,4.804448,-6.5361347,-15.938808,-2.9319694,-13.450975,-5.0462174,6.1724625,-2.2614918,-5.9633446,-0.77257746,-4.713583,-14.217918,7.432993,13.8083315,-9.472387,-1.7980239,3.3691955,1.2625414,5.80326,-0.7567947,-0.12596251,-9.18052,2.3934705,-5.9670253,-10.843255,23.37609,0.5949181,-2.157857,3.9099102,17.742579,1.0446212,-9.093141,13.763609,6.4697895,-1.1573373,-6.8211465,-5.819806,0.19461165,2.2007217,-6.629405,-3.441366,1.5957509,4.0642877,7.910501,1.3738976,-5.717751,6.702719,-4.591548,6.3935833,-0.9409538,3.751359,13.175628,-2.1582918,4.9007025,-18.433765,-7.4288273,-4.154142,6.497997,4.100098,-0.36384407,1.8662392,-5.497093,-3.2514625,-3.837,-12.426854,-2.2865648,2.6049507,2.0677974,13.047969,-1.5713778,2.2723157,0.20301144,0.7543827,3.9079697,1.1074812,-0.23711716,-3.4129353,-3.249913,-0.32449713,5.593712,-1.9750648,0.26530027,-2.9933865,2.0701945,-2.8358006,1.8572806
"&",-11.138435,4.9118557,-30.433502,-1.1027088,3.1202009,-3.6105962,2.4205956,-7.1522803,3.7636416,15.366406,0.25777116,14.102562,6.4292006,-8.695165,1.2854733,7.9838223,-1.6125346,6.2143283,17.543901,2.4596639,-2.511156,24.272434,-15.139952,14.907898,7.80074,26.68834,3.514709,2.425427,-0.55356854,5.998503,-5.2594404,0.63136953,-5.5125685,-3.6603878,-3.2741451,7.1270704,-3.7545643,3.0839396,0.75935036,1.0999873,-12.761869,-6.5538335,6.122502,-6.425243,-11.219192,-6.4165874,-0.34722647,-5.346047,14.074129,-1.1448008,-4.9562025,1.6891041,-1.9720811,-4.487829,9.001437,7.1455417,-7.9588294,4.432091,8.211262,-1.3643235,2.4509456,-2.4784384,-16.030964,-2.9087462,15.358613,-2.4272187,-5.725878,10.609958,2.0801847,-3.071154,7.0591164,2.7545033,-2.1865358,-19.238056,2.970916,0.20859727,3.9010828,-4.76416,2.2272522,-1.0237578,-9.993928,-10.250302,-4.4997363,1.2022759,6.8574705,12.860568,-8.195267,-0.48649204,7.1779566,-17.486801,3.2365916,3.5166426,-0.9208169,7.0758166,-3.516487,8.113851,1.9637609,-12.095304,-0.8956797,-0.68317664,3.6119058,-0.15576507,20.760818,0.07266224,-2.4646778,-4.9076962,-5.449197,-1.6532177,9.448882,-0.43408516,18.014877,1.6912123,0.5534178,1.7935044,-11.1533985,11.98599,5.719902,-16.772915,0.4190286,-0.8717909,-1.9364686,20.118296,-10.962796,-2.6597946,4.403044,11.858881,-12.918043,-21.424143
"+",-4.881938,-0.43668494,-23.716284,-2.6265013,6.99573,-3.76254,9.8236885,-1.8914543,-0.20837289,12.489613,1.8459619,5.6450725,16.910295,-10.450463,3.0112166,2.5444295,-12.853644,3.008297,5.060269,2.0826325,0.45543513,11.535115,-4.477978,6.6150007,-0.20782639,4.4607544,6.482192,2.0851157,3.8765547,11.653802,-2.8526964,-10.160525,0.22343186,-1.5794408,-6.6667747,19.49454,-0.29329997,2.6188042,3.0386174,9.905898,-17.595928,-5.468355,11.854867,-1.5339746,-10.681628,-3.5419984,-4.973145,-2.1491652,15.185011,-7.7423525,-9.3202505,-0.690189,-8.058879,-3.312805,3.7400377,2.3890262,-10.901277,2.7654345,14.923376,-0.57104856,5.760345,-4.086911,-12.678156,-1.9999491,1.2046471,-10.286671,-2.0381348,4.6164675,2.008096,-5.618072,16.358387,13.784359,0.2029123,-13.274271,12.225816,3.842671,-0.26887453,-1.8394125,-9.372775,-2.8022783,-8.8732395,-7.3548756,-2.8569093,0.56822634,16.238558,8.463587,-4.471597,-0.7429884,12.729431,-13.71441,2.4118247,5.3697977,7.6507244,4.849488,-0.7298548,7.8222256,-2.8020406,-12.287252,-4.720247,4.9458327,8.034521,-6.0020227,4.379162,-1.7795047,-3.1819694,-1.7998726,-13.708397,-1.7107658,0.26456046,2.413544,9.133822,1.1130626,2.0021503,3.8395212,-6.389531,5.038849,9.893807,-6.20369,-1.4959054,-13.60357,-1.1121845,14.69011,-1.7661395,-3.3104842,3.2571702,3.2447195,-6.448885,-15.033711
",",-0.6536418,-0.07860419,-2.1711943,-4.6683617,1.3194121,-0.16537891,1.5772549,-3.7288482,0.40781006,1.5861313,1.8519247,2.188616,2.6365142,-2.117009,-0.1697716,1.1410265,-1.0049481,0.27103963,0.63235176,0.2884901,-2.4142725,1.2760794,-1.2401226,0.14875348,0.41332537,-1.0095264,-0.67609996,-0.79282904,2.814617,-0.81161124,-2.6764953,-0.70944715,-0.5150987,-2.434818,-3.1427383,0.4281725,-0.9600668,-0.65152246,0.41571766,0.51588637,-0.6022189,-1.7384467,1.7075824,-0.8319976,-1.1054653,-1.784511,-0.169867,-0.1524038,0.23214605,-3.0009654,-1.7004658,-5.0274315,0.0017136973,-1.0282605,2.0529158,0.96968263,-3.834738,1.708144,1.4501263,-0.09663065,0.60138285,0.027191466,-1.1221212,-2.339023,0.6251026,-0.7174641,0.3574474,0.7754884,2.8298786,-0.33680564,0.504392,-0.4786825,0.15488368,0.47047302,0.15752816,1.353033,-0.060663063,-0.45792803,0.5793754,1.3650049,-1.4852315,0.08301804,-8.138592,0.9183463,0.39461365,1.6777467,-0.6382936,-1.8456429,2.4900043,0.19753735,0.42956614,0.15478097,0.80172473,0.48702973,1.4118302,1.4788648,-1.6224322,-0.056079276,-2.8913305,0.8813231,0.39454764,2.5231915,0.8465633,0.4077798,0.28703344,-9.040293,-3.956582,-0.47771904,0.91355205,-0.2692339,1.0359946,1.1232638,0.34432095,2.2619514,-1.8174545,1.4563235,1.2542876,-1.6864593,2.9600608,1.440539,-1.0454336,0.134815,-1.5654552,-0.21925211,-0.5233744,-0.087206975,-2.2447293,-19.77545
"-",-1.6043397,1.0363584,-0.51188034,-4.5330143,0.42359823,-1.0589474,1.6577613,-8.810626,-0.5770377,2.5742366,0.39000908,0.9410685,23.109129,0.72423536,-0.80611396,1.3542235,0.29281288,0.72865975,1.9099274,2.1943955,1.0939009,0.6325555,-3.1007304,3.033758,1.4488864,-0.28010327,0.72408724,-0.51458323,2.7278256,0.60578316,-3.2567337,-6.0017576,-1.8604571,0.56392103,-4.270735,-0.027302515,-0.23410894,0.69509286,0.9764903,4.013543,-0.037202798,-1.8508232,1.1975037,-0.4751768,-0.6261314,0.13921787,-0.44824246,-0.6624518,1.1163423,-0.96495974,-3.3706288,-4.2291527,-0.031077124,-0.98162174,5.14621,0.8373675,-1.268798,1.2181361,5.0418196,-0.48569,2.8459458,0.16937858,-1.2085778,-4.882127,2.1221838,-0.6430703,-1.5029982,1.1333134,2.7321458,-0.3785289,0.7827669,-0.2003979,0.3889042,0.4714709,-0.21562397,0.8309701,-0.36626717,-0.13472697,-0.5136312,0.4217522,-0.99357784,0.0654276,-9.000605,0.5001576,-0.8329338,0.78947675,-6.1933174,-2.5053353,-0.83015555,-1.1318864,-0.5085666,0.84139675,-0.649867,-0.027735839,0.2892518,0.6366729,-2.8518,-1.0949047,-2.7144692,4.029994,0.54209787,4.7228255,-0.4967328,-0.13876946,-0.10576247,-16.459753,-2.9400282,-0.14271964,2.0400648,0.24470961,0.5222367,1.8995659,0.54863334,2.6376054,-4.7516737,0.3989211,1.3805718,-2.5121174,0.62637365,-0.5709981,-7.1226406,2.0832336,-2.8047838,-0.28913775,-1.4744182,-0.093719505,-0.7983476,-21.375422
".",-0.69105405,0.25290123,-1.3042806,-4.730305,1.3902134,-0.5299486,1.4453425,-2.1522386,0.96869266,1.5458808,1.9662968,1.82408,2.984882,-2.3968074,0.44148102,0.5494303,-1.5690078,0.33817378,1.6946235,0.9625777,-2.239756,0.393381,-1.7701434,0.071446694,0.49227712,-0.09218113,-0.5851458,-0.7445164,2.3506236,-0.8211843,-1.8394347,0.08243975,-0.61561877,-4.864269,-2.164406,0.44684845,-0.4921596,-0.56612915,0.8947751,-0.37892863,-0.022239124,-3.2490487,1.1250908,-0.16531718,-0.6246331,-0.9666766,-0.47663814,-0.26242316,-0.8929457,-2.0031552,-1.3959326,-7.9674864,-0.56754875,-0.9950889,2.059562,0.93407726,-3.0407896,0.28404883,1.7099141,0.4999216,0.30763716,-0.16355057,-0.7402901,-1.2386096,0.40102476,-1.3349112,-1.2956046,0.74926084,1.7301917,-0.33736938,0.7444723,-0.71487314,0.18708538,0.5906159,0.43513522,0.7854629,-0.2705275,-0.35955146,0.6364131,1.6525304,-1.8528017,0.33766004,-10.284463,0.9297361,0.57602847,1.1046867,2.6256409,-0.98438245,2.0867035,0.18214048,0.7363781,0.56129473,1.0764754,0.33697858,0.77556175,1.323413,-1.4532573,0.19131598,-2.7032385,-0.17596792,0.1485938,1.0517793,1.1272143,0.6268541,0.38971797,-7.053208,-1.9659138,-0.5616568,0.7336548,2.1433911,1.7948883,1.1605537,0.07112319,1.7225119,-1.3104935,1.3524038,1.2488668,-2.778104,2.4573057,1.3151065,-1.9017843,0.59856087,-1.5652539,0.021277655,-1.0602074,-0.22520515,-2.2498174,-20.529789
"0",-6.4751124,5.5460677,0.93262583,0.21771473,-3.0348024,-2.065319,4.179427,-6.7937684,4.928716,3.748262,2.4564133,17.442465,3.1441994,-8.948419,-0.9795804,4.382982,-13.854805,-0.5596072,5.067454,-0.08789765,0.4395706,3.7791247,-2.3387892,6.472133,15.3223915,7.423949,6.852782,1.4369625,3.4525037,3.1504745,-0.59176344,-11.231398,-4.899823,-0.70701134,-9.36785,6.4868803,3.2817092,2.8968215,7.325171,1.9843096,-0.39643213,-4.422014,-1.8174193,-22.246435,1.1623086,-3.1191876,-11.9322405,-3.3744905,5.011621,-1.7690119,-19.521103,2.1966856,-9.152334,-2.7394173,2.3678298,4.5904675,-0.3544328,-1.7338943,0.82253516,-0.44981715,9.63163,-3.2586434,-4.0336075,-5.89119,-1.3350649,-8.504824,-11.082309,6.174177,3.6380339,-1.1627989,2.8163853,4.6704593,-0.64901596,-8.4238205,4.157984,7.0867066,-1.1116496,-9.774293,-4.2517896,0.32381082,-5.160461,-14.835153,-15.275012,1.7610809,11.522794,11.395487,-6.9865456,-3.1648428,1.654028,-2.319901,8.352841,-0.68506885,15.58223,13.98595,0.79626614,3.5634296,-11.436026,-12.571979,-2.7187078,15.055392,22.528923,7.813015,9.883207,-1.73046,-0.87491536,2.774559,-2.901086,-0.5907027,3.7708013,5.2972045,0.35134327,-5.479772,0.9704646,-1.118908,-29.985544,-0.23735176,2.5219166,-3.8878846,-6.4094133,-1.5050702,-5.16929,12.279099,-4.030721,1.0072505,-0.7930881,4.0259857,2.2625623,-3.6211817
