CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",4.2366323,-2.176149,1.1058794,-2.4911523,-16.783789,-0.25921625,2.710404,0.33102712,10.394416,-1.2360168,2.8006759,-1.2017432,-0.30039313,-11.692656,4.0404882,-18.238796,8.502916,-17.06327,23.26898,-1.711298,3.0587378,-12.291515,1.4595008,-5.493782,-4.4579067,5.2082353,-11.88636,-3.7769217,5.381101,0.5572571,4.649307,5.421451,-5.9174085,-8.415179,9.091555,-35.248848,-16.54926,-2.5058262,-0.75193936,6.876117,-4.437333,8.781791,23.517572,-13.4769335,20.832296,-0.3482263,-17.306368,1.5037572,2.852511,8.843032,-5.4370427,-1.8019382,-4.994279,0.7792827,-1.347627,2.6979241,-3.9946496,-22.868465,0.50575334,-4.4048433,10.569932,1.7868388,28.650965,7.2115307,-2.0123715,-26.087748,-10.819638,-8.436686,2.2066734,-13.750103,0.18733166,-4.112104,2.6263382,-7.307535,-12.754394,-7.792136,-7.583505,0.6081885,-6.844136,7.80294,4.191437,8.6010275,26.33442,6.066234,2.3645742,-7.5633497,3.930499,9.420064,-5.087328,0.030762397,-4.5777216,13.600296,2.442523,-10.628544,-0.47731414,-4.7612042,10.330484,-22.997906,3.3752599,-4.403865,14.1006,3.0141964,-4.197357,0.34507653,-16.825554,-0.467386,9.752414,-8.286151,2.9092112,-10.134636,-10.021943,-10.302714,-5.516515,-2.631818,-0.32425782,-9.816119,2.9756944,0.80947506,0.13075367,2.7761512,-1.2569124,-0.47133768,2.7676537,-15.792914,-9.72825,-11.130565,-0.9883953,-8.398207
"€",0.8876037,1.4345306,-4.9448647,-0.5218148,-0.4815141,-2.680329,3.279639,-1.495953,4.744931,3.6952398,0.51053256,0.44962755,-2.4959686,1.7520993,1.5230644,-1.6811073,1.8172332,-1.4896861,-0.015576433,-2.5935564,2.0952153,-1.5124643,4.0498734,-1.9489571,-1.7468983,-0.33609053,-2.5390887,0.9246635,0.35628366,1.8101023,-1.3461307,1.3892406,-1.9704137,0.5983485,-0.52735513,-1.6575998,-1.4525319,-0.6834536,-2.9768786,-0.3560009,-2.8770595,2.5142775,1.5534134,0.8534323,3.24323,3.3129773,0.40820232,1.3474971,0.6420083,0.19177322,0.16450997,-0.46990216,-3.0673354,0.7033077,1.4070798,0.9136482,-2.6391468,-1.2576271,2.8813953,-0.8705175,-1.2732233,-0.28129864,1.2927369,0.8236467,0.9045808,0.2498465,-3.0857048,-0.34565496,1.4372069,-2.3991609,-1.0023652,-3.7118053,-1.3614697,-3.412255,-0.91291463,-2.9508338,-1.039554,-0.66393626,-1.9449376,5.665747,-1.3863784,0.12217813,1.4834573,-0.7074528,-2.702337,-2.5096035,1.061059,2.0437245,-2.931437,-2.324014,-3.1110098,-0.32441202,-0.14936279,-5.560892,3.320681,-2.9308906,4.709138,-0.3078469,1.8921033,10.01481,2.440922,0.87196696,-2.214584,-1.4427302,-1.8732179,3.1754718,2.4395678,-3.8234124,1.0633396,-1.7877415,-1.4567008,-4.6263423,-0.6518418,1.8030816,1.5186611,-0.56149036,3.809185,-0.74660647,-0.24999125,0.8618642,-1.4530628,-2.085173,-0.50579154,-3.1665123,-4.0385685,-1.5698262,-0.11264996,-0.13695088
"ぁ",0.4241327,1.3985332,-2.2215366,-0.19280732,-1.1079558,-1.4520371,0.7587489,-1.1886522,0.041780967,0.8397952,0.0022810097,-1.1107866,-0.73355484,-1.1873138,0.41218892,-0.9673851,2.3915467,-0.80922055,0.944219,-0.4088809,2.3465297,-0.079317905,0.6343214,-0.9462465,-0.7268539,1.0131866,-0.85314417,-2.3045626,1.8775681,-1.9966788,2.8149111,0.914829,-0.43101367,-0.5495842,0.5682745,-1.6967148,-0.8819781,1.8485975,-0.9362886,1.3577882,-0.75882643,0.6087675,0.55130714,-1.9481231,1.1679125,0.8787671,-1.8438911,-8.014303,3.658953,0.73083276,-1.0294751,-0.5234461,-0.32213536,8.110205,0.11668992,0.628466,-0.11548158,-0.4235045,0.6799683,-0.36014426,0.97230023,-0.7834451,1.3503088,0.96066594,-0.4449809,-1.6639026,0.13454379,-3.0680244,0.4377055,-2.349366,-0.91377556,-0.43786952,-0.385148,-1.7486932,-1.6906251,-0.14864032,-1.9491788,-0.039199024,-0.26983082,0.11832336,-2.6568644,0.38686273,0.89995295,1.1118457,0.5602293,-0.4420608,0.71189946,2.1786113,-0.907706,0.055410564,-0.56022966,3.632316,-0.992071,-0.5310555,0.8013843,-0.32445958,0.9773031,-0.949651,-0.37314498,0.8244175,0.7180929,1.911874,-1.0125014,-2.952919,-0.43810797,0.7733784,0.8244021,-1.0224928,1.2545438,-0.9650865,-3.1834826,-0.47890428,-0.589808,-1.5973221,0.5039382,-0.9585331,0.7795999,-0.29726425,-0.7030665,0.03725816,-0.78978187,0.6304396,1.0250645,-0.55510694,-0.2656544,-1.010095,-2.1192503,-0.8451136
"あ",2.428489,-0.4263796,0.60316765,1.6585313,-2.2060478,1.570021,-2.5915403,-0.69683015,3.6506991,0.94157946,7.944934,-0.59044576,-2.6521463,-1.4198831,1.9200249,-3.9207578,1.20082,-1.1858511,3.2701616,-2.5110264,0.4978641,-2.9028432,1.842771,-0.76543844,-5.162744,2.823344,-3.2982433,-2.7943168,2.9946203,-0.83225036,1.505327,0.6003988,-1.4224284,-1.1948149,1.6994548,-1.1168362,1.6864843,1.293867,-1.5165472,-0.020149238,-3.4644682,2.4583123,0.5576353,-1.9118088,-0.06101598,3.0478086,0.049291763,-0.26629013,2.4032283,-0.17207699,0.19753118,0.42598566,-1.9785842,4.117694,2.9926264,0.15495637,-1.8430175,-1.4478468,2.925103,-0.7738297,2.2883663,-0.26604506,1.7129997,-2.1665266,-3.3295314,-0.8558331,-3.226642,-0.58375615,2.9456677,0.32038447,-3.6796718,-3.809708,0.44688702,1.1860929,-0.89665526,-0.8671611,0.766296,-3.676763,-2.5418062,6.4742537,-0.16647997,3.082598,1.2804931,1.3100444,-4.9821687,-5.6503153,2.5380461,3.283099,-1.4942896,2.31818,-3.4359145,-2.0907273,0.2114486,0.59547454,3.3290389,-8.083997,-2.3946302,1.8761256,0.36025846,0.36762384,2.7780356,4.353072,-1.9550747,1.091957,-1.0347438,3.9453826,3.035443,-3.7903264,1.4022213,-3.2195704,-0.75682724,-3.3283837,-2.272102,-1.1536558,2.0798998,-1.3230542,-0.79870814,-0.9524488,-2.3766718,1.7545031,-1.3786012,-4.9717083,0.41094902,-2.2724059,-6.414063,-3.5699756,0.7373999,-0.36403856
"ぃ",4.319897,1.5710397,-17.569159,-2.1751213,-2.736197,-4.0072775,0.6224897,-3.1850631,3.6700714,8.321032,-0.20977621,-5.7170935,-6.2524967,-8.206701,2.8529313,-11.461407,13.947243,-8.642757,1.6634872,-1.0470282,4.778238,-2.5638168,4.9173207,-7.4689145,0.64991367,1.0659965,-2.7992504,-14.550381,8.916606,-2.674189,6.445415,12.126882,-4.235774,-10.414368,3.3989675,-9.663495,-2.047483,8.585145,-11.588231,12.194812,-3.0033891,-0.557641,0.21558821,-10.381113,8.126979,5.9225597,-6.5717926,-4.7831774,4.2288117,3.2584512,-1.5970138,-4.3058295,-7.618592,4.7345815,-0.7136159,0.9338267,-3.5005817,-5.5382495,-0.9808043,-3.3094575,4.269952,-3.2367587,15.730364,10.751239,-9.199427,-4.219973,0.1392281,-2.2265964,1.7023314,-18.367716,-7.9302673,-3.710767,-0.47333688,-10.2387495,0.14210138,-6.6656046,-15.106735,-2.3130927,-3.374936,0.5898183,-7.9587803,5.041663,4.9148836,2.989976,-0.49195006,-9.2804,3.857304,5.4559503,-6.3022966,0.42961133,-9.934962,18.623585,-2.1678014,-7.9601755,8.610317,-3.0825703,10.286955,-3.990807,3.0590835,9.803409,6.4968233,8.497881,-6.651448,-1.9112186,-3.0724757,7.936256,7.499098,-14.967197,11.64388,-12.588604,-1.3530588,-3.359319,-6.9907436,-8.808945,4.5456758,-8.616328,6.2619658,-1.989955,-8.522761,-1.1047478,-2.1760745,-0.24601237,3.0238314,-8.894716,-2.1971889,-6.5495124,-1.8868821,-4.145371
"い",3.735147,1.5243744,-3.0182617,-0.32668614,0.74601024,-1.7275212,1.826814,-0.94430363,1.3835073,1.4209044,3.845257,-2.8100545,-0.8526337,-1.6940069,-0.6537938,3.0812979,0.11262615,-2.2037272,2.5553696,-5.903475,-1.2562705,-0.6493378,2.7260256,0.63154614,-0.20137617,2.367094,0.787716,-1.568488,3.5941179,-1.2415562,-1.4400841,2.1168015,-0.88183665,-1.6706791,-0.42574152,0.41970274,0.57566416,1.4863465,-1.258209,2.904673,0.54338276,1.0132202,-0.05906696,-1.9072126,1.2464591,0.111506864,0.32066387,0.18935964,4.0829005,1.2827796,-1.726501,-0.55461365,-3.1607022,2.5955052,-0.19173947,2.8224838,-4.80027,-2.150596,-1.9764255,-0.13243832,-0.3229688,-2.7868896,0.5099318,0.41067407,-2.7023308,-1.7250233,-1.2775267,-0.47589517,4.397243,0.41556713,-0.0018164618,-2.8492246,-2.070991,-1.1671547,-1.1171768,-0.53002876,-1.9600574,-2.2932696,-1.8560522,1.3316923,-0.64007217,4.1330996,3.0222738,1.0591863,-11.302653,-2.2540042,-0.5228512,1.7298588,-0.59503883,-4.954436,0.6445065,-0.6830941,1.156497,0.46208084,2.669478,-2.5032074,-1.1490769,-2.5007317,1.2013083,0.5418361,-0.060570378,2.4418128,1.2646375,1.9995853,0.15144911,0.82503754,2.5733917,0.5294243,-1.4487861,0.30761322,0.5174739,0.0031816463,0.44630113,1.8203717,0.5381271,-2.5538058,-1.5271193,-0.4359294,0.13318549,2.3991017,-0.4471905,-5.0625634,0.8324309,-2.5038552,-5.6897936,-0.36429805,-0.924762,-0.46648514
"ぅ",0.48577896,1.4196835,-2.5456777,-0.21678205,-1.1566558,-0.77877545,0.9571478,-1.12687,-0.09639755,0.55891967,0.22914994,-1.3646358,-0.8306044,-1.1860486,0.44662634,-1.227342,2.8225293,-0.92906785,1.0681926,-0.3269354,1.9900895,0.15493368,0.51291734,-0.9381454,-0.5744365,1.2609078,-0.9029814,-2.2542944,1.404977,-1.9069203,3.109941,1.1094781,-0.48064265,-0.6827788,0.6763942,-1.81156,-0.8038829,2.0831685,-0.94104195,1.5515515,-0.73231155,0.8901321,0.4813334,-2.1681194,0.9935615,0.9316581,-1.9506158,-8.477128,3.0749862,0.850235,-1.1656777,-0.7912102,-0.39620832,8.201887,0.035337638,0.5908201,-0.010313173,-0.612809,0.7239663,-0.6016388,0.614996,-0.868888,1.3452901,0.8997006,-0.65134674,-1.7348915,0.04500087,-3.0668774,0.48748067,-2.477804,-1.1712024,-0.23383012,-0.6414784,-1.7997363,-1.919102,-0.16452044,-2.0344663,-0.14610949,-0.38620585,0.15802257,-3.0529878,0.26347968,0.9968822,1.0927651,0.6089059,-0.34865075,0.84367424,2.1958752,-0.906196,0.0545374,-0.36807117,4.071366,-1.0737066,-0.7882427,0.9757037,-0.09012741,1.1503154,-1.1923177,-0.3689469,0.92746586,0.76626676,1.4798682,-1.08108,-2.687041,-0.47979203,0.8519273,1.008199,-1.0728024,1.4510958,-1.022585,-3.5450919,-0.36251768,-0.7469008,-1.5321575,0.62251174,-1.048469,0.7360429,-0.3412855,-0.51345533,0.03368217,-0.87151533,0.8015884,0.93325377,-0.7476047,-0.29173657,-1.3154799,-2.2170086,-0.98732316
"う",-0.15489839,0.7159217,-1.4600446,-0.39817223,-1.6400281,0.91125035,1.0795803,0.13726693,1.0201169,2.5819056,1.0722088,-1.1129513,-1.7623006,-1.330255,0.81969583,-2.4969296,-0.32634705,0.6346119,0.3683405,-4.936787,2.413626,-1.1269947,2.0235734,-0.17691752,1.0389401,-0.7151364,0.6922236,-1.8404051,1.5774951,-1.5538327,1.0363379,1.7554839,-0.48965013,-2.4820833,3.44739,2.7625837,0.80963886,1.6734637,-2.4783893,1.7950715,0.15717573,-0.09231985,3.1189663,-4.560439,2.2950597,0.13664591,-0.4641926,-0.002434589,2.5834982,0.8041,-1.1220689,0.59925324,-3.5876052,2.328004,0.25412837,1.9932191,-5.5826206,0.32861635,4.5145707,-1.726627,0.73987865,-0.5645421,1.0716928,-0.476856,-2.3865376,-0.3225213,-1.610515,-1.8637327,3.3086414,2.4076228,-0.3852816,-3.3727627,-1.0883046,-0.95316666,-0.44124752,-5.151105,1.6353624,-4.3388853,-2.825951,2.7297592,0.3868394,2.3392005,-1.1436197,-0.17785649,-5.9351473,-0.5922376,0.593021,1.6849798,1.4822651,-0.5000975,-0.4692188,0.85093886,-1.3903654,-2.8375435,1.2209646,-1.5556537,1.9844311,-1.0735714,1.9527066,0.648137,2.5423384,-0.007763758,-4.218035,1.6947446,-0.52852046,2.353387,2.143431,-1.7352525,-0.022641154,0.4962077,-2.0438685,-0.018413713,0.21556517,-0.7574011,5.1191626,1.4247712,1.9859139,-2.3974776,-1.6286412,1.202027,-2.239586,-4.0332584,1.2324641,-2.4342456,-1.7403677,-0.6934602,0.906565,-1.5268563
"ぇ",3.556237,4.690672,-3.7871904,-1.2485702,-3.2842748,-4.1936646,3.9765687,0.8793265,2.736249,3.6730435,-0.2870371,-8.456195,-2.4573138,-6.486901,3.5565996,0.21715097,6.308849,-6.291396,5.1590624,-3.3083675,7.726385,-1.3020209,3.8993776,-3.900533,-0.090084836,3.4580884,1.0023867,-5.90856,6.721838,-3.3282137,10.291839,6.239215,-0.26025373,0.029036324,3.595887,-8.558242,0.22510907,-0.4148703,-3.8743255,6.6408772,-6.4937816,3.6442225,1.8681561,-7.689875,4.8934803,1.4567597,-7.096533,-5.0796185,8.477776,3.7956374,-4.2611647,-4.299616,-5.384102,8.041339,0.40439233,6.264023,-2.1387973,-4.5683928,3.7003934,-2.2342649,3.4536831,-1.4692305,8.329377,0.3016524,0.74536186,-7.1952524,-2.6129975,-3.3458161,3.2749155,-9.810258,0.3747726,-3.1957285,0.065369226,-1.4854643,-7.9023833,-2.5993452,-6.410604,-1.1639264,-3.1712043,0.4848817,-11.039479,3.7220092,4.114978,7.526814,0.64409256,-4.1332173,2.3260045,3.5516205,-2.3741682,-0.023102464,-5.826619,10.63394,0.2838174,-2.0054226,3.986134,-1.4076887,0.27526703,-3.1110198,0.80962825,7.6526127,3.1661503,5.0799136,0.60835063,-3.9169867,-4.215632,0.6512299,4.2277527,-7.0427976,6.4865665,-7.6323686,-5.127588,-3.820071,-4.844955,-1.8698797,-1.5628291,-1.8020099,5.9075885,0.102014184,0.54995275,0.5830078,-3.8713777,-0.88165116,3.5877345,-5.7913475,-0.8052834,-3.215624,-3.2816186,-4.5004597
"え",-0.30862328,0.80169195,-0.5490162,-1.2728486,-1.6823331,-0.36337897,1.1222023,-3.8381355,1.13261,2.5128224,2.407427,-2.2672913,-3.9788504,-0.06469825,-1.0701262,-3.2885194,-0.7175773,0.5689899,2.352603,2.6422763,1.9150513,-3.5446932,5.1933584,1.2402794,-1.4817917,1.9274164,3.837877,-1.8519093,3.2413492,-1.4569997,1.8464755,1.652368,-4.5212975,-3.6321688,0.5425274,0.05994495,-0.63211566,1.7130657,-2.0555508,6.579219,-0.6590785,-1.5788366,-3.0255444,-2.267818,1.688598,0.55268186,-1.7093599,0.6230788,4.1074476,-0.4857388,-0.3523372,-1.1364667,2.4280274,2.5545027,2.4459085,7.3852053,-0.8362752,-1.046626,1.7370731,-1.949694,2.6131604,-0.6531213,-2.2672532,0.27740455,-3.289417,-3.2499397,-5.2629833,-2.7900662,4.1401644,-1.1201141,-1.3134491,-2.8969731,0.27487776,-1.4605025,1.2481066,1.5977886,-0.40419033,-2.5202754,2.7862458,2.6817758,-0.16390611,2.805441,1.8314157,0.36473322,-3.6656015,-1.4248964,3.3170834,-0.65862787,-2.7166908,-1.6607008,-2.1414475,-0.049643837,-1.1729424,-1.9264468,7.313512,-2.450751,-1.1175025,-0.40823504,-0.44431493,0.60204583,3.5922296,1.2102011,-1.311713,0.9217182,-0.18310164,5.711037,-0.072763726,0.4473158,4.0850987,-0.079027615,-0.49309322,-0.98145044,-3.7877018,-0.48829213,1.2650651,-0.8940744,4.7840734,-2.9211667,-2.0673478,1.6942136,-2.1955383,-1.4191535,2.54709,0.0046354276,-8.936226,-0.78829724,-1.4233141,-2.1359544
