CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",1.6335856,-2.8522918,-1.1738048,0.49819127,0.045526426,1.0119897,-0.56247956,4.563305,2.1808088,0.4087097,-6.340571,-0.81232584,0.4406831,1.9463083,0.121641986,1.2354145,0.3677063,-2.4082913,3.6310194,-1.6293396,0.46845025,1.1979532,-0.7948766,0.31980497,-2.4212618,-3.9021158,-0.2897628,-1.2537918,2.3633866,1.2484623,6.052761,2.074126,-0.38647774,0.7197567,1.3029164,-0.7118513,-1.3061332,-1.1690341,1.0730895,-1.9203879,1.4383954,-5.480308,1.6743933,1.0287213,-0.24354555,-2.4179006,-0.42387813,0.57325554,0.47203672,-0.21059787,5.2995496,-1.5172976,0.58346456,-1.8878472,0.3787646,0.68051857,0.54116,-1.2702911,-1.1831726,1.5979253,-1.4355196,0.4658903,-1.8146333,-1.6296897,0.21526475,0.2740239,1.0168264,2.00115,0.4247055,1.850952,-0.27451888,3.1908221,0.12467374,-0.47146899,-1.8489723,-3.4051309,0.435688,0.4692481,0.82863504,-0.3334703,0.5246406,-1.5917311,0.7996282,-1.8892945,-0.29228237,0.39999306,1.2372667,3.1632848,0.31902948,0.93079764,-0.08538721,-1.9498208,-0.15220642,-0.6027478,0.9041932,-0.5975725,3.304709,-0.09802843,-0.23130068,1.8954908,-4.016508,0.58103174,-0.12139534,0.087984696,0.020532375,-1.2592881,0.08933362,-2.0744166,-2.0327096,-0.8078709,0.52372295,0.06573962,-1.2063718,-0.62310064,2.7735617,0.02875349,1.045662,-1.1100214,0.32372943,0.22172232,-0.1498698,0.092038006,-0.5195799,-0.70036525,0.4754074,-1.2590652,-0.2551733,0.93492615
"!",12.035858,-0.15355267,0.045339417,16.514528,7.25891,-3.5742314,-6.22361,5.2128973,15.601553,3.216222,-5.4524684,1.1178639,2.3563728,7.320622,-0.3958657,13.946153,-11.336071,-1.9153246,2.6797142,-17.358936,-0.825079,5.8130755,1.1117584,-1.4422308,-12.928699,-3.764365,16.455193,-7.118835,10.465263,2.81303,3.9140685,3.4457948,2.4011998,5.8095236,22.806519,-7.8940897,-2.5595102,10.74828,1.6763036,-3.2280197,-1.0809088,-13.64521,6.7004004,3.4147027,-0.17015457,-3.6715686,-29.485188,0.0077864495,5.5070806,25.800129,3.448799,-13.642084,-11.89462,-1.9340795,4.9834313,-0.093055405,-0.4286758,-9.484283,-5.380923,11.212739,0.6369277,5.104916,-3.2244067,-4.271957,9.918935,3.3861325,-3.6078627,7.010748,3.074533,6.0560966,6.6048636,23.985817,-13.056109,4.297117,-1.5309058,-3.6229575,-1.2697808,-4.606038,12.728827,-7.4947796,9.603445,-2.8289673,21.213846,-11.005712,-3.0877361,-4.803533,14.2355585,16.263132,4.222707,4.005256,-0.0069872267,-12.8765545,-7.9194794,7.6766253,1.1755049,-2.1646624,10.85706,-5.989771,1.5187207,6.2742486,-1.7876785,0.034994096,3.3767567,1.6334903,0.96107495,-2.6110861,0.6545033,-11.537498,-17.739426,2.929576,0.2634503,5.1153774,-6.0266123,-1.3487778,8.45027,6.2046037,3.055138,-3.908041,2.6622171,-1.6655985,-7.55549,2.9064581,0.4964407,-18.600178,-0.6133325,0.52109194,0.6418558,12.15005
"#",11.285119,-6.1140847,1.6453694,5.5927234,7.920193,-3.4416401,-12.21773,-0.03427187,14.879646,4.365318,-0.3532723,2.6405652,-5.4000845,1.501509,-1.8416625,10.0582285,-7.1625657,-11.719599,0.7263687,-8.954567,11.30876,3.8444836,1.6681544,8.50914,-2.6588826,-1.1833518,18.820675,-16.656126,8.72917,22.78904,0.3008588,19.078331,-4.743126,0.3643868,6.6627707,-7.447253,-5.4057975,4.25847,1.7279247,0.22786114,11.764623,-14.168481,9.428091,0.3916479,6.906329,-4.1662073,-9.703069,0.72803706,6.1268363,4.718796,0.46657673,-4.300209,-7.472621,-7.781477,1.2048459,-2.2890708,-0.6046682,-8.886063,-11.235289,13.924149,-0.5038736,23.719858,-6.4147277,-6.288701,2.1168375,0.742952,-6.6041307,13.423167,0.53505373,10.795627,6.9336033,12.761537,-3.5327046,2.6728563,-3.5804918,-0.34702703,-4.2634926,-9.2404785,13.832671,-5.065464,5.93209,-5.792907,4.452456,-7.31622,0.12882124,-4.3979144,7.551589,3.9434721,4.46131,4.9568706,-1.1892831,-2.8501036,-2.0799077,6.15454,5.424085,-1.3621088,1.9088241,-4.4179435,5.8463984,8.988708,-1.9456372,6.4409795,6.86952,9.255637,1.0114673,-5.1279926,1.5453829,-23.146618,-14.786708,5.3486466,0.28332543,6.9994316,-6.4629,-12.558136,11.314221,3.3938217,1.6791832,-0.8303494,12.096724,-4.6054296,-2.6233292,2.0212295,0.9542221,-3.4659183,1.0606079,2.131995,2.2645273,5.8699718
"%",5.1699986,-9.196021,-1.9852952,8.067181,13.103569,-13.712235,-14.679704,6.7791104,14.228709,2.7391224,-1.1790292,-0.17642081,-8.856755,10.170094,-0.096882,9.103878,-16.92486,-2.7192173,1.3650475,-5.9689827,14.590615,4.416758,0.6880473,9.901677,-6.1407146,-8.175263,14.172405,-7.0825653,16.313461,4.4631796,0.9971036,7.184048,-9.850667,-3.8382382,0.36800528,-14.29759,-21.533684,9.839083,2.4049065,-1.922308,-0.14644988,-0.894423,9.033187,-1.9504694,9.625168,-5.4374356,-2.579089,1.0291591,13.549482,8.892928,4.1642637,-6.1436143,-11.688396,-5.9330206,7.8837,-1.9550647,-1.2485232,-0.7314872,0.5982182,2.0887728,0.7521376,36.719402,-7.244962,-7.584005,4.9964604,1.7172513,-11.503573,2.2667606,0.46006677,1.0149825,3.282586,3.4877746,-13.663963,8.064229,-2.1738114,7.4931016,-0.78867704,-2.630721,4.6109147,-3.507063,0.4255553,-14.15934,9.421559,-5.1009793,1.1714977,-4.26836,5.093656,5.6828146,4.835442,-0.799592,-0.33286944,-6.8588786,-7.9394336,1.4694303,5.3875446,-1.8697219,2.0688558,-17.79411,9.094285,9.877971,-5.9708123,3.8513176,16.312881,12.463221,2.4823868,-9.7752075,-2.6645658,-3.62903,-5.359635,12.573282,12.432268,5.241499,-6.5927296,-12.3201475,23.737463,6.4774194,12.91913,-8.045266,12.531867,-11.222311,-18.44693,1.4529033,5.2681623,-8.2667885,0.26984316,-0.4036405,2.4544396,9.278531
"&",23.588938,-6.10432,-0.24372385,7.1422887,12.06073,-1.3205484,-3.9686902,0.17243941,18.650843,4.2827363,-0.17446826,-0.017850302,-3.8889434,6.4853263,0.4199663,12.868035,-13.592793,-14.637372,0.4308614,-20.544245,19.206564,0.6195218,6.65306,11.204524,-2.4323783,-5.3493123,3.7736158,-18.95134,15.38366,7.6478996,-0.31880164,9.6344795,-3.197297,-3.4366653,10.360488,-4.2719426,-12.694547,4.5260224,-0.17435429,7.463294,5.07806,-1.6753019,7.898912,9.239056,11.226171,-2.4941177,-13.804617,0.017616013,7.9508367,2.8125255,0.0380333,-12.231481,-3.0132196,-5.8110104,1.36197,-8.762769,-3.374168,-1.501003,-13.609389,13.202051,0.71350473,8.582597,-5.2117243,-3.9204624,12.597736,-0.036734145,0.75188434,20.915556,1.3383126,14.737984,1.1308047,15.281704,-1.986884,1.8324234,-10.24257,-0.015088163,-1.5228599,-3.900758,8.437835,-6.7740827,5.211731,-11.043773,8.458602,-3.3606467,1.4819672,-5.341055,7.4333653,7.503958,13.51694,8.555726,-8.312992,-0.91117656,-6.2469406,13.092522,6.0309496,-4.4804645,2.152342,-4.756279,6.5894723,26.205729,-2.660304,4.260295,21.643642,2.5039127,1.2740046,-7.1859827,1.632131,-2.2285175,-7.986298,5.1076155,7.0529227,10.340877,-5.79353,-24.554987,11.842142,2.865343,2.4213698,0.1817102,7.540763,-22.54639,-26.92421,2.3131819,1.137444,-2.0840619,-0.050153542,2.889352,13.559167,2.7336175
"+",5.541745,-7.9195547,2.1510613,12.259724,-1.547565,-14.029247,0.38964146,0.09277476,7.9318676,5.2184095,-0.48463607,2.1941326,-9.107384,5.0888886,1.4363966,4.1015887,-6.47714,-10.500634,4.5430617,-26.20027,11.730913,3.4298491,5.761184,7.2988214,-9.946954,-2.7478073,2.9287035,-11.020472,0.2611646,14.265335,-0.04562943,12.1015005,-14.225185,1.6133906,6.864508,-5.469269,-3.3776648,9.093046,-0.7725972,-2.5632179,6.685967,-10.434906,9.681732,1.3409004,7.1958246,-3.1145468,-7.0512695,-1.0831888,0.7793888,3.9243279,0.3248771,-11.478571,-7.332151,-0.26152954,5.5628624,-12.702521,-4.1672053,-9.228977,-4.2953343,4.9971886,-6.5107045,17.38023,-6.364721,-9.994485,-0.0046488307,1.6069124,-5.4877715,15.135046,-0.18539028,18.887566,1.5350974,10.476659,-6.954859,2.9304473,-4.3867555,1.8470565,2.1083515,-14.250371,2.3574867,-3.9824886,11.184362,-9.304035,6.1441064,-10.431725,0.5527359,-10.625062,8.189036,7.268401,9.579009,4.5417852,-8.525173,-6.545534,-6.2712827,0.5509321,3.4718761,-5.9926343,3.1888914,0.3753539,9.751182,6.3267217,-8.826408,7.9142933,17.891338,0.8858691,7.7057486,-5.11188,-4.0512943,-9.537958,-3.761522,2.101694,2.940037,11.52462,-2.2115645,-3.7571714,20.82721,2.0929105,2.961242,-4.326646,0.50335175,-9.65883,-12.853046,2.5210638,-0.7419703,-0.9537277,-3.0982504,-2.2064893,4.9182563,5.405857
",",1.0983268,-1.9174145,-0.26847437,0.9447142,0.30609128,0.44558403,0.09255865,10.593897,3.1173267,0.026577266,-9.1888275,-0.3948606,0.7789381,2.4261098,0.10065539,3.2276847,-0.044856355,-2.9956567,4.7570047,-2.086422,-0.14551596,0.9849875,0.57835,0.5567979,-2.2658854,-2.1750677,0.43703118,-2.7411232,1.6535451,0.5873883,0.677478,1.5539395,-0.6049332,1.6703563,1.0270495,-1.785274,-0.8147445,1.5812324,-0.5495397,-1.7508126,1.273217,-5.7229867,1.4310846,1.0212946,1.0235877,-2.8044293,0.04383702,0.18860275,0.5119154,0.08019226,4.889572,-2.436743,-4.514844,-0.60347956,0.3112997,0.7526952,-1.1111411,-2.004244,0.097685374,0.4364181,-0.9193296,1.6840789,-1.9624445,-1.8705585,-0.4849279,1.7739284,-2.1498055,2.6775067,12.723787,2.2325084,0.9998062,1.4538281,0.050556526,2.735677,-1.8455541,-2.6655316,0.43923053,-0.57461274,-0.29464763,0.01669884,2.3313696,-1.2692689,0.19432116,-2.6083486,-0.67562455,0.052152712,0.14898476,10.79686,0.63977635,0.28513607,-1.1519717,-0.5409765,-2.5049152,-0.64149576,0.7653685,-2.2926846,4.106033,-0.3298233,-0.39154837,2.1286552,-6.4231734,1.0059204,-0.03175953,0.7876407,1.4470409,-0.8808035,0.20776713,-3.0744078,-2.5437536,-1.5624958,-0.1129652,0.6416884,0.34371614,-0.25617453,2.4161553,0.9953157,1.1890333,-1.6080991,0.25998592,-0.11862881,0.24436353,0.2147506,-0.41010198,0.23201077,0.6383176,-0.4642153,0.017514704,1.4077907
"-",-0.9219257,-17.600363,-0.55605584,5.536793,2.7493992,0.01119867,-7.039771,11.829859,2.9127417,0.41887295,-9.7423315,-0.73112625,-20.900215,8.72561,0.17075615,22.29938,1.0626876,-3.0401711,9.974027,1.139009,1.5459354,3.3524754,1.0663637,5.4037685,-4.5911217,-5.116028,0.73826694,-3.982162,-0.141134,1.5354884,0.33947325,1.3737189,-10.109113,0.24104105,6.32676,-5.0474052,-4.2960725,3.305512,0.8934282,-7.1766744,-0.6606949,-2.0429971,0.9569595,1.0838101,8.089514,-24.788761,-1.2286372,-0.91756546,-0.25512046,-1.6333482,13.533965,-5.265217,-8.114802,-2.7643075,14.566188,-1.0926764,0.17836863,-10.171562,-0.23510243,0.9026787,-0.7457903,4.5422993,-5.6291704,-14.428011,1.5175271,5.8660836,-1.5344069,7.364959,4.8408084,5.0200653,1.540905,9.363744,-1.752509,4.7176566,0.28766403,0.98898625,-0.8116424,-0.83831656,0.77811027,-9.607223,9.361397,-3.482491,17.224373,-4.0191483,2.0881689,-3.2217345,3.044031,16.342857,5.5036564,0.06840418,-2.3800476,-18.031685,-3.2597861,1.1331593,0.33529347,-1.711214,22.707355,-4.9803057,-0.0356333,3.170807,-7.85968,0.8754779,1.1657888,-0.31422105,0.83571756,-2.6377418,-0.095750466,-0.31498513,-0.62302357,3.6338851,4.3127074,1.3219136,-0.164407,-2.560741,5.4079146,2.2532072,5.9856853,-3.7908804,0.040043134,-2.3655972,-6.9135704,1.8753995,-0.43464872,-9.7694645,-1.0456372,-0.35916886,-0.24795535,5.051438
".",2.0520473,-2.1946604,-1.0328596,1.1989257,3.116789,0.041512758,-6.1356864,12.086309,5.1528335,-0.36194593,-7.8774233,-0.3759328,-0.5644268,2.7513735,0.39226946,6.0553584,0.5210977,-3.5587037,20.612013,-1.3951532,-0.15882273,2.6105187,0.764473,-1.563777,-4.336907,-1.5342683,0.5418885,-5.021157,2.9040897,2.8239188,2.046682,1.7171363,-4.1899333,1.335485,25.548353,-5.101268,-7.8025017,3.7323475,0.51827365,-2.124658,2.6754446,-4.33703,3.0681932,0.31245747,-0.7739292,-0.30390802,-2.1599205,-0.44548836,-0.44985205,4.9888663,4.6270666,-15.828931,-5.6105556,-3.6946757,0.5236272,0.7511672,0.46190906,-7.413776,-0.7240773,-2.2153585,-0.79949605,2.5503252,0.95587015,-0.054140426,0.34090868,3.347369,-1.1520312,3.3630006,7.581734,5.3462005,3.047876,5.4427986,-0.35379592,4.303003,-1.399866,-2.8499875,-0.33521923,-0.31560656,-0.16523024,-0.9818462,12.792404,1.3949279,6.5327,-1.5948169,-0.21962415,-0.6660263,2.5111554,23.780273,2.354909,0.27754232,-2.1311908,-7.643045,-12.194779,0.25146076,1.2558416,-2.78936,1.6450753,-0.50385106,0.9732943,3.491661,-6.195971,-0.02125887,1.2820781,-1.7830445,0.6732004,-2.4400651,0.0025286614,-1.941048,-1.8812907,-0.054596387,-1.0376611,5.837991,1.5864401,-2.4057515,4.5425115,-0.6455505,2.4996698,-3.366951,0.76883215,-0.7214554,-2.2711284,-0.77578986,1.2232707,-5.323951,-1.3792902,-0.71670187,1.8316475,4.1450715
"0",1.9087554,-15.174642,-0.81617117,8.261077,0.7141832,-2.0146565,-6.141678,4.7295113,0.13543339,4.4354753,2.3137817,0.7631458,-6.9367146,6.5691423,1.4762701,1.8747815,-2.2340527,-8.099141,12.365294,-4.754412,10.44417,2.5373106,5.2104445,1.4033008,-0.9654266,-1.6316298,3.0331643,-1.694433,-1.5601087,-1.6611532,2.3933759,2.7758512,-6.2142525,-4.6021953,-2.672926,-3.9501224,-8.918114,7.87594,0.63129,-1.395021,2.7383108,-1.3114299,4.451631,-1.2336727,30.661366,-3.4452074,1.8212125,-1.0776998,0.45860282,1.740922,5.1248727,-20.184237,-2.5106974,-1.770401,10.8355465,-8.725792,-2.3014538,-0.25703302,0.95400625,-1.2690591,-1.1529505,4.4426155,-8.48421,-15.386301,4.3023067,1.3190567,-0.53209376,-0.63031673,0.37282744,-0.3093999,-0.042252,6.0997415,-1.9533104,4.0612583,-18.731564,6.470386,1.0497274,0.29158545,-1.2640654,-1.8552223,2.4914207,-4.03657,7.981963,0.6917318,-1.5600585,-5.6687965,8.870422,3.664766,8.217383,2.9301546,-1.3312179,-3.060001,-3.1128063,14.089602,-0.58876514,-5.0549684,8.657018,-3.5276089,2.7052763,0.4061318,-0.22839664,3.2720346,6.0101485,-0.8631055,-0.3783159,-6.7289653,0.12275756,-0.33673817,1.3870049,10.779175,5.0113077,3.099714,0.23131244,-8.467501,18.14372,5.216378,-1.0537823,-5.5526085,1.8665359,-0.84634125,-5.093924,-0.22088355,-0.53752476,-7.007409,-1.4591553,-0.5693332,-1.094554,8.724044
