CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",0.62526023,-3.7719352,3.2199078,0.36701137,0.17014904,-0.23348337,1.2005532,0.08863911,3.6121128,1.0580397,1.6033369,1.1376871,-2.670553,0.8243026,1.4449935,-1.957191,-0.7260895,-7.4079304,-1.9488685,-0.17626676,1.5849763,-1.7435856,-0.16606422,1.2458947,-1.0008385,-1.0671513,0.15739863,2.9047472,0.14126347,0.5425121,-3.5459592,-1.8661003,-0.23490639,0.20721485,0.48749435,-1.6535207,-2.5882423,-0.9410113,-0.014432432,1.9592283,-1.5217512,-0.17588246,0.9099065,1.9329214,0.6532299,-0.6776968,0.89146316,-2.2331414,1.5825373,-0.7004673,-1.1606448,1.6835196,-2.1458237,0.17653774,1.785669,-1.6735651,-0.47963962,-1.5831974,-1.2333367,1.7535827,2.3635888,1.5471416,-0.15944344,-1.936049,-0.47752118,-0.5847655,0.7613372,0.8536541,-1.8079764,1.2172719,0.14583595,0.5096849,0.44560227,1.0274479,1.4076587,-1.6256316,-0.50745636,-0.3242988,2.4149778,-2.0641522,-0.269092,-3.700632,2.7714334,-1.0612581,1.9668018,1.3364226,-0.38137898,-0.3285654,-1.1212084,0.6532904,0.67526495,0.11418046,1.1436388,-4.053843,0.33336103,-0.72720474,4.154598,-0.051761054,1.154757,0.7890398,-0.032116428,1.3014377,1.3176858,2.5035927,-1.263426,0.33947083,0.7306297,0.07718178,0.9082444,-1.1332542,-0.3819408,2.4281933,0.18470466,0.9088465,15.404391,1.4039007,0.5104445,-0.28814143,1.9041315,-2.755275,-1.2452531,0.837027,-2.507601,0.43842182,0.24716145,1.8586183,5.72212,-0.18449529
"!",-4.1013236,-5.2996483,29.534838,8.130313,19.048069,-18.432947,-1.1513919,4.8108673,15.479964,15.999441,9.364663,7.3736167,-7.9347477,7.4751844,12.261083,-9.684798,-4.713484,-7.20869,-12.485703,-8.394785,-0.5419041,-13.183853,-6.7729893,3.4330945,1.412626,-11.840379,4.1399226,14.356967,-9.583331,-4.2842226,-17.52867,-15.553181,1.0942601,10.199659,14.322846,-8.670695,-22.662682,-5.2589035,-1.7417711,6.7854624,-23.07446,5.6820316,11.397938,8.125462,-11.323546,-14.544888,-16.758419,-18.425793,18.841845,0.9698268,-8.956335,0.7681006,-6.284976,-11.765465,35.092613,-11.454123,-17.638163,-14.085126,3.7750096,16.969822,16.579401,1.1277543,-22.278215,-6.184344,-11.099471,-6.925946,-5.3829784,21.983643,0.36120185,-4.474761,-1.0803376,1.4534831,-2.5188723,20.997225,2.5483632,-15.4810505,-0.22608353,-5.3341007,5.211801,-2.3329113,2.706052,13.964254,10.51522,-0.68374056,5.142582,8.298784,-1.3174179,-5.7740164,2.742624,-2.3269832,1.1037449,-1.1305791,14.803455,-23.48719,-4.4475565,-6.271694,11.666155,-2.7360618,0.90005594,-2.749703,-5.2192364,13.981725,-1.4243867,42.03973,-1.9665459,4.485015,21.093437,0.5145891,8.219996,-6.7670217,1.4193099,25.596535,1.6376903,7.61615,28.32585,-1.7216488,-0.91726077,1.9574555,46.14368,-13.269759,-15.776221,19.829689,-21.236494,0.24457793,9.101274,11.56966,29.794413,2.911362
"#",-13.059476,-20.9133,15.256306,10.668493,14.014854,-31.22879,23.636538,-2.0999296,12.061244,8.807478,8.744051,9.438217,-13.061868,12.239098,6.115826,-5.0682497,-10.356156,-3.218311,-5.113272,-7.33886,1.678324,-5.807197,-2.7683244,6.643965,1.6505005,-5.1114206,17.399792,0.54542124,-12.030468,-4.1943884,-0.78396094,-11.326241,-13.392948,14.118781,8.160125,-15.354087,-10.409625,-2.8464675,0.405564,7.6836834,-2.8494813,10.072606,16.530222,3.8234596,-7.649822,-15.772764,-7.881749,-9.889365,14.187763,6.4878216,-14.067335,1.3569138,-11.951962,-16.199303,12.067245,-0.8604943,-14.618677,-7.5504165,6.6273313,30.427711,2.9012709,1.2558055,-20.749748,-12.81576,-7.989318,-9.155686,-2.9028122,16.1057,-8.810985,3.1728644,5.972642,2.1473234,-9.360089,38.03437,11.01601,-9.039282,-4.843225,-12.209021,10.5998535,-12.818778,3.1517248,16.691946,12.975154,1.6902937,8.425496,6.189392,3.3322585,-3.4390395,3.3070214,-20.968185,15.853962,-1.0374483,17.060415,-16.42407,-12.519114,-8.432466,10.806119,-35.32878,-6.134504,-4.323189,-10.895849,18.933447,-0.20756255,19.910881,-1.4587971,7.79247,11.731304,3.0914235,21.01806,-10.407327,0.74270594,15.411796,7.3393397,5.172707,3.6739166,-1.5700146,19.385277,15.951232,4.9244905,-18.56518,-10.437215,26.89417,-12.241352,13.882641,23.844322,1.8193349,9.710116,20.929775
"%",0.9137634,-7.7638264,-4.4528604,15.227337,12.695178,-29.877306,32.785305,1.0348146,9.770632,12.459844,18.318247,7.235937,-4.2702107,11.594334,22.780836,-1.8046786,-1.9090102,-8.672957,-10.4505625,0.5280376,-0.9712752,-20.17427,-6.8532248,8.4388485,-0.7358313,-2.217973,10.466029,-0.85802597,-5.1125875,-6.454667,-18.307518,-16.379152,-3.9690187,19.077785,19.446114,-22.710669,-12.465609,0.5106052,-4.727733,13.0769825,-10.465844,8.113419,5.0107784,7.3144374,-6.9963408,-14.770447,-12.637145,-15.193148,6.6560187,0.5355183,-24.18766,2.4885468,-12.278268,-11.995882,30.71461,-6.206474,-0.8898202,-9.327106,6.2435527,9.107103,5.267608,4.823204,-25.918427,-22.818678,-12.496638,-12.832336,-0.83765656,6.0865545,-8.899563,-1.4567317,8.489674,4.129528,-6.8143306,17.120289,15.006618,-10.366446,-6.7304068,-12.477307,16.145296,-14.840327,10.231864,4.0425844,11.22747,-0.15035528,9.256918,9.782318,0.06008123,-6.653131,4.508492,-12.396425,7.667692,-0.8341243,25.62872,-0.19889913,-4.344012,-9.170187,9.349804,-29.558458,-9.740551,1.3412876,-8.983019,20.731035,-0.15498932,1.7162329,-2.1875846,14.445695,0.7432358,3.2196505,6.869737,-13.025784,0.98340094,24.64404,4.275113,6.4509954,-0.57644796,-3.912584,21.171885,25.651922,9.8297615,-9.336285,-17.042645,27.858604,-12.550407,12.300891,18.003029,12.511184,5.7408032,10.71318
"&",-3.1480155,-3.3216224,11.87674,16.723293,17.821623,-18.542898,38.90641,5.536634,7.7407975,9.632357,11.471652,10.299642,-2.9120188,3.0614145,10.509798,-8.1621,-12.023906,-33.84606,-16.263947,-9.843766,2.739801,-8.670328,-7.2445283,0.79534066,1.8736489,-7.9820137,21.82826,14.456094,-12.666239,0.16522296,-7.7211113,-2.2740781,-3.4278853,19.865608,4.9590845,-25.4313,-5.0635586,-7.819717,6.9467583,6.078477,-1.809941,7.409396,11.776646,13.128498,-9.875061,-4.9371395,-6.3924937,-17.68226,16.503819,1.3507836,-6.1434054,4.078681,-0.9023022,-18.204021,18.86895,-5.9503217,-20.911436,-12.816985,19.840105,3.8953722,14.793222,2.0130649,-16.464825,-9.24035,-4.7390437,-1.0194639,0.6255441,2.007772,-19.71846,3.0782292,5.845599,5.356469,-3.6340582,34.929745,11.560583,-12.526538,-5.9473934,-10.932462,21.930481,-7.3312106,6.2218986,2.79547,5.896119,2.2674704,9.614949,3.2097383,1.4385943,-9.001657,7.7672143,-11.49006,2.4554229,-1.8776455,12.2189865,-13.482287,0.15825762,-11.188147,16.622005,-1.924888,-7.296212,-3.659727,-5.553374,9.409312,0.3393106,1.2626427,-3.4359834,39.384693,11.314176,8.970888,1.1573455,-9.5526705,1.4183626,25.09856,3.2785463,6.972817,8.298236,1.5247114,14.791874,24.02859,0.7908574,-20.003586,-11.62581,19.696453,-32.08025,18.22993,25.569033,11.362513,7.122519,2.0525415
"+",-4.7385106,-19.814787,20.019802,11.858754,28.5746,-23.766813,24.567076,3.3501275,-0.14256817,11.323403,-0.34638837,9.505217,-11.727357,14.117877,17.221046,-5.2847824,-11.211633,-6.4697447,-8.0066395,-4.3854914,2.1217692,-8.400624,-2.4709167,5.452132,1.2200713,-6.150507,22.719662,5.417196,-14.3505745,-4.156965,-13.9268,-10.543897,-8.219128,23.744427,15.61535,-20.682636,-13.856827,-3.5290854,16.909887,11.756257,-11.857885,11.0569,20.096882,5.777294,-8.079108,-17.245865,-7.6859674,-26.025082,23.101229,1.0851473,-9.615469,2.7609315,-13.443495,-1.329329,48.322662,-3.692908,-8.267284,-8.787098,17.572292,8.213209,7.24817,3.5385175,-22.802473,-6.3882155,-5.149916,-8.585338,-2.2510233,4.5903687,-11.3414755,-0.93563116,4.1164002,5.018739,-16.45876,32.175465,15.831311,-20.220814,-9.844143,-8.124553,8.738047,-12.662607,5.9733653,3.721204,15.072261,0.32981884,4.919732,-1.4078783,4.212683,-4.4079175,9.67553,-11.774931,4.8882113,-2.8039775,14.748606,-3.835877,-8.025769,-10.753577,15.281684,-22.02094,-9.153015,-2.5565584,-8.1158495,32.73765,0.3301994,4.578615,-1.6482469,6.2532506,9.131503,6.8279657,14.670224,-14.053657,1.6715705,23.922182,11.526682,6.8171716,10.85153,-0.30618036,15.4797735,22.596022,6.223323,-13.115109,-10.465462,23.646448,-21.515188,17.976896,27.733973,17.878986,6.8671885,5.5910883
",",0.80852926,-4.168069,3.0293598,0.5016376,-0.27172863,-0.32129693,3.599493,0.4755987,4.391789,1.3827367,0.8285891,3.0086358,-3.2118435,1.253387,1.0377778,-1.8739629,-0.46011755,-8.618851,-2.2941415,-0.39753082,0.5812994,-3.2272046,-1.0113966,0.7126122,-0.5220238,-3.1245246,0.3862817,3.0773387,-0.29506877,0.45660025,-2.3427982,-1.7427284,-1.5517056,0.44394585,1.0300561,-1.4853022,-1.8722847,-0.9053551,1.0594679,1.7751061,-1.6650097,2.0046935,1.1703511,1.9313889,-1.40171,-0.27088723,0.4724232,-1.8510544,2.4641728,-0.17870544,-2.4656796,1.930823,-1.5984026,0.36244026,1.7305434,-3.067482,-0.41468763,-1.9929264,2.1618288,2.2176962,3.4085424,1.7774397,-0.49895343,-1.8367435,-0.38610333,-2.307845,0.32886922,1.1012778,-1.9524052,1.9639091,-0.35318124,0.49846736,-0.11633188,0.9205076,1.7951221,-2.9304848,-0.7283281,-0.9887372,3.7783403,-4.368294,-0.09830199,5.2572546,2.5766196,-0.59897894,1.8569673,0.93192416,-0.17514996,-0.22833392,-1.1850792,0.068227805,0.89182997,-3.9214327,1.0537568,-3.274871,-0.24797465,-2.2536044,5.1559906,-0.59495085,1.2576793,1.4612463,0.076468274,0.9904672,0.7895968,1.9745318,-1.1463107,0.21241166,0.5573844,0.11384383,1.4869981,-1.0330229,-0.047060613,1.5047808,0.5159629,1.4580146,11.700514,1.463723,0.24698448,-0.476411,3.585697,-2.8374054,-1.995177,0.7124343,-2.6520283,0.8804682,0.6841664,4.682746,8.582316,0.07689796
"-",2.2081716,-4.080511,0.9460638,1.8187681,-1.0653629,-0.20277177,1.8189778,1.1435909,3.4612987,5.6316767,0.9233487,5.636154,-3.1582513,3.1853738,1.321113,-0.57711655,-2.5069828,-10.214684,-4.813964,-1.2868694,0.8520921,-3.966499,-0.9503007,1.2733363,0.20991172,-2.9348092,0.81357944,4.3352547,-4.6469855,1.3528695,-4.659328,-4.431688,-3.1479843,0.1574867,1.2862548,-2.5158699,-5.8421855,-1.5189506,6.811383,6.272912,-4.654761,-1.4176507,0.2164517,0.40478593,-3.3125303,-1.7076967,-2.3353066,-3.4694216,2.8228188,0.4023336,-0.80668503,2.913642,-1.8838695,0.6774092,2.3982887,-3.8561118,-0.56646675,1.9516327,1.0693432,1.6319647,4.170801,1.7042958,-1.4410517,-2.5001929,0.21366516,-1.0753683,0.36408895,-1.4659146,-5.370248,-1.3950094,0.029761033,-0.23749325,-2.7565289,3.459207,1.6948183,-1.1787086,-0.6953306,-1.0463082,3.505734,-3.69828,-0.85700667,2.2866814,2.6230292,1.4244726,1.7436424,2.8731136,-0.05669164,-1.0537926,1.1389644,0.6329624,0.7271277,-1.1971079,1.3271338,-3.7007182,-0.17821148,0.30612454,4.7864237,0.16694239,-0.5469077,1.9340187,-0.90967494,0.7927399,-0.40678373,4.052767,-0.38072768,0.3887435,1.6769929,-1.386407,0.54550374,0.1994568,-1.2109039,3.0598302,-0.98772556,1.270606,5.4565945,1.6619054,0.84514666,0.99388695,1.2484099,-2.3639758,-2.5796013,1.2442766,-3.9001563,1.6934927,0.42644298,2.386629,5.794398,0.37298408
".",0.41326416,-1.6313047,2.7653866,0.8341361,-0.063361734,-1.1665063,3.4095721,0.38527033,1.343786,1.3099118,1.2363884,1.8404382,-3.1920588,0.919398,1.3928643,-1.8219312,-1.1432462,-6.5918465,-2.1227093,-0.82611334,3.0085227,-2.892289,-0.8432378,-0.29428184,-0.684792,-2.2331285,0.4351438,0.5627749,-1.0872813,0.99397695,-3.5537922,-1.8564212,-1.4175062,0.35939038,0.7736358,-1.1404256,-2.173834,-0.63962597,0.41425884,2.1484683,-1.4637223,1.0865954,1.3081824,2.7409751,-1.2415563,1.036488,-0.51259184,-1.7276988,2.5705395,-0.47471714,-1.8777864,0.7015302,-1.2909371,0.08572534,2.2848184,-2.9769545,-0.52394146,-1.3254846,2.9381537,1.2934855,4.222144,1.4776279,-0.29829806,-1.6216544,-1.9108129,-4.0633965,0.18744662,0.8133216,-3.1371713,2.9352117,-0.06706387,0.054297164,-0.0066057383,0.9164822,0.78044176,-3.2941406,-1.0253632,-1.1706986,3.461471,-4.0800657,0.043385815,0.41766784,2.4375834,-0.83775175,0.6754313,0.9646421,-0.24444555,-0.19363104,-1.0632635,0.21605814,0.7255806,-9.071585,1.245575,-2.2437968,-0.20621452,-2.0533583,4.059941,-0.24723883,1.1087809,1.1344012,0.42202514,1.5619538,1.7569989,1.4770299,-1.6320558,0.28056437,0.72443557,0.39664695,1.5197645,-1.2286434,-0.10670569,2.7176747,0.46989545,0.43837097,16.583876,2.323309,0.0571735,0.107146084,6.888783,-2.7078516,-2.0054784,1.0767511,-1.8258407,0.48706043,0.43643817,4.076095,1.8831991,0.40755153
"0",-6.7865634,1.9985497,8.267114,19.063238,12.661813,-26.215008,5.644432,2.0098567,2.083686,27.021275,-0.5279292,12.599512,-1.1512667,7.2594852,12.652592,-1.205727,-22.342014,-23.11675,-15.2876625,1.4013045,1.198952,-3.1319203,-4.45657,0.8565267,0.96036905,-3.0640984,37.895664,-1.9843004,-18.438072,-2.5686512,-24.725245,-7.523064,-6.14934,13.953743,2.805676,-28.122213,-13.699649,1.4286348,3.5925722,30.44656,-25.673359,9.1024,12.661315,3.2549703,-6.633552,-17.523472,-9.527466,-20.344736,5.8968163,-0.6741756,-19.866861,-0.016135661,-5.839771,-11.95016,21.426588,-2.1081543,3.7603981,-4.927774,4.3990927,6.817392,18.352728,-1.7780522,-5.4222813,0.85302794,-2.8648076,-2.407034,1.7656238,0.5274436,-20.109331,-3.0445623,2.0394516,3.215509,-1.5132489,6.4436545,10.9481535,-23.7358,-5.7619576,-7.509974,14.809625,-21.12222,-0.70115066,6.021331,16.264229,-0.32110858,13.197401,4.7279277,1.587298,-12.782409,0.63931876,-1.4278682,12.63259,-1.1912057,12.461505,-6.220737,-0.2779561,-12.285004,6.435352,-11.456048,-5.055978,2.5886536,-1.368078,24.761433,-1.5949354,26.747267,-0.41598424,12.597444,8.594832,0.93533623,13.100639,-1.6901793,0.43531087,-3.9691403,-1.1072068,8.072258,2.4550703,-2.3594077,11.972906,9.892637,3.5932734,-18.338684,-9.473917,26.500862,-5.037354,13.959369,22.385723,13.522204,3.6648545,-2.174906
