CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",0.05623471,-0.028693153,-0.38540238,-0.9938048,0.3461232,-0.0012293612,-0.09441144,0.014633552,0.010096589,-0.11458843,-0.23077685,-1.2372869,0.24726774,0.08704123,0.00826029,-2.157269,1.1519289,0.8535941,-0.060718365,0.25827956,-0.11487274,0.020861857,0.2052222,-0.45608088,1.219192,0.027426302,-0.0032699662,-0.2874627,-0.5523894,0.12298957,0.2717364,0.27490553,-0.2800766,-0.016662853,0.010535169,0.3744449,-0.20474896,-0.055721335,-0.1884524,1.3674787,-0.00060188235,-0.36622682,0.033161093,0.0030652704,-0.014222497,1.144554,-0.03420231,-0.73922867,0.048856597,-0.4857307,-0.22150765,-0.117529735,0.1781571,0.087702855,0.06318711,0.15237872,-0.039811935,-0.068688974,0.11412299,0.08073192,0.07426558,0.020249484,0.13432217,-0.38362205,-0.46874207,0.08171722,-1.0574803,-0.4447564,0.24791197,-0.09570242,0.075280026,0.43622866,-0.19439638,-0.60688967,-0.01486739,0.079529166,0.19413264,-0.030867696,-1.2218302,-0.7113952,0.107402705,-0.03221356,-0.35405695,0.025807438,0.3272874,-0.05033131,-0.08576239,0.56538224,-0.10221637,-0.07427055,-0.03286455,0.03239269,0.21263514,-0.029396635,0.18950723,-0.21555805,-0.14622198,0.64506876,-0.0008889602,-0.042928457,0.010885224,0.75094014,0.0015537417,0.011603704,0.20848927,-0.46755314,0.05136295,-0.03731093,-0.23981318,0.48703542,-0.0035953624,-0.052148756,-0.28131494,-0.016056666,-0.044470172,0.22912511,0.19345528,0.5694319,-0.2123132,1.0550406,-0.39281428,-0.028249033,0.28472415,0.38270596,-0.3925195,-0.392083,0.41278294,0.04611556
"!",-0.72563887,0.24417616,0.5342716,0.4542091,-1.2412869,-0.09921137,0.008264376,0.8089872,-1.0076696,-1.1164107,-0.47108427,-3.4941566,2.6778052,-1.2673411,-0.17701563,-1.7104694,-0.63595086,-0.561956,-1.4563947,0.5017141,0.35699317,-0.10976868,-0.92750233,-0.38652498,2.2201993,-0.44186294,0.5788997,1.1584343,2.1222107,-0.41956294,-2.5728004,-0.42665768,2.088186,-0.7898007,-0.8246414,-1.0394146,2.1078625,0.038747653,-1.9471409,2.872675,-0.4571473,1.5198501,-2.0530796,-3.0335805,0.16722852,2.494714,0.7333389,-1.2470913,2.347696,0.98513585,0.9024786,1.315865,0.10734084,-0.47983992,-0.15177268,0.09430923,1.4680011,0.09765686,-0.7311843,0.36636788,1.2464902,-0.9694989,-0.53233474,-0.26781672,-0.10148366,1.3376249,0.45569554,1.101563,-1.0359648,0.33840403,0.21365301,-0.16559316,0.52243805,1.6425182,-1.8629861,0.9804779,2.0491621,0.8816558,-3.303541,1.3698297,2.8492522,1.400058,-1.7286248,0.42808896,-1.3685771,-0.4430392,-0.6213924,-2.4128072,0.2372248,0.5147674,0.37432635,1.0370905,-1.1813483,-1.5849509,0.42353806,0.9460659,-0.6817761,-0.051258948,0.12385034,0.49326763,0.61622024,1.0075973,-0.24362807,1.425757,-0.56125045,0.22289468,-0.008689396,1.689843,-1.9676046,0.2840045,0.025754137,-0.35567892,1.1900687,1.0206183,-0.69398427,-0.76585966,1.65813,1.2990371,0.42567372,-1.8762022,1.8113045,-0.8589008,-0.27149627,-0.6173608,0.13241221,-0.6648524,-1.3654971,-0.8682958
"#",-1.8131247,0.22306271,3.053326,0.7505507,0.7528186,-0.7343056,-0.7251406,-0.3770777,-2.0891716,-0.76979464,2.8183572,-1.6033766,1.5068527,-0.9232767,1.5087631,-1.1280854,1.2518616,2.5529938,2.7440856,-1.1871811,0.26482356,-0.30263713,-2.332341,-0.003149584,-0.28703287,-1.2422997,-1.700385,0.92718834,3.4616497,-1.6004666,-2.6257558,0.520364,2.3944077,0.070886075,-0.2714903,-2.9022286,1.0222186,-0.9417101,-0.39771986,0.71817315,0.97724175,0.21075076,1.2828256,-3.0662737,-1.0965672,1.063534,0.6532776,0.39634478,2.0096827,1.9447894,0.62419146,0.8352145,1.0876648,-0.78489983,-0.7087574,-0.3994255,1.396532,0.004067125,0.027156118,-1.2687849,-0.9393505,-0.02497327,0.2921252,-0.097691655,-0.4873301,-0.26890272,-0.8623216,1.6063536,-0.6875858,0.4217655,-0.268857,-1.7258203,1.5766628,1.1120323,-1.5388674,-0.9555315,-0.37814745,1.3738728,-1.1465535,1.4029682,0.44063893,-0.15811512,-1.36391,0.17528863,-1.1434419,0.6039614,1.2267158,-0.44679102,-0.41599584,-0.12927781,0.47297704,0.60057557,-0.49700716,0.54425675,-0.7157638,1.0814726,-0.58386093,-1.674656,0.8361335,-0.8519018,2.4359415,1.7874587,0.2480835,0.8323719,0.8585021,-0.8749101,-0.9176325,1.9563743,0.28323248,0.74877554,0.386272,0.081908464,1.9944626,-1.7672081,-0.52476406,0.25961816,-0.48241606,-0.9583709,1.602807,0.46046606,0.17601456,-1.039589,-0.7000311,-1.9843872,1.082043,-1.2414408,-0.69312775,-0.35226837
"%",0.34341747,-0.10019034,3.2059162,-1.0530264,-1.658721,-1.0651066,0.9781033,0.21614139,1.9362229,-2.8669846,0.5060109,1.1497457,-3.49567,-0.7833583,-0.044540167,-2.3453627,0.27095446,0.9983743,1.0012058,3.58741,0.5192384,0.024643492,-2.5087628,1.7543402,1.2279843,-0.2581084,-1.0676042,-1.9705269,2.762157,-1.9451907,1.276398,-2.127195,2.2760212,0.11901593,1.0994782,-2.805361,-2.1471233,0.51874524,0.6294512,3.92358,0.19931588,1.1554137,-0.13298804,0.93120974,0.8633741,1.2815452,-0.27121723,-0.98592246,-0.074038684,2.4056885,-0.5415846,0.8350931,1.1335156,-0.2741666,0.48233446,0.5194985,1.9656105,1.2155381,-1.2398515,0.09798285,0.1756497,-1.1934813,-0.6709787,1.7536601,-1.2850181,-0.037401576,-2.1523423,0.9193566,2.1178305,0.042307775,0.16890486,-0.6648413,0.8479089,1.8861581,-0.6196495,1.0050366,1.3460563,0.6923228,-3.3168807,-0.80126894,0.121836126,-0.4650971,-0.4355447,-0.34596652,-1.3857882,-0.24853376,-0.47210965,-0.496004,-0.12558272,-0.3901633,1.6063378,-0.16539496,0.06417779,-0.9571894,1.2395737,-2.0813465,0.20212863,-2.2647233,1.2092993,-0.022090163,1.2959645,2.628474,-0.50407386,-0.32117614,1.0553415,-1.134198,-0.36304,0.16059427,-0.77808976,-0.9969293,0.2698885,0.7702302,-0.37744078,-0.6482228,-0.26230314,-3.2348254,0.80961686,0.9579264,-0.33374038,0.98211694,1.7648033,0.5053365,0.8941412,-0.15363841,2.3579419,-1.170245,-0.6029755,0.13644056
"&",0.4456774,-0.6503765,-0.59329945,0.78046536,0.8208674,-0.5193074,0.2288019,0.49116904,-0.6032592,-1.2154496,0.2590223,-0.6262342,0.7443429,-0.29531467,0.11363486,0.60444313,-1.0986073,0.17184266,0.6974511,0.27633837,0.003155395,0.7912296,-0.9894239,3.2324133,-0.34530765,-0.15668207,-0.17822811,1.4249951,1.7246155,0.19792584,-1.9861807,0.18259814,1.1174415,1.2866336,-0.660376,-1.830381,0.4828331,0.09503327,-0.9548556,-0.4568775,0.11396968,0.48606908,-0.362559,-0.61871713,-0.06622041,-0.8080598,-0.387531,-0.84705436,-0.0026068038,1.8096178,2.6713603,1.543204,-0.683151,0.389848,-1.7294788,-1.4921156,1.7929276,-1.5972964,-0.47496003,-0.22399363,-0.712403,-0.5304822,-0.3990067,1.3059766,-1.1045326,0.62760955,-0.21254748,1.1337873,-0.16527194,-1.7386897,-0.28103605,-1.22844,0.29248717,0.28304744,-0.4711118,-1.0714682,-0.41840988,-0.17472935,-0.0018704243,-0.13097216,0.38937002,0.08047553,0.047760837,1.4464802,-1.7740104,1.2362643,-0.79388285,-0.26025698,-0.099537596,-0.85145944,1.0083864,-0.3745237,-0.20625368,-0.4211114,-0.57870156,0.035332974,-0.17606309,0.18522672,0.69181097,-0.63147646,1.0901735,0.5893257,0.35036203,-1.0241826,-0.44316554,-1.4345897,-0.85792863,-0.4552448,-0.24001817,0.94524574,0.8266527,0.8743171,-0.7554179,0.3446654,-0.57827675,0.36010504,0.07762335,0.24890703,-0.45683903,-0.7643094,1.4827058,0.47044134,-0.7271921,-0.39696324,0.22198614,-0.33783463,-0.8534429,0.7140277
"+",-0.43303838,-0.12258516,2.3825698,0.40808877,-0.7810442,0.87696284,-0.31971177,-0.7580927,1.1635853,-0.6185346,-0.34507877,-1.6149073,-0.6959335,-0.09586824,2.5893145,-2.9536333,-0.28046316,0.5064718,0.52795404,0.63789535,0.7203084,0.76649237,-0.95631963,2.111954,1.9598645,0.41632122,-0.79801583,2.4105344,2.7941384,0.19917011,-0.35192186,-0.30397722,2.247215,-0.89268875,-1.3412592,-1.8763263,0.036171388,-0.90927744,-1.8822902,2.8725848,0.30112913,0.21912394,-2.173802,0.8077034,-0.24222821,3.3191004,-0.14140043,0.24757183,-0.09442279,3.2063992,-0.5288639,2.238501,0.15169749,-0.9988272,1.6206443,-1.5975882,1.3316354,0.75246245,-1.4031851,0.82607514,-0.90591747,0.8833713,-2.0273547,0.36588308,0.04321602,1.1301234,-1.8006363,-0.046363413,-3.4481478,0.8705533,-1.8746517,-3.0429637,3.3061626,2.526861,1.5520436,1.2915057,-0.5571721,-0.9267158,-1.3364853,-0.18469854,-0.088309996,-0.108728126,-0.8772309,1.044781,-2.6257627,0.5744009,0.12603742,-2.7524142,0.053274635,-1.8998972,0.2469312,-0.35661918,0.4021163,1.4937537,0.13151623,2.1044767,-1.2620322,-0.7767028,1.3822001,-1.1730165,2.4371068,1.439451,-0.78564507,1.3640814,1.8317924,0.83671093,0.56926435,-0.91307896,-0.1673364,-0.41712528,0.10702352,0.61173606,2.2592177,0.8738074,-0.17680311,-0.060931277,-1.2295762,-0.16071711,-1.3147895,-1.4301393,-0.33150187,1.3199217,-1.0770726,-3.3255403,2.739772,1.0231967,0.49787688,-0.051857002
",",-0.0651224,0.030905083,-0.6450023,-1.2664312,-0.5722467,0.20967688,0.10896559,-0.4006098,0.40591577,-1.4550602,-0.7000694,0.09959308,-0.47844636,-0.07786238,-0.0075852703,-3.0559323,1.0846788,0.44639722,-0.70613056,0.088100776,-0.04995622,-0.11596632,-0.050012983,0.4803577,2.1465793,-0.028032303,-0.15456349,0.27398255,-0.4435377,0.47079644,0.65687436,0.26553398,-0.18980947,-0.18489553,-0.00016037887,0.31722,0.30842018,-0.07389938,-0.20481469,2.5482416,0.14785662,1.7234086,0.05907879,-0.1395432,-0.0024288115,0.33049566,0.09850276,-0.34648716,-0.033784263,-0.0009257379,-0.24372779,-0.060414575,0.14862074,-0.12230603,0.061979793,-0.07910277,-0.49917638,-0.17315933,-0.14368394,-0.31187248,-0.2588135,-0.10796312,0.21194927,0.039528847,-0.3950952,0.16795155,0.28496397,0.4410076,-0.7337428,0.12205507,-0.20382869,-0.12969017,-0.29347342,0.5374904,0.114827305,-0.10390033,0.2865052,0.03677761,-1.981093,-0.5734629,-0.010389415,-0.18411304,-0.044400916,0.016320975,0.24784166,-0.07756277,-0.37202132,-0.2687792,-0.104938745,0.14784893,0.114520654,-0.06000465,-0.68304676,0.09398031,0.21433869,0.48998266,0.025036234,-0.86858827,-0.027052013,0.06659338,-0.22832201,0.7865755,0.11735676,-0.21367334,0.6604856,1.3255663,-0.012779965,0.039984703,-0.1058852,0.3721683,-0.086800046,0.18600027,-0.29639935,-0.1834604,0.22802223,-0.85724354,-0.44108415,1.361962,-0.5250881,0.61900973,1.1411308,0.12948465,0.20224115,0.56102127,-0.2745591,-0.25712934,-0.1595914,0.0032843503
"-",-0.089543864,-0.27613708,-0.68035024,-1.2981619,0.25316796,-0.6142712,-0.35255325,-1.3646488,0.51943356,0.47761065,-0.35051307,0.34352022,0.38777953,0.39360452,0.16199093,-1.6980435,0.5475618,0.09212062,0.2770053,-0.030874263,0.07718333,0.40488377,0.657737,0.20914133,1.3219761,0.08815836,-0.04182748,-0.18523669,-0.4603718,-0.74522275,0.18421163,0.5529133,-0.2653576,0.2809483,0.23002219,0.456931,0.9340666,0.154021,0.053618085,1.639646,-0.05005647,1.0288229,-0.08971518,-0.10170506,-0.48003662,-0.0964171,0.11783845,-0.9109889,-0.41417578,0.16201621,-0.36149853,-0.27453256,0.58265764,0.39051807,-0.34006232,-0.04570204,-0.37229723,0.3902339,-0.25109237,-0.34885475,0.08222919,-0.6457989,0.17709129,-0.20378405,-1.3793459,0.13027206,-0.35249132,0.76039284,-0.7917403,1.1996922,0.14976083,1.2475868,0.053626418,0.1286692,0.30376664,0.18859342,-0.5704894,0.058469567,-2.49029,-0.7236613,0.3836914,0.19313465,0.38537678,0.6400366,-0.3957284,-0.025762733,-0.23551938,-1.3141885,-0.24467139,0.07461642,-0.12964621,0.17561245,-0.7133068,0.43132716,0.49367085,0.7568834,-0.76710236,0.0779604,0.28779015,-0.04883985,0.7862428,-0.111604184,0.26822913,-0.16965064,0.21941501,0.14932269,0.23079145,-0.16242537,-0.22369781,0.38664874,0.024224324,-0.042935826,-0.25355932,0.1807977,0.44356894,-0.09620443,-0.3601257,1.2733095,0.24524964,0.50935423,-0.5853676,0.4079565,0.21320754,-0.3306355,-0.015765095,0.5987524,0.29596138,0.2151872
".",0.22169743,-0.049983285,-0.3674832,-1.1891488,-0.38523355,-0.20426491,-0.04519916,-0.023102647,0.043081474,-1.009962,-1.2458626,0.9659107,-0.3683818,0.023509366,0.08399206,-2.293316,0.18765438,0.43642795,-0.33338442,0.26655212,-0.079210766,-0.33472493,0.09766164,-0.14147425,1.9943931,0.114661686,0.050654624,0.40444738,-0.4514998,0.57644457,0.26367268,0.39259076,-0.19302689,-0.102868184,0.16115953,0.3791193,0.0528925,-0.082543485,0.06486525,2.706275,0.026337171,1.0578966,0.11431153,-0.20974484,0.20358169,-0.89049935,0.13215423,-0.43829748,0.17357157,0.18741319,-0.6814928,0.07391999,0.42234242,-0.10244119,-0.14154285,0.20957893,-0.17878589,-0.20466562,-0.5988691,0.06371072,-0.29825535,-0.20577061,0.06936307,0.0012472995,-0.7664095,0.1543925,-0.114363216,0.6424412,-0.35910425,0.023714928,0.16224189,0.4145023,-0.041002054,0.2530356,0.22531413,-0.051907986,0.46001863,-0.06865674,-1.6828603,-0.78610754,-0.11273334,-0.06087993,0.35966894,-0.27781966,0.057985503,0.12064929,-0.9262181,-0.1531829,-0.063947566,0.08000867,-0.10234091,-0.054629333,-0.11352375,0.014981345,0.18601573,0.6098621,-0.22402298,-0.21398322,0.18586874,0.21411216,-0.082549214,0.95401347,-0.13344406,-0.1384259,0.24291857,0.76382846,0.06659798,-0.045227215,-0.19242582,0.48334324,-0.03886415,-0.007397218,-0.3132543,0.14631663,-0.15666069,-0.96795696,-0.16969848,1.1102374,-0.7083705,0.5885081,1.1025848,-0.20263234,0.54330105,0.35491487,-0.51302457,0.051819146,-0.7739369,-0.14628145
"0",0.029257199,0.44223422,1.2557386,-1.048912,-0.5497918,-0.20927973,-0.14208156,0.71535313,2.184022,0.3314285,0.7842579,1.228387,-2.3762803,-0.10192627,0.1155493,-0.7209723,0.7151056,0.16057108,2.0120308,-0.9698722,-0.015640348,-0.017598115,-2.6388812,-1.301455,1.419123,0.046704076,-0.04641053,-0.6860582,2.2149005,-4.3880305,-1.8462112,-2.912965,2.1865647,-0.22012396,0.1986402,-2.8239179,-0.623613,-0.18419938,0.06942427,1.0477029,-0.11818615,-0.08929413,0.044195183,-0.13967878,-0.10792896,-2.6210213,0.2612224,-1.208027,0.1379787,1.2920637,-0.5274072,-0.36863998,0.9883126,-0.0015970175,0.25041857,0.4727651,1.7634321,1.5442095,-1.3711485,0.2558899,-0.4936406,-0.10187017,0.034522045,0.230275,-1.3559692,-0.1383396,-1.8461084,1.3343328,-0.52579945,1.4218267,0.007858128,-2.0927083,1.6684389,0.5050788,-0.094864905,-0.13635959,0.4940835,-0.2995901,-2.0813565,-0.6419631,0.17412153,0.07397683,0.09895812,-0.036761712,-2.6801004,-0.014505558,-0.42142916,-0.010411461,0.24119085,0.25740954,0.1489878,0.0027015756,1.4467281,-0.24660368,-0.89286196,-0.05288293,-1.0858806,-1.1138937,-0.07854302,0.20720161,2.3328505,1.1047171,0.055760052,-0.053840578,0.67784065,1.143594,0.12563649,-0.13260679,0.95424783,-1.8029984,-0.37946406,0.0083320625,-0.650853,0.20132685,-0.09893385,-1.2979966,0.6924179,1.1514078,-0.7491243,1.0616903,1.7100772,-0.17673275,0.9678896,-1.9914299,2.9029355,-0.051835395,-0.25001758,0.2979035
