CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",-0.39788693,-0.040099375,-0.53704333,0.34199494,0.26368257,-0.3941198,0.16868362,-0.54667425,-0.4628927,1.2687751,0.010433485,0.031081572,0.8960127,0.020557504,0.15703598,-0.478699,0.02927912,-0.5055148,-0.49273276,0.41191873,-0.18026115,0.18679494,-0.21684088,0.1074159,-0.38930038,0.39105573,-0.024350433,-0.027750645,1.1785798,-1.4921067,-0.68468297,0.0078841755,0.087764695,-1.1775093,1.7449731,-0.7754516,0.14873086,-0.091964446,-0.078310646,0.143469,0.3923567,0.39323556,0.36501652,-0.1571791,0.38715264,-0.026649676,0.21752654,0.43600807,-0.26972306,0.06853344,0.43225703,0.12728333,-0.019340238,0.25438768,-0.069279104,-0.07641932,0.080766626,0.6427906,-0.31296346,-0.30213773,0.0012421487,-0.31404227,-0.014264509,0.01191452,-0.027860656,0.27581,-0.8026453,-0.13692056,0.15051842,0.024957499,-0.007258809,1.2702827,-0.017123522,-0.352539,-0.016853949,0.16217415,0.35808975,-0.01787868,0.047068562,0.03851907,-0.6944993,-0.576227,0.009031642,-0.29661688,0.02066298,-0.018571973,0.4424179,0.42540303,0.054929785,-0.041982442,-0.54933643,-0.8885656,0.6176008,0.9190709,-0.2712528,-0.39981034,0.013149042,-0.35264182,-0.8808892,0.004664451,-0.035815425,0.04212908,-0.18029305,0.06765199,-0.5349395,0.092588946,0.56100374,-0.054183826,0.49809125,0.44091633,-0.21937172,-0.27908716,-0.0877104,-0.029413624,-0.43540198,0.14064111,0.03000989,-0.5870351,0.18988329,-0.36613357,0.2660524,0.075578265,0.30122888,0.005156057,0.010468653,0.703674,-1.0714726,-0.03739141
"!",0.8394508,0.53073,0.36084583,-0.13175109,-1.0866457,-2.0217519,-1.0607799,-0.39701185,2.0220308,3.0360572,1.0701185,-0.42354223,-0.51839167,0.95199454,0.18742825,0.4294551,1.1619666,-1.1389364,-0.9129874,-0.8873141,-0.1017686,-0.14840405,2.098346,0.26046035,-0.113440365,0.14948331,1.3059179,0.7620819,0.7870026,-3.781746,0.91395366,-0.9260105,1.3801197,-0.49218652,3.9905813,-0.011248414,0.7163447,1.2719877,0.73991615,0.86365676,1.2228358,0.5310626,1.0938745,0.5624882,-0.071880504,-1.8629637,1.3657198,-1.9773628,-1.5454041,0.083105825,-0.7412032,-1.0616372,-0.33534503,1.4245363,0.703493,0.17303376,0.66715,0.5315708,-1.5889068,-1.0208266,-0.76941234,0.8632497,-0.5529717,-0.018979335,-0.31716207,-1.761799,-1.4971813,0.23582207,-2.1344383,0.106578454,-0.33345008,0.47766733,-0.46534687,1.1672372,-1.4033934,-1.3175974,1.2010787,-1.5404395,0.12444325,0.569628,0.77884406,-0.79130465,-1.11174,1.3612378,-0.3738829,1.9860245,-0.08316681,-1.2151183,0.093485594,-1.1282296,0.14368533,-0.108164154,2.1903453,2.4214115,1.1644324,-1.5468047,0.56947494,-1.5056323,-0.90278745,0.8803621,0.60711396,-0.8294395,-1.5213674,-0.76363456,0.024082415,-0.5130761,0.56734985,-1.371938,-2.1026487,-0.13509104,2.8396013,0.60303116,0.5493793,-0.096371256,0.2843591,-0.05854197,-0.800597,1.268026,1.7860261,0.67130166,1.1329751,-2.9776165,-1.2699689,2.8887317,1.3052976,-1.9045343,-2.1001437,0.36993363
"#",1.3728064,-2.0137708,1.5520182,-1.0617777,-3.169612,3.5227418,0.99858856,-1.056988,2.501301,0.8851266,-0.17858362,-0.112973824,-2.9155383,-2.100412,-1.6729409,1.7928226,0.06654757,2.3884926,-0.7842823,0.36865848,-1.0199239,-0.03616541,2.9936552,-0.11535403,-1.3932995,2.1779766,0.09720664,0.18002981,2.0868664,0.6944792,1.1696639,0.4807197,-0.12610112,-0.17022301,1.2619148,-0.8387337,-1.3310372,-0.1578405,0.5975721,0.44648686,2.225299,0.5981467,-0.21133275,1.6232283,0.05392632,-1.318373,1.8704686,-2.1972516,-0.81107527,2.3181186,-1.0421138,1.1824023,-0.109537795,-0.37398544,0.9166372,-1.4501277,0.70682526,0.5328584,-0.76411957,-0.62054944,-1.4325197,-0.07908318,0.17960595,0.06362162,-1.1648256,-0.4734925,-1.2566081,2.049203,-0.9348795,1.1169422,0.22147301,1.4807758,-0.90151364,1.3077673,-0.065988116,2.7367296,-1.7762487,0.7082184,-0.4208037,-0.30644,1.5227292,-0.00698328,0.09861312,0.19864868,-0.03622505,0.10995185,0.626811,-1.4423974,-1.7181466,-0.7254221,0.9063698,-0.5893445,-0.48419735,-0.689758,2.6598918,-0.045500617,0.039540023,0.19284981,-2.2398245,0.22497144,0.29709008,0.28569388,0.06902122,0.5121995,2.690351,1.8669937,-5.473921,0.95497924,-1.032378,2.2750661,0.85394037,-1.0542983,0.7197192,-1.3595357,-2.7925398,-2.0524502,-0.03787025,2.1856296,0.5407743,2.281776,0.76707834,0.6750182,-1.2525009,2.1556978,0.5969702,-1.3168348,-2.6909912,2.4690137
"%",1.7825911,0.010726771,3.143226,2.243583,-2.035351,2.7830045,0.17045401,0.28124753,3.4557276,1.5220354,0.19983558,2.5658238,-1.288036,1.9862157,0.8500139,-1.5039786,0.13357915,-0.37571615,0.2857637,-1.5810845,-0.11597818,-3.6731343,-0.04279401,-0.68489605,-0.8956227,1.1814077,-0.07683864,0.7152903,1.5056945,-1.4191793,2.5786529,-0.008459411,0.9656087,-1.2132303,2.5422592,-1.4380474,-0.9327036,-1.2484987,1.5216855,-0.027347375,0.36822358,-2.9345565,-0.7970902,-0.75645155,-0.20474644,0.80449235,0.31577557,-2.189834,1.3159004,-0.5792251,-3.04514,0.689764,0.336104,0.029722633,0.8719992,-0.36090386,-0.29434976,0.5215472,-0.33876526,1.9618483,0.23660202,0.22103548,-0.7542185,-0.84817123,-0.28451955,0.743782,-0.3268091,-0.8161788,0.663761,1.1778859,-0.80773675,1.3713948,0.44902894,-1.2168354,-0.6097086,0.72557396,-0.9588072,-0.25934225,-0.6380544,0.11232468,3.4960852,1.7117211,0.013205832,-0.12727113,0.558009,-0.28147975,-1.1966358,0.5193111,0.09584718,0.03380784,-2.0690491,-1.394447,-1.6779045,0.39777437,2.7482908,-2.4433224,-0.59847426,-0.6145347,-0.7989277,0.65549487,-0.9560256,0.03171592,-0.5611971,0.4630939,1.1164122,-0.9373624,-4.7652216,-1.3429506,0.9805881,-0.9714633,2.7641978,0.19781557,0.09710252,0.011309844,-0.38337296,-1.3210772,-0.5761357,3.0740223,0.032706402,-0.7608238,1.9787936,0.06372667,-1.7806612,2.2045348,-0.68259966,0.57904226,-0.9809497,0.61015457
"&",2.9165263,-0.9197509,0.09302524,-0.6462926,-1.2631973,0.85551715,0.9675289,-1.8823164,2.5816646,0.6922981,0.22804354,-1.1018088,0.13878779,0.41210636,-1.4682505,1.3217999,-0.1959776,0.4672452,-3.0240395,-0.65264577,-2.1265118,-2.5840533,-0.10578621,1.1727722,-1.1830342,2.1980777,0.2971231,-0.5609445,0.21581444,-0.24431445,-1.129886,0.460334,0.7127705,-0.38260517,-0.02490544,1.2114003,-1.7211078,1.5661122,-0.16853535,-0.95111835,1.574906,-2.290835,1.531788,-0.440768,-0.42237633,-1.6118568,1.7975752,-2.1400285,2.4831016,1.7833143,-1.255223,-0.4464069,-1.0969027,0.040697526,-2.188883,1.3652512,0.10440971,-0.7748299,0.32469663,1.8906991,0.004185609,1.3753278,-0.3038669,-0.2934822,0.7774349,-0.91601884,-1.402612,0.4402792,1.2510222,0.57516426,-0.0013787813,-0.23589426,0.496439,-0.6700987,-0.038204167,-1.47611,-0.2513713,0.48745343,-0.20627376,1.9766812,0.62845784,0.33360618,-2.3768396,-0.054796267,-0.5883653,0.66877913,0.118209854,-1.5761225,-0.27804142,-1.2458476,-0.36091805,-0.47826937,1.4783785,-0.83974916,0.9814259,0.021744803,-0.48952594,-0.9668697,-0.21265535,0.5007533,-1.0828499,-0.021397093,0.40598238,-0.34172386,0.9871422,0.3910849,-3.5984251,0.5697808,-1.8955988,-0.67505085,2.173325,-0.76239294,-0.0061798138,-0.693467,0.81808186,-1.3864352,0.46041504,3.2921436,-0.8488495,-2.0199602,1.1366824,0.61894417,-1.525871,-0.21023111,0.81128824,-2.310588,-1.5865716,1.3408661
"+",2.6353931,-0.115210675,-0.3366624,-0.73475605,-0.7626295,5.0540085,0.9571699,-1.3494111,1.4713439,4.3985267,0.41979837,0.122269675,-2.159289,-0.3429569,-4.892307,1.1509,0.55719674,1.7032598,0.73107976,0.8455422,2.7320242,0.23894732,-0.98845613,0.0045124474,2.0868874,1.8694723,1.8208431,0.09968398,2.0052218,-2.9294133,-1.767815,-0.33803645,-1.4583892,1.3634009,2.6726675,-0.57522,0.044705644,2.9971893,0.80979955,-0.61686426,3.3336847,-1.9390639,0.0046160766,-2.2385538,-0.61671805,0.54796433,2.607488,-1.4290673,3.2693877,-1.5537107,-1.09226,0.53484386,-0.47439754,0.7084668,-0.7315153,1.2699838,0.7319048,1.149049,-2.6402159,1.7591546,0.2448742,-1.4518939,-0.85788006,1.3450333,-0.8758202,1.6592485,0.2873245,-1.4229841,0.4776492,-0.65518785,-0.53803074,0.12600929,-0.67590576,0.19610707,0.16840555,-2.4123034,-0.5250602,-0.5469003,-0.40078583,1.5895946,1.6823729,-2.3262742,0.15831952,1.3014677,-0.10470073,-2.4972148,-0.2723284,-2.1728826,0.21977699,0.026112556,0.94137514,1.9312925,0.08144387,3.1328936,0.20264016,1.7225583,1.0773228,1.8319001,-0.7148266,-0.40835583,-2.3474061,0.24785995,0.37216353,0.10624199,2.8576953,0.2785291,-1.3679376,1.7277659,-2.0843446,-0.06511122,0.33476412,-0.81289715,-1.2516602,0.7270933,0.72319645,-0.201046,-0.21265957,0.42206025,0.6670444,-0.34803125,0.8533012,-1.4421326,-1.8380679,2.0061283,-0.4911306,-0.42119163,-0.24981721,2.208101
",",-0.2815384,-0.07692128,1.8040583,-0.5569949,-0.18974854,-0.287461,1.4130573,-0.7378167,-0.11048268,1.4719434,-0.17958708,0.4334087,0.55969816,0.24098057,0.49581948,-0.56117195,-0.4884242,-0.4812898,-0.5980019,-0.08903299,-0.2003321,0.7086547,1.0503979,0.16954735,-1.000144,0.1349108,0.087121665,-0.014102267,-0.19626038,-1.4629833,0.58197886,-0.03658682,0.17783004,-1.3267225,2.4087038,-1.0736154,-0.034348484,0.2693555,-0.09741936,0.37308547,-0.60173565,0.28186765,0.33173692,1.0961797,0.059442334,-0.20443979,0.75114566,0.39001384,0.6977906,0.25839797,0.5090131,-0.6585783,-0.13787252,-1.7821242,-0.054984413,-0.27484676,-0.19008571,-0.0066144275,-0.06998608,0.030105961,0.00610209,-0.039771855,-0.09475174,-0.21748996,-0.13269068,-0.5023506,0.095112264,-0.005121509,0.22276807,0.0472601,0.13452402,1.5942193,-0.10396349,-0.07233985,-0.058525566,0.099210344,0.5977202,-0.03746768,-0.22972788,-0.7979892,-0.65618414,-0.33507422,-0.09334591,0.55393845,0.10911461,0.10963015,0.517859,0.6171218,0.000928159,-0.10092798,0.0450752,-0.85053194,-0.5214285,1.1843407,0.11394749,-0.2605475,0.24126373,-0.15439878,-0.5563155,0.09336936,0.21589646,0.14453019,0.4842495,-0.06948539,-1.1682881,0.16981228,0.18982594,-0.8378402,-0.3090452,0.5518109,0.67895395,0.8598087,-0.21203068,-0.2596934,-0.91677356,-0.24545866,0.10429283,-0.3936512,-0.70096457,0.14459194,0.31216908,0.17950074,-0.35075966,0.40786365,0.10964971,-0.2735315,-0.33475992,0.031417146
"-",0.3195356,-0.10888092,1.5323241,-0.81722784,0.5612755,-0.22410963,-0.071272954,-0.13572142,-0.09051366,0.51746786,-0.35809878,0.49743664,-0.060186572,-0.8931673,-0.05837183,-0.6582838,-0.018142326,-0.7819635,1.0472125,-0.5524281,0.7100265,-0.0033186402,0.70829225,-0.15622424,-0.5622307,-1.7471513,0.6603981,0.010253157,-0.34447002,-1.7717047,0.3600455,0.050342385,0.14879636,-1.3001647,0.4589174,-1.3704823,1.0660063,-0.62870604,0.32578725,0.35169804,0.4839587,-0.69219065,0.9563185,-0.3697508,0.7492113,-0.36034906,1.046144,0.23102103,1.1639438,0.32107037,0.29456478,-1.833873,-0.022429364,-1.2461534,0.46152404,0.015629934,-0.055195644,-0.9932676,-0.37428543,1.6021439,0.222805,1.714496,-0.18868077,0.6452171,0.16321126,-0.14541769,0.33900854,0.936495,-0.48152488,0.083303444,0.15968522,1.6546471,0.50207335,-1.263559,0.35972756,1.4193443,-1.2119745,-0.19850595,-0.013422752,-1.5066038,-0.5002963,-0.46805137,-0.32898673,0.29024658,0.08181283,-0.20920767,-1.1322616,1.281622,0.18432792,0.089963034,0.47979692,-0.49204332,-0.2177344,0.9704376,-1.3893946,0.66072696,-1.0853263,-1.3572545,-0.9105246,-0.4889575,-0.92557144,0.03991714,-0.18223229,0.47130746,0.033701766,0.30662227,0.026485153,-0.7725425,-0.07099813,0.47796467,0.097763985,2.0101216,0.35181305,-0.053293534,1.3726639,0.38390326,-0.21070454,0.7511668,0.5851599,0.8454982,-1.040242,0.11947285,-0.2994301,-0.036073215,-0.30505854,0.5545585,-0.59739995,-0.6100304
".",-0.3262404,0.34211138,1.0325383,-0.07250486,0.08263768,0.3904566,1.7531171,0.30201918,-0.4813677,2.4029534,0.26353982,0.5759227,0.29022375,-0.08071098,0.26903737,-0.4347053,0.0701374,-0.48715147,0.10913734,0.19404739,-0.08994109,0.5901367,0.2882815,0.032641236,-0.7928036,-0.026951564,-0.15786786,-0.028759755,-1.130681,-1.7965056,-0.070866846,-0.12348672,0.3161562,-1.1281041,1.8957757,-1.280868,0.47125664,0.016257726,-0.63751394,0.44762075,-0.06389207,0.611701,0.4339194,0.60424227,-0.08899467,-0.058049724,0.9164869,0.09938038,0.82935256,-0.19570231,0.20880255,-0.14645647,-0.07275037,-2.1261806,-0.3257514,0.2297,0.09933439,0.23269361,-0.18547836,0.5045967,0.093883805,0.12551548,0.18109235,0.021593884,-0.22435549,-0.16839808,0.3900944,0.121556886,-0.078419134,0.0008083383,-0.093996316,1.5069861,-0.035499047,0.009276425,0.18769689,-0.02655104,0.77361816,-0.06317105,0.18359107,-0.50328577,-0.6931485,-0.5013158,0.11848537,0.72899216,0.12017373,-0.27806625,0.49619192,0.87706983,-0.1631763,-0.17425503,-0.07447668,-1.0594176,0.011069647,0.79354066,0.67949563,-0.5182049,0.15487231,-0.17128347,-0.36786425,-0.019052481,0.34340256,0.10549951,-0.5888984,-0.045045793,-0.23798528,-0.21704793,0.41236103,-1.0798442,-0.25088322,0.3831664,0.44214162,1.1218034,0.14443879,0.11119131,-1.1188341,0.09938173,-0.13264185,-0.89222544,0.27448493,-0.26282465,-0.035888992,-0.030750496,-1.0004857,0.6803298,-0.014753948,-0.36076576,-0.45229906,0.32154858
"0",1.6848246,-0.26025152,-0.22708347,0.6692217,0.00019766224,2.3911104,0.8543619,0.7386997,2.7216277,1.076252,0.19973898,0.40455687,-0.07143758,-0.88527524,-2.0547647,-0.9543058,0.08453534,-0.7154806,0.9450811,-1.7512666,0.9514777,-0.936174,1.3281559,-0.16452035,-0.69011575,0.6962368,-0.23917267,0.15034649,-0.025731295,-1.6307354,-0.04899032,0.30040878,-0.12456549,-1.2268038,1.4791211,-1.3132837,0.1476828,-0.39401507,-0.55261034,0.022350702,1.733508,-2.7062762,1.5258293,0.04117044,-0.9574454,0.28114104,0.86410147,-0.6327856,1.0616316,-0.23215474,-3.7059863,-0.49903548,0.06443492,-0.42707905,-0.2491406,0.14379475,0.2994067,0.6177672,0.11291411,0.87563634,-0.012742824,0.4820345,0.554438,-0.0435389,0.14126557,1.4741957,-1.409901,0.09925598,-0.21128897,-0.107394986,-0.037754677,1.3381654,0.04425978,1.2823863,0.07456912,-0.8455065,1.025224,-0.13303822,-0.21620211,-0.764683,2.203766,-1.3832057,0.036870424,-0.19614269,0.10715128,-0.22662885,0.08439432,0.80727816,0.077529795,-0.013709316,0.3166712,-0.9127128,0.18507099,1.2492633,0.0754307,0.85125107,0.2546461,1.5882517,-1.2822694,-0.018532628,-1.0868073,-0.77792716,-1.4219246,0.07392052,3.4762802,0.24981315,-5.267344,-1.1768281,-1.341249,-1.9669341,-0.40835172,1.3076608,0.0665479,0.41129744,0.3816219,0.75253385,0.29483038,3.1198988,0.9466449,0.033526123,-0.18020876,-0.114526495,0.7515623,-0.06844116,-0.19904657,-0.5989081,-1.506428,2.0527604
