CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",-0.40580374,-0.01649515,0.081174076,0.074752316,1.5495509,0.26983348,0.5294191,-0.2864061,-0.05135041,-0.7772651,1.9858216,0.0726488,0.2007737,-0.7611925,-0.011295612,-0.8205559,0.20215522,-1.0661874,-0.2072821,0.084700435,-0.9459584,-1.5740116,0.35228768,0.57888377,0.7488094,-0.56431544,0.10877167,0.11697074,0.5490617,-0.9835459,0.810622,0.50221306,-0.6588333,-0.6377265,-0.6326316,-0.11436537,0.30954507,-0.027644292,0.005566947,-0.7104927,-1.0985122,-0.53776157,1.0597981,0.7108319,0.4240606,-1.4771734,0.09159102,0.9256172,-0.8573609,0.32558036,0.8500246,0.21335389,-0.5239141,0.22253634,0.93915063,0.8561172,0.5598124,1.0397029,-0.7482722,0.036044475,-0.47583398,-0.63409746,-0.50930923,-0.30813652,-0.5466054,0.09754669,0.14812163,-0.5000597,0.20078236,1.4343475,-0.62838817,0.6804028,0.20844926,0.78893507,-0.5967442,-0.10137067,0.567291,-0.09186963,0.9684196,0.7110193,0.27129734,-1.8338608,0.10498343,-0.179555,0.36474487,-0.16245145,-0.0473594,-0.044705413,-0.1911984,-1.7320288,0.060802553,0.8012048,-0.20816933,-0.6620347,0.17924693,-0.14933197,-0.5868767,0.23733228,-0.49040312,0.7642117,0.081997015,-0.1115602,1.4912826,-0.8473105,-0.6397722,1.3507134,1.2701432,0.0073381397,-0.13962956,0.08771766,0.14463721,-1.0138572,0.566776,-0.7381452,-1.3179371,0.9393436,-0.1729529,0.8399111,-0.23750967,0.80880654,1.1298878,-0.7167356,-0.90659726,-1.2241101,0.114639506,0.6703561,0.37872288,0.36773372
"!",0.29734462,0.67875665,-0.8728577,-0.2578447,2.9367688,1.6198786,0.6619019,-1.6696866,-0.35074994,0.5245914,0.0039244643,0.2763326,0.420335,-1.4723562,-0.56268126,-0.39085537,1.0544453,-1.0912948,0.9058678,0.023969172,0.6923566,-1.6096205,-0.06011513,1.6672232,2.2719774,-1.2305645,-0.6214309,0.94075376,-0.1961217,-1.0088162,0.34349832,-2.337408,-0.95276535,0.8767089,1.2379907,-2.232596,-0.3369496,0.3941191,-0.95515543,-0.05948992,-1.152869,0.49355292,0.640406,0.9380223,-1.0076605,-1.9286053,-1.9933109,3.5845985,-0.09008825,-0.78791815,-0.57732964,-1.1402389,-0.26916504,-0.45346853,1.5522974,-0.2113389,-1.7987024,-0.9827244,-0.87684727,-0.24945089,0.077613965,-2.1337066,-1.0084311,0.055596683,-2.7137914,-1.7436833,-0.40129808,0.84862435,-0.23352262,1.3920853,-1.3003341,-0.65243495,1.3591666,-1.9681059,1.1948378,0.13383958,1.0262023,0.105141655,0.91107184,0.41835254,0.8131249,-1.4540187,0.86204344,0.4392709,-0.6921416,0.1155357,0.6371361,-1.3112341,-0.016904477,-0.2688363,-0.119094074,1.2666385,-1.7997644,-0.34751105,-0.26464188,-0.24778625,0.04077078,-1.0418034,-0.38615343,1.6774135,1.1104937,0.8086865,-0.2809652,-1.011845,-0.50641954,-1.919973,1.7707517,0.3343045,-0.38389328,-1.6969206,1.2684003,-1.158806,-1.19535,0.27457455,0.84229314,-0.68693686,-0.65242624,-0.08909367,1.3155942,1.8692782,-0.89947146,-0.6112194,-0.1208658,-1.0458142,-0.2141414,0.1538867,-1.1195532,-0.9093421
"#",-2.547853,0.8082575,0.53204745,-0.36645833,1.2831969,-1.8980777,0.70430577,-0.2971581,-1.1096263,-0.6192185,3.1055517,0.44053078,-0.7575612,-0.18689016,-1.7550007,0.38851255,1.1615262,0.018011704,-0.7089747,0.032928463,-1.6003909,-0.8382501,0.23773262,-1.5479571,-0.7532326,-0.14638683,-0.3099761,0.060603727,-1.2920485,-2.4649212,0.6554828,-1.8214498,-1.6760569,-1.0826106,0.16837636,0.8532626,2.185411,0.85618746,0.33212572,-0.9409235,-2.338705,0.7175698,1.0697896,0.5963236,-1.5768737,-0.46161604,-0.1749071,-1.3789793,0.1970536,0.5074337,-0.49792472,0.90288705,-1.5958489,0.41645068,0.76777124,0.6490169,-2.0001287,-0.32280257,-0.07200782,0.83806294,0.8881594,0.3213761,-0.0061997445,0.81701404,-0.7729806,-1.472973,-0.18148305,0.32936555,0.4221973,-0.5748888,0.7687451,-0.7057506,-1.2294121,-3.145689,0.5710474,0.97023606,-1.0773402,-1.3425925,-0.64083976,-0.22198895,-0.715318,1.7195224,-0.7510063,1.888719,-1.254138,1.0177115,0.32883975,2.199606,-0.48632193,-1.74641,-0.9324818,0.16491447,-0.19985674,0.6515588,0.21864142,0.67968667,-0.17218325,-0.9550951,1.4033266,0.6304113,0.5599549,2.4110272,3.4119995,-0.26091528,-1.2475479,0.054493647,0.60489494,0.43833894,1.8641822,0.7040818,0.7373867,0.79632074,-1.4401689,-0.86904883,-0.5367858,2.3222494,-1.3276185,-1.1113435,0.86572057,3.1229668,-0.009501185,1.0397815,-0.11440456,-1.92192,0.7535864,-0.47393584,0.5778147,1.9609853
"%",-1.0500213,1.3595479,0.24959758,-0.69949365,1.2363111,0.31877273,-0.6082429,0.4618383,0.32470283,-0.10750624,2.4574864,0.9895181,-1.3587167,-1.2765706,1.3821503,0.765425,-1.640142,0.29822186,0.56938833,0.8060232,-2.8469086,-1.1528357,-1.0081546,-1.4924122,-0.8808016,-1.4879996,-1.5336748,1.2975756,0.9701965,-0.28707778,1.4729125,-1.2376049,-1.6094774,0.06308162,-0.11593959,0.2106786,1.4260452,1.9805343,-1.0297863,-1.2331843,0.10534225,-0.58456373,1.547432,1.6494225,-2.303895,-1.3548269,-0.09757977,1.7374812,0.8369479,-1.7710841,0.48714265,-1.3375204,-1.7447703,-0.28507072,0.1683809,0.56185335,-1.1392758,-0.5519909,0.61406195,-0.96488994,0.40146297,-1.5944316,-1.2185249,0.13379627,1.3992503,-0.23189701,-0.7017053,-0.9836997,-0.34119225,-0.84849507,1.4927031,0.49906722,-0.1906912,-0.25379995,1.0315104,0.023656702,-1.4408814,-0.58639026,1.0031497,1.182614,1.2221397,-0.21223634,-0.40837067,0.87483007,0.9891223,1.0707108,0.7705054,-0.42024335,0.69689906,-0.9068526,0.48503295,1.1492288,-2.2883327,-0.6341763,0.24650897,-0.6987419,-0.42420465,0.81875056,0.4826697,-0.31432244,0.14848949,-1.2056645,0.6681746,-0.67227733,-0.6315691,0.71146935,-0.38799766,-0.6414775,-0.89136595,-0.6593356,0.29884005,1.7790203,-0.97996765,0.7965531,-0.22638752,-1.0084863,-0.6323416,1.6161723,-0.45198235,2.9468105,-0.5577413,-1.1444451,0.25004938,-0.8551177,0.8279072,0.7818992,-0.027558355,0.52109915
"&",-2.2897573,1.6148387,-0.8494898,-1.3160051,2.0481663,-0.8323221,-0.2813526,0.7970357,-0.66712487,-1.8764547,2.3996284,-0.28297517,1.6538479,-1.5357589,-1.8029656,0.67799824,-1.5458919,-0.70569617,-0.23818235,0.55612355,-0.71232355,-0.280462,-1.2266598,-0.9492068,0.70461,-0.49442708,-0.11788901,0.11169064,-0.5107595,-0.9158748,0.15941378,-0.782661,-0.55310345,0.45977378,1.3414727,-0.9251448,-0.19746016,-0.10978551,0.33543548,-1.6036556,-1.0530914,-0.4934185,-0.029074335,0.17734456,-0.23837711,-1.4044635,0.93338865,1.5760455,0.26077458,-0.60875934,1.0454284,0.4847086,-0.09300735,0.47091967,-0.9503134,-0.7348208,0.26395604,-0.3009273,-2.3720531,2.0134804,-0.5524722,-0.21213509,-0.11634807,0.13726407,-1.8790202,0.016905144,-0.6774501,-0.12537274,0.9876414,1.4497241,0.26445058,1.0208735,-0.4879776,-0.4876103,-0.9818605,-0.5494715,-0.22951531,-1.5203912,0.9290845,0.2376797,0.78326696,-1.7705457,-3.468204,-0.08136552,-0.9158331,0.48677588,0.013321167,-0.3569368,-1.0461142,-0.44148222,0.60902065,0.9313484,-2.0576835,-0.6222675,-0.12533852,-0.61999506,-1.5913421,-1.4218843,-0.19524771,0.34610897,-0.42496723,-0.7918397,0.5636416,-0.5260595,-0.010352632,2.477792,0.6292305,-0.1955992,-0.8824079,-1.2670249,1.4762444,2.3121605,0.42326197,-0.58222073,-0.8131842,-1.3838252,-0.8184108,-0.20610455,0.7201824,1.2958639,0.7320994,0.529285,-2.0765533,-2.56362,0.39545596,0.42771807,-0.27958935,0.3855041
"+",-1.4916127,1.6779801,-0.55503446,0.93004984,0.053430855,-0.52420986,0.86869776,0.34881887,-1.1973674,-1.5144422,4.1376467,-0.33672422,-0.4918234,-1.7971227,-0.5098596,1.0250987,1.0420419,0.18158731,1.7409943,-0.8776495,-3.2704682,-1.6273792,-1.8124981,-1.2577589,0.42897,-1.1325437,0.3269451,-0.3735605,-1.0978662,-2.4552603,0.54178125,-0.5671951,-1.7302711,-0.34006417,1.1313292,-0.9364974,1.657693,0.28149623,-0.9850399,-2.534829,-0.0768907,0.32376838,3.6912901,1.163046,-1.2660356,-1.2499357,-0.34791777,-0.38610482,-0.70432436,0.006022031,-0.13840906,-0.38351592,-1.4512603,-0.23227769,-0.1708678,0.38332102,-0.04585485,0.5199393,-2.2950087,-1.8123723,-0.6335909,-0.39601606,-0.9551677,-1.0899665,1.5237707,-0.51498896,-0.4201744,-1.2676184,-0.80486566,-0.19878812,0.30318868,1.592929,0.2673012,-0.37766325,0.6186436,-2.1248484,0.57593244,0.21869501,2.0301116,0.15892133,0.86211336,-0.18353502,-0.3589063,0.7851844,0.27481088,0.1158389,0.406429,-0.7287604,0.85258204,-0.86336833,0.5324524,0.994808,-2.3796983,-0.39778435,0.22218607,-0.22900854,-0.75107855,-1.9221967,0.72032225,-0.29030493,0.97824216,2.149091,2.0950475,-0.9717821,1.4096675,0.92296785,2.8669987,0.29307723,0.043170955,-0.83689624,1.0597807,0.9048366,0.122222215,-0.17699581,0.34115097,0.9660561,-0.35178918,0.2503694,-0.9535714,1.1239294,0.8236531,-0.36866486,1.2174512,-2.8675976,0.745719,-0.763975,1.3044447,1.4598126
",",0.3270636,-0.2598337,0.15851818,-0.064787075,1.0703979,-0.19199482,-0.6228852,1.6726189,-0.19077946,-1.0714141,2.135344,0.09668682,-2.5025494,-1.6191045,0.1480492,-0.49207726,0.6989587,-0.037899178,-0.06135291,-0.2102678,-3.604134,-0.67112714,-0.70188445,0.40676567,1.1340584,-1.1157309,0.12085222,-0.6447805,0.9601723,-2.247617,1.1657625,-2.2760472,-1.5123955,-0.27039805,-1.4429648,-0.25301737,0.68910044,0.19279318,0.78857315,-0.80739206,-0.5410317,-0.04718611,2.1583662,1.3875388,-1.7397058,-2.402897,0.28809056,1.1813116,1.1359355,0.24542193,-0.15182666,-1.9027406,0.5371857,1.388946,-0.18349071,0.8837673,-0.73789185,-0.017798822,-0.3316859,-0.93102217,-0.012663797,-0.67726845,-1.56562,-0.49273407,0.11616217,-1.6780483,-0.066484,-0.9658886,0.030361416,-0.5552329,-1.0763427,-0.017913047,0.29985952,-0.9100812,1.5262066,0.06115945,-0.3644421,1.9281831,2.269355,1.1085924,-1.1601605,-0.25807062,-0.0054500094,-0.99533886,-0.7211152,0.24493624,0.02094634,-0.09823337,-0.029115723,-1.8041168,1.3204161,1.9022578,0.8631098,-1.8233747,-1.194552,-0.25635305,-0.09639913,-1.1269627,1.2851974,0.14801751,1.4629953,1.1042851,0.35382578,-1.3802702,0.54954404,0.7982634,1.2955953,-0.027220039,0.4787162,-0.8192362,-0.23616502,0.3700173,0.13368174,0.39983577,0.2882546,-0.8070252,0.40198615,0.9488762,-0.8135059,2.3067875,1.3043206,-0.9290669,-0.1511846,-1.1326047,1.3024957,0.9977468,-0.52520615,0.3183262
"-",1.1499517,1.1927271,-0.8266592,0.87993383,2.0696025,-1.4401206,-0.70729136,1.28811,-0.35271633,-1.1356292,1.9794164,0.16057959,-0.23033378,-1.2291415,0.3679192,-0.9124982,-1.492323,-0.2634208,1.8701887,0.11022545,-2.2556024,-1.4500198,0.0326044,0.3807115,1.2957598,-0.59480596,0.20339274,1.7935634,0.56861037,-1.203345,0.5523518,-0.96910775,-1.2306843,-0.028317733,0.6132231,-0.022445373,0.43402955,-1.0025282,0.57266456,-1.4848226,-0.2688319,-0.010276228,2.4094927,1.4736115,-0.5490155,-1.9977825,1.0081512,2.0079556,0.07033502,1.0558606,1.4571186,-1.7170659,-1.962563,0.6407371,0.89144295,-0.009683985,0.272551,1.5368848,-1.3083647,-0.2259159,-1.5296655,0.6498012,-1.1666691,-0.6882497,0.4458735,-0.83918095,1.0951455,-1.1172324,-0.4763937,0.0114141805,-0.12585342,0.6844059,-0.23981902,-0.46572816,0.62235063,-0.44876218,0.31050056,0.05683667,2.4052644,0.9400934,0.028441004,-1.4428948,-1.181096,0.316322,0.37130722,0.35274377,0.49238405,-0.71726567,-0.6176855,-0.6328866,-0.4113567,1.4158779,-1.7161033,-0.2750705,-0.3676519,0.09456232,-1.5502756,-0.40262228,0.28161234,-0.9633815,0.36550578,0.08099827,1.7202269,-0.16914535,0.21451738,1.7673259,0.6702454,0.44972923,-0.3690913,-0.40200996,-0.16689192,1.6668386,0.23401472,-0.13419963,-0.89568555,0.23697978,-0.5953211,1.1091636,-0.7469482,0.54838526,0.8387226,-0.8163749,-0.014685449,-1.0569221,1.212428,1.5550587,0.89638394,0.053615537
".",0.9388121,0.95739627,0.20308994,0.6045628,1.3510257,0.059962265,-0.43924588,1.1196873,0.7680021,-1.2472959,1.7232815,0.3631846,-1.7975416,-0.6394547,0.42562404,0.5080126,-0.3158161,0.77810615,0.52113855,-0.8383394,-3.1791074,-1.4052045,-0.74809414,0.767221,0.5013745,-0.54638606,0.73601216,1.236248,0.75077295,-1.9888711,1.0561926,-1.289375,-1.3263575,-0.51048845,-0.25306565,-0.21462478,1.1913451,-0.3138289,-0.25142947,-1.1699206,-0.7117,-0.8405049,1.1935465,1.01551,-1.5588735,-0.8015697,-0.03303875,0.9014853,1.319994,0.6623239,-0.2915715,-2.7453103,0.45371956,0.4101041,0.117872395,1.1807166,-0.07163755,-1.3645004,1.8369119,0.2052657,-0.2332793,-0.41145587,-1.5027045,0.17049773,0.69560415,-1.3884901,-0.13265136,-1.1422979,0.86942375,-0.40906,-0.038898133,0.7370382,-0.83371264,-0.8801019,0.069943,-0.18550694,-1.1379534,1.5290387,2.104396,0.65996695,-0.33345398,0.6193589,-0.5386177,0.3014415,-1.2839305,0.07323743,0.15313694,0.12384727,-0.8059007,-1.3446594,-0.16516124,0.8471825,0.12358772,-1.8031569,-0.0034896277,-0.55835295,-0.60257345,-0.62722933,1.1671141,0.12382089,0.18563361,0.17980306,1.3374006,-0.7605062,0.8811139,0.68420625,1.0811317,0.18018654,-0.43127778,-0.70298123,-0.6606168,1.7542233,0.4256463,1.072351,-0.3313428,-0.7467653,0.04714327,0.72731435,-0.9728384,1.4912353,0.7155349,-1.3807795,-0.08829838,-0.028938131,1.9069424,0.9049879,-0.28768617,-0.43161052
"0",-0.52982575,0.52918226,-0.12215976,1.3940338,0.43167418,-0.53598297,-0.540791,1.3075502,0.10979473,-0.9029873,1.5811899,0.024276268,-1.4865004,0.061241157,0.920657,-0.04497243,0.09452779,-0.23016703,0.31890008,0.28829256,-4.022559,0.19451787,-0.96737796,0.08413131,0.2199232,-1.2060775,-2.3216288,0.19743495,0.9012756,-0.7990147,1.0263233,-1.3808764,-0.96505404,0.6986504,-0.43961877,-0.6970169,0.01315281,2.2073138,0.5716679,-1.234067,-1.7216244,-0.9079507,2.0820045,0.87677366,-2.7143645,-0.94518673,0.81688726,0.9523214,1.6132927,-2.4801145,0.60767514,-1.7563567,0.7240114,-0.7819617,0.7120945,0.99709255,-0.8670135,-0.66684943,-0.36895722,-0.21394488,0.22178589,0.66806567,-0.95930606,-1.0974848,1.2629776,-0.060438287,-0.10281918,-0.6198051,0.1780247,-0.5588736,0.8894835,0.35617152,0.092726566,-0.7358685,-0.24344316,-0.33565333,0.48094994,0.7152928,0.82264525,0.74438584,0.68345565,0.1658465,-1.3003659,0.5618254,-0.5627288,-0.21943288,-0.12578298,0.39139992,-0.20050688,-1.1459126,0.20388763,0.83473384,-1.0033863,-0.6073166,-0.73188376,-0.22948249,0.48628643,-0.1462577,-0.31885067,-1.0563797,-0.9734574,-0.22720589,1.0650487,-1.0370111,1.667673,1.2449082,2.1692123,-0.107962154,0.0067899055,-0.5582226,-0.638126,5.11136e-07,-0.6027008,0.9612349,0.62366563,-0.38353992,1.3743241,0.23188306,-0.83842796,1.6053119,-0.643429,-0.7730503,-0.70759004,-0.7464729,1.295432,0.76439637,-1.4366739,-0.28961468
