CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",0.7939183,-0.10889807,-1.1077307,0.45580724,-0.054121327,0.6529429,0.278061,-0.021388367,0.91662574,0.89166665,0.35947528,-0.3917636,0.34053284,-0.3724736,-0.77018905,0.88148725,0.01799981,-0.50891525,-0.3953669,-0.47372955,-0.57329726,-0.32386684,-0.16769226,-0.46434528,0.22376026,-0.720732,0.80957365,-0.21919712,-1.0522872,-0.8134053,-0.6523646,0.66476476,-0.27428395,0.11940244,0.83726084,0.8804723,0.5707729,-0.031848922,-0.3709798,0.6230957,-1.1337956,-0.7239508,-0.74886316,-0.55861115,0.47150096,0.36291978,0.5865025,-0.68158907,-0.37591007,-0.24410853,0.97807306,-0.42929518,0.6897112,0.21836346,0.38017768,0.62830675,0.31702214,0.4981147,-0.36946177,0.40354925,0.30092534,-0.4159921,0.31970564,-0.2960907,0.10057301,0.48171955,0.28663367,0.45656484,0.5441637,0.83025515,0.13738339,-0.44350132,0.56868404,-0.17766589,-0.6276242,-0.4842478,0.096431315,-0.40258098,-0.13446234,-0.7364927,0.11265604,-0.28834966,0.20911013,-0.33086842,0.25883186,0.07999171,0.3575854,0.7839305,0.8464906,0.57167715,-0.66328776,-0.035309643,-0.44739482,0.07088999,0.41118103,0.48098442,-0.9987036,-1.0428185,-0.9879892,0.21868269,0.97240025,0.5654549,-1.2250432,0.7643841,0.41457695,-0.8415869,0.2537841,0.18626907,-0.103324465,0.38045812,0.43487284,-0.1970864,0.10367427,0.71919715,0.5843318,0.37973025,-0.29249236,0.14032148,0.4730056,-0.3617602,0.15757978,-0.48371062,1.9553691,-0.7057065,0.36728498,-1.0699486,0.9470594,0.013785407
"!",1.3370247,0.20503315,0.42811626,0.9589079,-0.73385686,-0.10383347,-3.1981537,-2.2472506,0.08444873,1.0988929,-0.802763,2.4279594,-2.2404249,1.1649369,1.0350255,2.0850203,0.095158346,-0.27001342,1.3113309,0.54576,0.762728,0.11592728,-0.12995295,-1.2962029,-0.20225227,-1.7433631,0.64320415,-0.18657844,0.7471815,-1.2762338,-0.5658062,-0.8305972,-0.96258545,-0.3540188,4.3820534,-1.8633244,-0.6079321,1.4189448,0.3969468,0.2735659,-0.9590122,-1.591135,-2.5449693,0.6184324,1.5698025,1.9615195,1.3144156,0.9335511,-2.6075728,0.81789666,0.8694545,1.5128151,-1.4114733,-0.49269104,-1.6325938,0.39639208,-2.2204041,-1.0495347,0.27930188,0.5633987,-1.2867315,1.7408452,0.93768007,-3.3572557,0.8201827,1.135672,-0.567175,1.6905686,0.082899325,1.6461747,0.06625399,0.9290891,0.6795468,1.8052106,0.7901687,0.9875563,0.55639094,-2.3048053,0.14517245,-0.38309723,-0.7514076,-2.5040822,1.2140368,0.74309075,-0.4606681,1.0378661,0.14860578,1.0693908,3.8483353,1.1732503,-0.83021677,0.3490744,-0.6736091,0.17956394,2.2824912,-2.7656848,1.6855137,-0.38921967,-1.4537224,2.3108916,-0.39847875,-1.2809445,-2.172732,0.41343126,1.4780248,-0.8893655,-0.29415062,-0.27546182,-1.4973402,0.3018199,-2.1666164,-1.0558866,0.57410246,0.17001897,-0.6161775,0.5723546,3.868664,0.015651433,0.98783684,0.6208193,-0.39020288,0.69804466,2.3146787,-0.48985377,0.6989982,-0.57128763,-1.6858823,-1.8505791
"#",0.14929378,0.22831674,-0.29698858,0.31876752,-0.6679943,-1.9449673,-4.0893393,-2.2262793,0.9442993,2.056626,1.7956113,-0.122539066,0.8007159,-2.8776124,0.11244919,0.77885413,-0.85383934,-0.48022246,0.48751876,0.81157404,2.445279,0.8963069,-0.83685845,-1.0371765,-0.25345692,-1.2345794,-1.0603216,0.58018625,-2.0329943,0.32449326,-2.816616,-2.7783895,2.0014381,-1.2790201,1.6101618,1.2699939,0.24064493,2.1263268,0.7747914,-0.21167,1.3565788,-0.7754954,-1.5118328,-0.8220112,2.6554313,-0.29804644,0.77939206,1.016884,-1.6017927,-1.6920679,1.074737,1.3734792,-2.120496,1.6160285,-0.58077335,3.3556821,-0.43699545,0.15958165,-1.0060422,2.026972,-1.3285502,-0.5892032,-1.6264185,-1.9248718,-0.74215657,2.6127179,1.6237069,1.6573933,-0.13421872,2.6679087,-0.31817427,2.285528,1.2394991,0.36130556,-2.225,2.1021566,0.67019594,-0.25845343,-1.532352,0.083695136,0.8507271,-0.36450702,-1.6528037,0.31704485,-0.34928134,1.690274,0.31742415,-0.5066743,1.5557683,3.0829358,-1.0893451,-0.95548946,-0.43842697,-3.3714952,1.4152087,-1.8184184,1.5161583,-0.20777033,-3.5711446,0.6609135,-0.09980156,-3.6655815,1.4253616,-0.7297309,-0.93053734,-0.70176786,-0.33267725,1.2163103,-0.9721087,-1.716325,-1.6631501,1.662139,-1.8031461,0.12056958,-0.5197901,0.17352533,0.66722876,0.056880023,3.8035839,-0.2547655,1.0129716,2.5842214,-0.62880576,-2.0344827,0.3068655,0.14739364,-2.0864513,-0.45694867
"%",0.4276516,-0.6580018,-0.30097374,1.0315865,-1.0813763,2.4785442,-4.5905576,-1.3485572,2.0589912,-1.258108,0.28610295,0.8216799,-1.07983,-0.39982367,3.0020602,1.3135824,1.0293814,0.5414553,4.0084352,0.2958165,0.8282892,-1.1089281,-0.85411894,2.7998297,0.34509033,-2.819765,-0.10635134,-0.0179159,-3.5006163,-0.7287329,0.3771571,-3.1940145,0.49296373,-0.5306513,0.7923805,1.8200939,2.4615407,2.0435228,3.8243504,-4.078809,1.2830861,2.4546237,-0.62788284,-1.4442588,2.592961,-1.5393252,2.4924898,-2.0776427,-1.6431265,-0.17213897,1.0006311,0.6746511,0.51079625,2.7100706,2.1424265,0.93147093,0.25783437,-1.2035925,-2.2229269,1.5572578,0.3839027,1.0089265,1.1161722,-1.511822,-0.25002936,-0.722626,0.7726746,-0.77096057,-0.026893493,1.7029526,-0.66146195,-0.77085197,-1.7477624,0.5958448,-1.2054603,-1.0139374,-1.6653663,0.20884381,-0.44571418,-0.87238854,0.49335238,-0.79404694,-3.6250324,-1.1464429,-2.527836,-0.5513393,0.5096169,-0.61563784,0.36797857,5.955001,-0.8531663,-1.2883525,0.028410308,-0.63599366,-0.6775248,1.3704621,3.7238522,-1.6662879,-1.074738,2.1352224,-2.5473595,1.5708759,-3.5739212,0.4272764,-1.4661632,-0.5345679,1.0720669,0.1561434,0.52390474,-1.2821295,-2.5545757,4.0746818,0.5260048,1.6690451,1.6018586,0.116205305,1.568817,-1.6649194,-1.8248409,-1.5174075,1.0906949,-0.916865,0.99627537,-2.1182482,-1.6756171,-1.8423933,-2.93186,0.85495764
"&",-1.1124775,-0.1733619,0.9474463,0.8527971,2.3212504,-2.9994748,-4.1636686,-0.97886467,1.3486956,1.0774641,2.1744795,-1.0612487,-0.1061942,-1.4100907,0.09287999,-0.41768372,-0.48370466,-1.2414049,-0.13577214,1.2639536,1.4564192,-1.8515041,-1.729254,-0.60765773,0.5631086,-1.166374,-0.98776096,-0.5254264,-3.046484,1.563728,-3.7457423,0.1931744,1.7754635,-0.46329305,0.39457503,0.74702823,-0.47482818,4.485893,-0.20177257,1.3558265,0.68170357,-1.0492318,-1.158919,1.8988879,-0.44549233,-1.0754365,3.0662708,-0.31573322,-0.5170338,-2.0493355,-0.80959785,-0.2067506,-4.457774,1.3384444,-2.0073547,0.3793197,0.9500828,0.85852677,0.42173967,-0.03441938,-2.9632154,-0.34666935,-0.8707648,-1.4183071,1.8107927,0.8188494,-0.109303534,0.3493122,1.1182044,1.0115273,1.8382143,4.8825583,-0.4442448,1.8528051,0.19248128,-1.6400132,-1.0602099,2.6828735,1.6497929,1.6488099,0.8768759,0.3125707,-0.04640601,-0.14909011,-2.0330892,-1.1789043,-1.6661202,1.0684514,0.97820777,0.036781855,-1.0345261,1.0283114,-2.8822966,0.029063145,-0.116011076,-2.13792,1.7600037,-0.9796817,-1.5300138,0.23091851,-1.7571892,-1.0114267,2.5540488,-2.4566615,-2.1001096,-1.1429979,-3.5836892,-0.91647214,-0.39604563,-0.108972386,-1.7963935,3.4900596,0.5541911,0.5276467,1.7463024,-2.845742,1.7475771,1.6368879,0.5805364,1.2413083,0.051039733,3.2915435,0.8209953,3.8201666,-0.26897913,1.5735208,-2.0281777,0.88992196
"+",-0.15346242,2.053604,0.9762546,2.4825974,3.339998,-1.1274409,-4.6134286,-1.4960835,0.14483891,1.6476709,-0.49534288,-2.3989267,-2.0799983,1.0454842,0.005537558,1.7920151,0.33867434,-0.8159752,0.3356413,0.16303186,0.42337105,2.5197744,-0.22743724,1.8546175,1.0527633,-1.8827376,0.19484425,-1.1373951,-1.8218261,-2.144051,-0.33523592,-2.346727,-0.9641456,-0.49884364,-0.50403273,-0.9647972,-0.092304885,2.1314013,1.9342427,-1.1373243,-0.4743524,1.1728625,-0.14893457,-0.5009197,1.0257246,-2.483203,0.7018492,4.055609,0.9792916,-2.7117605,0.8454081,-1.6885172,-1.2850616,0.26974243,0.41080266,0.07364345,1.3711325,1.1767341,0.2781415,0.673341,-2.119469,2.142169,0.26099485,-1.0452511,-0.4291763,0.627328,0.23341216,3.1303701,1.1008897,1.9874073,0.4160887,2.9614248,0.7141596,1.952073,-0.32195786,0.49400955,-1.0065958,2.3237796,1.1526866,-0.050867688,-0.2767902,-0.99864304,1.4641804,1.0585606,-2.7190654,-1.2857163,0.81385875,0.40315682,0.52705294,1.74408,-1.3588479,0.71346724,-2.0442297,-0.96726185,-0.77098066,0.30002448,-0.6583635,-0.3850363,-0.22397168,0.4221435,0.30073744,-1.2055817,-0.63057595,-0.95658886,1.8077103,-1.4607171,-0.8058566,1.7725576,0.29331106,-2.0935042,-1.8635311,4.6201806,0.3297866,0.22527811,1.2198726,1.038625,-0.49824065,-0.16400482,-0.6226777,-1.0069299,0.78713495,1.2856177,2.1309595,-0.42510268,-1.0034658,-0.15592074,-1.7519497,0.18925023
",",1.6145341,0.13019432,0.41181958,0.7736487,0.41611096,0.77189213,-1.0759681,-0.4634339,1.5947262,-0.23041119,0.11540422,0.18840708,-0.64067966,0.21887514,-0.63130087,1.3558832,0.17453554,-0.040181972,-0.45668405,0.90074396,0.5237274,-0.015126579,-0.42822284,0.260005,-0.33808044,-0.994467,-0.41716737,-0.1254453,-1.2110234,-1.4405638,0.3797377,0.23507126,-0.811087,0.8223047,2.5726156,1.4631494,0.40508014,-0.8298185,-0.5846651,0.70192724,-1.0794929,-1.202603,-1.1884776,-1.1857407,-0.8846767,0.34598678,0.3955726,-1.4475487,0.94422984,0.2892262,1.089241,-0.13342132,0.6217545,0.47632343,-0.9086449,0.04649776,-0.38747033,0.92892367,-0.12382291,1.3647652,0.17127034,0.553492,0.043234237,-0.9787344,0.0020799385,-0.45647976,-0.2569198,0.71332985,0.82549185,0.7658063,-1.021697,0.69571936,-0.52663743,-0.74696773,-0.85320324,-0.5408293,0.38833565,-0.790306,0.11870389,-0.70389634,-0.09989477,-0.14864193,0.09441272,0.7848455,-0.60655653,-0.22636095,0.9120992,0.04827566,0.77482855,1.1430105,-1.1854455,-0.16636504,1.306283,0.5219408,0.20887075,0.98757434,0.050476186,-1.125142,-1.1888644,0.8982647,0.49037668,-0.4003439,-0.9153857,0.28925863,1.1292396,-0.6544427,-0.25555083,-1.2197502,0.48399127,-1.5517368,1.1242604,-0.5289037,0.08647862,-1.0806084,-0.69024694,-0.12343626,0.8136104,0.49780738,0.7691806,-1.2088157,0.16566768,-0.7283096,2.6814167,-0.4303872,-0.14458854,-0.93381524,0.2428311,-0.14775483
"-",0.8749289,-0.63245636,0.12905203,-0.22126791,-1.9790148,-0.6739304,-2.4181867,-1.7451391,1.185313,-0.07172549,0.7478474,1.1551021,-0.19613838,0.36409584,0.4219441,0.43510672,0.14023049,1.1873657,2.4824476,0.43182752,-0.3196831,-0.1947806,-1.0168763,0.8891712,0.013441361,-0.998706,0.55835515,-0.938078,-0.9574721,-0.5779139,-1.8765123,-1.3696712,0.3374964,-0.6203229,2.1370335,1.1264309,-0.39547932,2.4066992,0.1312203,-1.1770968,0.83525395,0.45769575,-0.3954057,1.7028773,0.03661027,0.18927574,0.50836146,-1.5784211,-1.4744104,0.039471213,0.721316,-1.3320588,-1.2953817,-0.91498744,-2.4237869,-0.75743103,0.16274461,0.40931055,-1.1002377,0.7937925,-1.330839,1.2921757,0.32180095,-1.1569313,0.66370827,-1.3588026,0.41229495,0.31563765,2.0604692,0.32436204,-0.5754378,1.0820774,-1.8511616,1.367158,-0.6917609,-0.038463235,-1.1441761,0.23866959,-1.1734924,1.9403232,-0.009979387,-0.6507993,1.3829479,0.132334,-1.4890753,-0.91591215,-1.9495486,0.42202783,-0.8848624,0.65282226,-0.96258706,-0.32339442,1.5757064,1.8403053,-0.7280554,0.28767547,0.7902884,-0.8433383,0.06172379,0.08259041,-0.8883853,-0.4084577,0.6295412,-0.6068475,0.74461263,-0.95519274,-1.312118,0.0151885925,-0.97984403,-0.76131284,-0.5015046,0.007947143,0.20164925,-0.4184921,-0.20696965,-0.9540057,1.343253,1.1372494,-1.7451056,-0.99527603,0.91421735,3.0444965,2.4615347,0.93043613,0.9939255,-0.75542927,-0.2271301,0.35498923
".",1.0479504,-0.39392346,0.83873165,1.3970981,-1.0707698,1.3703915,-4.782406,-1.9014014,1.469008,1.0106796,0.21645598,-0.10929566,-1.4307743,-0.6749076,3.4817438,1.306054,-0.64773154,-1.4020724,1.7618808,-1.2362678,1.6938835,-0.44868428,-0.08148666,1.9201518,-0.14194813,-2.3952172,1.5131024,-0.5314688,-0.5533109,-1.3302286,0.7662514,-1.3550955,-0.91785914,0.4646984,3.3642197,1.7963021,-0.3098997,1.8576643,1.2720902,0.7705996,2.2457137,1.2066885,-1.3133265,-1.9867791,1.2006721,0.48463368,0.8081106,-0.668593,1.4073215,-0.1290158,0.21903133,1.8606051,-2.7777846,0.6978041,-0.1879274,-2.0130336,0.51932704,-0.34493852,-1.4743112,2.411147,-1.764946,1.8829979,1.8034523,-1.2550986,-0.3261066,1.74032,-0.11193397,0.70657045,-0.90340024,0.76506275,-1.1645466,1.4136058,-0.5693521,0.96759254,0.0073601557,-0.63456655,1.0830812,-1.5489224,0.010274034,-1.5364963,-0.58527714,0.11988679,0.5201362,-0.63309973,1.0528784,0.42254382,0.93832946,1.60273,0.92808676,2.9763072,-0.543221,-0.108537145,-0.7630373,0.022933962,0.28374648,1.4556116,3.6924076,-1.6772958,-0.44038463,1.1158257,0.5217944,-2.6182625,-1.9772154,-0.8643829,-1.6702741,1.4058304,2.0619323,-0.69245124,0.013231153,-1.5602821,-0.9053386,-0.50564283,0.045376375,-0.81843394,0.89040816,-2.1211123,0.95784223,0.3670808,-1.372202,-0.25710118,-0.2363691,-0.40160424,-0.74339026,-1.3225745,0.29252723,-0.8241297,-1.5415618,-0.7592573
"0",-1.5178411,0.58900374,1.448727,0.4350109,-2.474548,1.6589254,-3.1201737,-1.3346235,1.3582122,0.49894646,0.6135908,1.4211433,1.9121082,0.13933043,3.2438314,-1.4283768,-0.2883145,1.8714887,2.7133868,0.79920226,-0.25699186,-0.31501833,-0.27430692,1.8250175,-0.008922482,-1.5310671,-0.3256742,-0.33135068,-0.9229263,-1.165363,-1.5625343,-1.2814474,2.7719815,-0.82667816,1.7676741,-0.47582468,-0.9915383,2.9778166,-0.051580664,-2.7607677,1.1663812,1.6795686,-0.8987803,-0.2093909,0.17034408,-0.12418139,0.43993363,-1.5364637,-1.029834,2.017748,1.9059731,0.30502716,-0.9008076,2.065162,-1.1860186,-1.7726274,-0.17581414,0.99682117,1.1469977,0.5787245,-0.17960157,1.8696854,1.9554813,-0.99789226,0.3880225,-1.7621961,0.19093202,0.6505061,-0.6726338,-1.535845,-0.85824037,2.9772458,-0.97061235,-0.9028705,-1.6092637,-0.055376764,-1.238896,0.56451446,-2.5504735,1.434394,0.1999366,0.09668827,-1.2019434,-0.78869146,1.0886878,0.16896592,-1.9533547,-0.8125064,0.13328941,-0.29610038,1.2175761,-0.36524597,1.4211518,-0.044430718,0.118823804,1.3471167,2.854553,-1.4552517,-1.8270245,-1.3729221,-1.5832051,-0.39807332,0.027114121,1.0425022,-1.8403106,0.15652971,0.90149224,1.6278774,-0.23031607,-1.5095923,-3.1529937,3.5484211,-0.1472145,-1.3477722,2.0678768,-2.2460594,0.67713827,0.043733135,-1.7711096,-0.9872999,0.5252967,0.37650457,-0.50656587,0.03379049,-0.15724634,-1.0097692,1.1546288,0.10055831
