CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",-0.43104973,-0.4180872,1.1006515,0.036630817,0.27937877,1.0653765,0.050546758,0.052364383,0.18007274,-0.24934848,-1.263072,-0.0905766,0.7273186,0.16700876,0.41723174,-0.26656523,0.32185674,1.3234946,-1.0701774,-0.046111267,-0.00767863,0.045355923,-0.57585263,-1.4761147,0.17369254,-0.6202245,-0.63929546,0.051654533,-0.11162568,1.0789316,0.05589224,0.1454867,-0.048008464,-0.14342742,1.5627928,0.065028004,0.053534497,0.08588167,-0.5639088,0.48805475,-0.07506911,0.76156455,-0.00487041,0.5352634,0.10796655,0.02299735,0.4833031,-0.58889747,-0.1206526,-0.20529155,-0.687746,1.5985478,0.44069362,0.18025412,0.4761839,0.70636314,-0.067107424,0.06865367,0.482679,0.2343205,0.075105816,-0.18330848,-0.28386557,0.61108136,0.076492295,0.01045735,0.3638727,-0.34133068,-0.6905013,-0.03730688,-0.22524108,-0.46543074,0.27651435,0.4548094,0.19031072,-0.26579908,0.59120136,0.19954555,0.20921466,0.62931967,-0.5364985,0.0611568,0.048847914,0.008013153,1.350285,0.081675366,-1.3922248,-0.4216263,0.027248736,1.1943765,-0.36529124,0.40108785,-0.013290047,-0.5427284,-0.27423248,-0.043306366,0.012794783,-0.42052945,0.18688245,-0.2353872,-1.5712912,0.39442492,0.33967882,-0.27307495,0.7456595,0.8436645,-1.0640845,0.11105927,-0.0901546,-0.08517171,0.48547488,0.26360434,0.31478646,-0.0069350437,-0.023445746,-1.6128415,-0.7371251,-0.23220359,0.40666178,-0.058543317,0.4149161,-0.034696512,-0.064306766,-0.4978781,0.12968974,0.031609405,0.5993181,0.1335593
"!",-0.39381674,0.7123837,0.6528405,-0.2581432,-0.59941083,1.901982,0.4313249,-0.40873665,0.77930623,-1.1536452,-3.212975,0.68603057,1.0013704,1.7966328,-1.3669038,0.3969277,1.2269745,-0.5742999,0.2710569,0.7841863,0.073781736,0.1264798,-0.012668394,-1.1893013,-0.86974794,2.1307704,-0.8391226,1.6125287,1.4126534,2.2629528,-0.06115367,-0.6447757,-1.733856,0.17077443,0.9126704,-0.3737178,0.3044427,-1.5950545,0.5971701,0.37540627,-0.11051398,1.7212529,-0.43735212,2.097915,0.35500407,-0.044754118,-1.0747114,-0.46692008,-0.19389348,0.111936696,2.5720782,0.001609439,-2.1521127,0.5125247,-0.762932,-1.4239002,1.3269578,-2.1949682,0.6195002,0.22147176,-0.57894397,-0.19521256,-1.547861,0.100136735,0.29393613,1.6647629,-0.49303672,0.86292744,0.34241804,-0.29960373,-0.9181691,-0.45083636,1.7845048,-0.052364603,0.5394469,-2.264744,2.2772338,1.1280502,0.15833612,0.24073519,2.2851794,0.912647,-0.5313489,-1.2201315,2.2508235,0.20732284,-1.3840765,-0.5480719,-0.4657786,0.59008586,-1.0956564,-1.1289407,0.78580016,2.3664854,-0.17634258,-0.22603492,1.1276921,0.29148,-0.4721536,1.3509026,-1.3229434,-0.17428567,-0.05956284,2.2081187,0.4061608,0.92871344,-1.0463929,-0.6952419,2.7086947,0.3566983,0.48377645,-1.4052453,-1.2464046,1.4779558,0.41443822,-1.5199022,0.2705718,0.08833772,-0.19809607,0.78312206,0.47396812,0.3349293,2.1160228,1.861148,-0.53447604,1.7896541,0.25494212,-0.5637143
"#",1.3835958,0.23508213,1.2151685,0.9100934,0.45108166,2.6743543,-1.0063822,1.0922521,-0.067312405,-1.2757268,-3.713326,-0.8162253,0.08309226,-0.14625822,1.4266319,2.7532575,0.8942519,0.94983506,-0.85545546,-0.351184,0.61739385,1.405015,-1.7292814,-1.1332475,0.2792395,-1.2270918,-0.22127643,-0.62764317,1.596883,-0.46830568,1.4362808,1.4274832,0.94111073,-0.8230889,1.5179906,-1.6075224,1.9468561,-0.2663597,-1.8004541,-0.85021955,-2.6643617,1.4701942,-0.80703235,3.7100015,0.32226598,0.09605394,-0.4623443,-1.7068557,0.35187984,3.3890438,0.03218871,-0.14475574,-0.5680349,-1.8308612,0.87653816,-1.4799036,2.0405223,0.42843488,1.5054727,-1.3274201,0.07873072,-1.7695025,1.1005723,-1.2784985,-0.3259548,-1.7932041,1.4197333,1.9604206,-1.0154092,-0.19741899,-0.95184267,-1.5699042,0.23194343,-2.4349618,-0.022312319,-0.29376635,1.5389081,2.7730374,0.7519174,-1.8985059,0.07643944,1.3393693,0.24114546,-1.285381,3.0581887,-0.3987854,-1.1905977,-1.331165,-0.1896482,-3.8582354,0.5131362,0.5087795,-1.9472823,1.3469111,1.0275371,0.08501211,-0.6338077,0.75833535,-3.2184181,0.4964998,0.45506683,0.79808956,-0.23266847,3.764575,1.34165,0.484456,-1.796287,0.9570872,0.008759742,0.14932342,-1.5492928,2.7371845,-3.0590923,0.8136111,0.50788206,-0.1612826,4.0852346,-0.5362218,1.923008,0.81333685,-1.117864,1.3857486,0.5614411,-0.9607051,-0.56433076,1.2782898,-1.457291,-0.47217453
"%",0.7993724,-0.48978427,-1.7983885,-0.41058654,-0.49740902,0.751583,-1.1568012,0.6397583,-2.7700498,2.5093293,-1.1612995,0.8568484,2.1636662,0.7320577,-0.94138914,0.36699367,1.3611915,-0.026613649,0.3908046,0.020530546,-0.15981914,0.12398319,-0.7843609,-1.5034666,1.1905904,-2.628973,-0.39627126,0.24711414,1.9820911,0.509433,0.17762518,1.480827,-0.24836877,0.3427585,1.356643,0.37711924,0.3513341,0.3963595,-2.6304238,0.29583064,-1.3169599,0.014133756,-1.5276673,-3.204061,0.86616224,0.9139018,-1.0513057,-1.1389542,1.9018666,-0.2646553,-0.5197225,0.08472866,-1.6594176,-0.3699321,2.1728952,-1.0872073,-1.674828,-1.5642394,-1.0772465,-1.933179,-1.1926607,-0.6451811,0.39389774,1.3515253,-1.3583481,1.0748217,1.3263414,2.4461727,1.6139232,1.9226345,-1.6655939,0.87328076,-1.8966972,-0.8123672,-1.2480477,1.3566351,0.12149973,0.59788144,0.59930986,-2.5045848,0.045591407,1.3819433,-1.0220939,0.71223253,1.9067785,1.1838205,-2.066509,2.631441,-0.6620302,-0.80494994,0.19252142,1.1157576,-0.15170768,0.32047716,0.94244707,0.021272808,-0.58355737,1.8531138,-0.98648345,1.575772,-0.06404132,-0.165631,0.9502193,2.5193386,-0.37521723,-1.710274,-1.2571754,0.07868837,1.1467565,-1.0414946,0.29040593,1.12546,-3.616326,0.51628226,1.5226365,0.06469643,-1.4044232,-1.4826771,-1.2228925,-0.7854421,-0.3069068,1.4069382,-3.6309874,-0.61923116,0.6082688,1.1800218,-2.2791831,-0.35750872
"&",1.2367274,-1.4169916,1.5032936,1.0774679,-3.077424,-0.40437114,-1.4305775,-1.5292805,-0.611491,-4.636177,-0.6965855,-0.6617938,1.3968272,0.36765456,1.2338353,0.7227694,-0.33636716,-0.48655385,-1.8788397,0.50490683,0.08829079,0.32609746,-0.9476658,-1.0610069,0.5744137,-0.6924843,1.2050354,1.8423837,0.32125795,-1.719667,1.555539,-0.013884877,1.0071267,0.1921376,0.84014213,-0.14799787,-1.695252,-0.043267716,-2.1323085,-1.3973078,-1.4253424,0.67868495,-0.8749291,-1.0395766,1.0848786,-0.19198678,-1.7425511,0.43631336,-0.47218293,0.66176647,1.6507436,-1.6441867,-4.904752,0.64373016,0.7337002,-0.9046107,-0.05662556,0.3324863,1.3111002,-1.0341896,-0.5686137,-0.5560696,1.5655844,-1.0990376,0.3180841,-0.39500505,1.6180376,3.1918478,-1.1921328,0.53020805,0.91697973,0.04803683,-0.35233465,-0.17425199,0.9629833,-1.6533436,1.782695,-0.4448357,0.71634275,0.1109985,-1.1236961,1.8017061,-0.88046426,-0.49619204,1.6101587,2.5535374,-0.9798645,1.0637124,0.12734355,0.6702735,1.3248535,1.8944386,-0.4549858,-0.3938314,-0.2188086,0.3068399,1.8315006,1.4424661,-4.4315667,0.6745193,-1.3230692,-2.6978145,1.5841033,0.5942917,-2.2567673,2.8393555,-1.6195086,0.5111599,0.75043035,0.57385474,-1.3168188,3.814668,-3.291031,1.0149255,0.105061,0.81802434,-0.12680228,-0.41704294,-0.6464869,-1.0659275,0.48944998,-0.33568016,0.37252232,1.85088,-1.294719,1.6953589,-1.4330833,-1.806754
"+",0.28523126,0.4937703,2.3267627,-1.2397858,0.9490235,0.17294084,-4.3172846,1.42491,0.29634655,-0.18507928,-1.7873327,0.093449965,0.75311357,0.44832787,0.2462917,0.56827134,-0.25328574,-1.2233305,-0.31554142,-0.44204172,3.4853737,-1.3007917,0.35531756,0.50445116,1.1331965,0.2707033,0.55421764,0.1259529,0.09466945,1.5904589,1.2258396,-0.07035255,-0.23553467,0.45797595,-1.4841624,-0.8084105,1.4477774,0.18904488,-1.4965332,0.5132736,0.90984106,0.95449257,-0.4021134,1.0021249,0.74433994,-0.19094914,-2.283756,2.4225886,1.4896786,0.97111964,0.36902392,0.8873004,-3.353799,1.9820607,-0.5787957,1.0093482,0.7878124,0.47490698,0.85185826,1.2998483,0.24067956,0.15448692,-0.114416696,2.463653,-1.2179109,1.345252,3.2769158,2.6523511,0.5755544,-0.15088546,1.3030745,-0.5043794,-3.4016752,-0.42125186,1.9276711,-0.77397126,1.479561,1.9518727,-0.58930933,-2.7500596,1.3371042,1.0465263,0.61827993,-1.6995679,4.835494,-0.16726539,2.5605364,1.2137098,1.0724983,1.3095876,2.0502696,-0.54325885,-0.30965656,1.4759569,-2.4023187,0.17800565,0.4681896,5.644053,-4.427725,2.285127,-2.711374,-1.8399976,-0.3635145,2.7816744,-2.795035,2.6736655,-2.6041021,1.1812419,0.24613313,-0.93816423,-0.5692754,2.6778867,-2.5199432,0.1821222,2.9380598,-0.65664494,1.6672517,-1.0662692,-1.451697,1.6527578,-0.75883514,-1.9296958,1.2940551,2.0712178,0.23543307,0.909565,-2.7710276,-2.4631164
",",-0.49831748,0.47258937,-0.22329518,-0.12446849,0.22079884,1.7942588,-1.0937828,0.08948792,-0.6842185,0.7626598,-1.720198,-0.16878055,-0.043264687,0.14408965,0.0040730126,1.2286696,-1.170181,-0.5649725,-0.83436185,0.0030711275,-0.060321726,0.67631656,-1.0485804,-1.4270158,0.3083335,-0.16913086,-0.26408517,0.28115728,0.59085476,1.7743664,-0.10392819,0.82951945,-0.4210725,-0.27797925,1.3900036,0.055054087,-0.3591612,-0.06935626,-0.29522917,-0.062008437,0.2826159,0.03739361,0.18725364,0.7474596,-0.06570203,-0.04861109,0.97111243,-0.46945134,-0.80979764,-0.4092517,-0.056328624,1.913151,-0.18236852,0.34040043,0.73353523,0.37186828,0.050847977,-0.44319752,0.5079072,1.0236642,-0.5568544,-1.2861997,-0.39892402,0.7630608,0.034971908,0.0041791005,0.94452274,-0.12820032,-0.73505735,0.21140002,-0.7899669,0.030991826,0.82755053,0.8744022,0.06564354,1.2464439,0.7730459,0.5611596,-0.6909277,0.04186334,-0.6569943,-0.7868975,-0.21142913,-0.009049558,1.8879001,1.0595322,-1.3109213,-0.8880073,-0.22157912,1.8956223,0.0018784858,-1.606647,-0.366412,-0.4091274,0.48820296,-0.042998627,-0.39915258,-0.002277908,0.78525656,-1.0102648,-1.5796853,0.19667694,0.30299443,-0.36005077,0.90995663,-0.8173257,-0.23900506,0.15884222,1.4715928,0.40647385,-0.058358103,-0.031332448,0.4782687,-0.31801972,-1.1203961,-0.65478975,-0.47777617,0.27046272,0.4823775,-0.069481485,-0.13405725,-0.09127654,0.49350113,0.26290125,0.115820125,0.8840571,-0.25657254,-0.65928006
"-",1.0383716,0.95632327,0.9317886,0.1561707,-0.118220024,0.16381888,0.58607554,-0.5204304,0.2928334,0.838449,1.5052434,-0.0069185067,1.0724981,-0.5617586,-1.0399587,0.85364765,0.26575258,0.25975108,-1.0585864,0.3537912,-0.072705835,1.0213106,-0.37364,-1.4812968,0.71806407,1.760496,-0.18018477,-0.72836083,1.5170691,-0.86284566,-0.075594135,1.2741878,-0.5014313,-1.4473989,1.5385301,-0.59282255,1.5236013,0.12009933,-0.6576081,0.28726754,0.3236624,1.113468,-0.59331656,1.1353135,-0.15769185,-0.100881964,1.3998215,0.322168,-0.29118443,-0.14369051,-0.5191403,-0.56095856,0.75492865,-0.7681628,-0.40560043,1.0664654,0.39558735,-0.37690675,0.52343,0.8805727,-0.6869575,-0.49348953,-0.975857,-0.05988212,-0.91485244,0.04474216,-0.81306726,-0.6540844,-0.6247451,-0.40736172,0.05698111,1.5474079,-0.15021162,-0.6036001,-0.15105996,0.29543066,0.9775279,-0.77810925,-0.70188874,-0.8593363,-0.16784802,1.4040956,0.36059317,0.14130671,2.5332685,0.79621,-1.6002074,0.57241297,-0.49871394,0.5237351,-0.28842568,1.5526325,0.1772718,0.11303643,0.7611972,-0.7386291,-0.4480414,1.1798408,-0.30610353,-0.2706093,-0.6636191,-0.063904226,0.85700166,1.14719,-0.53113824,-1.6002218,-1.0544124,-0.7310131,0.96790415,0.40744686,-0.18390898,1.1672437,0.20423967,0.4475959,1.7299582,0.1965685,-0.7265667,0.54612297,-0.559698,0.27952203,-0.59641683,0.40406394,0.3256864,-0.49500462,-0.710669,1.200095,-0.4217236,0.33970076
".",-1.3242491,-0.8464513,-0.015800886,0.08338122,-4.1937275,1.1186924,-2.1241858,-0.03691042,-1.5218341,1.1682085,1.892413,0.11897153,0.8529443,-0.19938606,-1.7928274,1.2699963,2.1704583,-0.39828637,0.544874,0.13635626,-0.11917892,1.6176885,-0.06781442,-0.988979,-0.6393735,1.3047001,1.0763276,0.04183204,1.0321903,1.0678768,0.14710648,0.8368675,0.1684421,-0.37327504,-0.10498327,-0.07407229,-1.6926488,0.35695535,-0.9619193,-0.66266596,0.8548172,1.1491587,0.12584098,0.37085637,0.2103284,-0.0419681,1.0201316,-1.108782,-1.332699,-1.2353901,-0.58541733,1.3204346,-1.043399,0.1872572,2.4253402,-0.029184008,0.048761748,0.12286305,0.6910963,-1.3216982,-0.9298493,1.0521387,1.4844725,0.82104045,0.20443743,0.06997261,-0.45426401,5.0857897,0.8305645,-1.0972537,-1.5922624,1.459568,0.42502576,0.97101307,0.13671678,-1.8115685,0.61309844,0.06930149,0.1933614,0.8309997,-1.2239949,1.7648402,-0.11664022,-0.16671018,3.3986096,1.6586888,-1.4085611,-0.8451254,-0.055875443,1.1202463,0.3784307,-1.9043254,-0.5918182,0.8280038,1.8333311,-0.036895026,-0.12155929,-0.9339976,-2.2964141,2.0076795,0.31514895,1.0828531,2.3773563,2.6610653,-1.4632088,-1.3287011,-5.0855436,0.31734225,1.3210281,0.22556372,0.45128655,-1.1166501,-4.175734,-0.16670996,1.6239887,-2.3125484,-1.7324746,0.72294414,-3.741828,0.15931936,1.4027952,-0.06261856,1.2641058,0.50447094,0.04082373,1.1437658,0.92213935,0.19001655
"0",-1.3331473,1.5772061,0.047490064,0.27990144,0.68686616,0.4037448,0.07192684,0.14002825,0.82281303,0.5191393,0.8747509,0.08005365,1.3631693,-0.57171875,-1.2541966,-0.70281154,0.5198044,-1.0087699,-2.130892,-0.03159069,-0.2666396,0.58544314,-0.86644113,-1.6892496,0.78037775,1.7317306,-1.6971856,0.16586594,0.5560815,0.0015785757,0.14619604,1.6583246,0.41523024,-0.31299692,1.5672374,-0.11595508,1.6486425,-0.4727995,-0.783552,-0.27877975,-0.24457638,0.7416229,0.3248924,-1.9932636,-0.028263893,0.2119107,-1.1217327,0.7072937,1.8878232,-0.8340213,-0.42357618,-2.341896,0.34704956,0.31883603,0.7547223,-0.64492524,0.009613142,0.041042227,-0.21643624,-0.061247617,-1.0449692,1.1630468,1.3622266,1.07347,0.13530992,-0.14245258,1.6387795,2.5841637,-0.09519396,0.4358663,-0.72464854,1.366376,-1.6171228,0.6555292,0.14423954,0.7178207,0.6832978,0.7480405,-1.3978213,-1.4284328,1.3229828,1.6201193,0.20056474,-0.16269211,1.7044188,0.97919714,-1.3741103,2.5082679,0.23799346,0.3621781,-0.59121054,-0.3555899,0.18437749,0.2551625,-0.2547809,-0.37729126,0.24787912,0.92531866,-2.394262,1.3906995,0.29270053,-1.970315,1.2190832,3.7741146,-0.44919753,-0.98762137,-1.9269186,-0.1438373,1.600292,-0.1690537,-1.1145487,2.448409,-3.0884943,0.14178124,2.4641192,1.2891419,-0.73541826,-0.5447049,-2.264139,-0.086975366,-0.26637354,0.13475025,-1.8287108,-0.591661,0.2102281,1.2300235,-0.81100243,-0.025581554
