CHAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
" ",0.7315927,-0.2299375,0.16566713,1.256502,0.37042636,-0.40366444,0.021724578,0.3237336,-0.2705061,0.28734264,-0.18903393,0.24815038,0.037117876,-0.16998073,0.26337802,0.2183055,0.018559625,0.033295162,0.45924902,-0.11632326,0.5205032,-0.46746945,0.030537482,0.058481585,-0.65707225,-0.015675995,0.0149996225,0.24284798,-1.4024799,-0.11473494,-0.31526938,-1.2052728,0.04621069,0.12474724,-0.11857243,0.53730255,0.010298011,0.47862262,-0.13776606,-0.47487172,0.5100157,0.511173,-0.29208192,0.46442947,-0.00070007355,-0.17018206,0.28668824,0.09689864,0.76000553,0.32592317,0.6868479,0.6301107,-0.046699967,0.24775226,-0.094822936,-0.09006261,0.35500133,-0.5591722,0.2412836,0.592272,-0.31206676,0.32120365,0.30001655,-0.018902404,0.12078988,-0.57658494,-0.6704981,0.03882362,0.53336793,0.10392966,0.025325859,-0.10168058,-0.004801749,0.38428724,-0.00084323087,-0.50324106,0.41482303,-0.35016397,-0.050891425,-0.88526565,-0.20463437,0.3564868,-0.3454631,1.2609566,0.08386756,-0.44292694,-0.2129426,0.2877566,-0.048080806,0.469086,-0.08243022,-0.46352583,0.31921217,0.07238254,-0.052160755,0.009080728,0.118390754,-0.35209164,-0.31399482,0.6499546,0.61224735,-0.073985666,-0.42064705,-0.3618097,-0.01360054,1.3691099,0.05774509,0.065932356,-0.45050207,-0.3948953,0.1244987,-0.6662555,-0.061814502,-0.34954944,0.026144013,0.43862864,0.31240982,0.06805234,-0.53653634,-0.042324327,0.01293195,-1.7846174,0.41096047,0.045850635,-0.088186845,-0.6360292,0.03210636,-0.014352577
"!",0.012616167,-0.6173975,-0.41361067,0.286514,-0.20071766,-0.551421,-1.9863327,1.3331147,1.1454256,-0.65877587,3.3137953,-0.8292629,-1.1958411,-1.3640702,-1.7478614,0.9324867,-0.5856994,-0.18896338,0.7563969,-0.7572221,0.2291219,0.95074,-1.5743674,-1.5090618,0.105705574,0.2610068,1.0384848,2.4518003,-1.360667,-0.53083056,-0.34164816,0.57587564,-0.8483167,-0.07024178,-0.06522244,-0.9656694,-1.0580161,-1.7241828,-0.6162399,0.059142925,-0.3822506,0.58008593,-0.22723912,0.010006241,1.6356889,-0.3408452,-1.2980471,0.46698767,2.475908,0.9766146,-0.26690862,0.38672265,1.7402964,-0.104877405,-0.20772985,-0.0017402014,-0.59235615,-1.788489,0.26270586,1.64683,0.014909852,0.60037196,-1.3159697,-0.44539037,1.3891551,-2.153505,0.10717164,2.0321622,-0.24865314,-1.6250684,-1.0836636,0.7049793,0.5054963,0.11666421,-1.0354726,1.4373376,2.251047,0.103302844,1.0188036,-0.5334677,-1.1592455,1.3979577,-0.1206133,0.0708248,0.6322536,-1.8674763,1.0133042,1.5216938,0.078773305,-2.7834957,0.7861884,0.7198846,-1.3716601,0.19870725,1.2768699,-1.9238797,1.139037,1.4282767,-0.788116,0.6210247,0.6011776,-0.3080488,-0.7203718,0.25531724,0.91193056,1.3125142,0.68348783,-0.056066357,1.0406615,-1.1570666,-1.2575165,0.45762554,0.13358644,1.8118758,-1.7415987,-1.225615,0.5375088,-0.6292832,1.4551064,-1.024716,-0.34737474,-2.217904,-0.6446766,0.32840148,-1.7083987,0.5474326,-1.673853,-0.18648721
"#",-0.75445366,-0.7753221,-0.5383863,-0.058302626,1.4472178,0.74755824,-1.4130627,1.6304274,0.9067629,-1.2236882,3.334896,-0.4919967,0.24076186,-0.2207168,-0.5372287,-1.150042,-0.8982046,-0.8663648,-2.0590677,2.0427868,-0.7955414,-0.6300045,-1.5592339,0.4102389,0.39295,1.4756887,-1.5600811,0.8735344,0.10573764,0.12004061,1.3080976,0.7564241,-2.269569,-0.47117865,-2.3813918,-0.64701504,-1.0877392,-4.2253127,-1.6524662,0.9434143,-1.1017267,-3.5887382,0.017969463,-0.7753124,-0.5611134,0.53066456,1.1024894,-0.14510421,1.924142,-1.6807936,-1.3368015,1.162184,0.27212572,-0.6738896,1.4054495,-1.4258534,-0.39183262,-0.84107655,-0.56601363,-0.18941917,2.933192,1.6818281,-2.967394,0.5340561,-0.13132557,-1.6724137,-1.7057828,-0.6066361,-0.9095291,0.3477668,0.16605175,0.92340356,-0.19238152,0.019383408,-1.1421727,0.57807446,2.6953082,-2.1548295,0.09863416,-2.568658,0.1394739,1.22791,1.7749257,0.27862486,-0.5086997,3.127986,0.3916773,0.8912011,0.036114268,-3.6738634,0.227381,-1.0142838,-1.0343305,-1.2869817,1.1807692,-3.8224542,-1.3487442,0.5954395,0.762439,2.160021,-2.4911382,1.2407836,0.31566972,0.59035975,-0.5387742,0.89771247,0.24302077,-2.3735654,-0.652177,-0.3553747,1.1970404,-0.47387815,0.1854424,-0.40997332,-1.7576536,1.2980627,-2.0257316,2.5979466,2.08213,-0.92863613,1.1335747,-0.95158803,-2.2816772,0.2464772,-1.5003737,0.60940266,0.41854113,-0.7066982
"%",0.6423537,-0.51465297,0.2157282,0.757715,0.78350484,1.0632266,0.23871633,-1.6941897,0.9832488,-0.32484612,0.48968205,-1.4233632,-0.70897794,0.30837744,0.55564225,0.2229874,0.26852444,-0.08630252,-0.39819813,3.2067292,-1.277994,2.0572116,0.770647,2.3337405,1.9589192,-2.0885692,-0.10050463,0.64438254,-1.3350707,-1.0795548,-0.35507572,-0.5665799,0.52700305,0.5420367,-0.23875755,0.33520648,-1.1742977,-1.4818052,-0.06275648,0.63667864,-0.038513895,-1.9335654,0.49838036,-1.9555206,1.1145024,0.65881634,0.41075775,0.5366603,2.0112224,0.6839999,1.1359872,0.8966927,-0.09733506,-1.4027563,0.37737647,-1.825535,-0.17429134,0.24849127,-1.3498472,0.5435306,3.2080824,-0.5222607,-1.2686799,0.24178785,0.4046242,-0.45622775,1.815541,-0.23203152,-2.128442,0.8925128,0.38269988,-0.45583832,0.11411588,-0.8329331,0.6841912,-0.07946952,1.0059389,-0.6371177,0.17659956,0.9846387,-0.7218449,-1.6834047,1.3918778,1.6021167,-0.07816485,-0.028553503,-0.5080762,0.90754193,-0.14555009,-2.575287,-1.1474799,-0.74030626,-2.6734529,0.84632975,-0.2541139,-0.15976992,-0.16747473,1.2799553,1.2591525,-1.0537056,-0.15231939,0.6354171,-0.81631935,-1.1094713,-1.479912,1.2844121,-0.24438864,-0.6290345,-0.565144,1.1156958,0.2778645,1.0035698,-1.4224449,0.42917132,-0.23822816,1.0426502,-0.35211596,-1.2764866,1.7942765,1.0513635,0.2908741,-1.2812642,-2.2796917,-1.7135144,-1.2152203,-0.39116067,-0.28742927,-0.4926347
"&",1.3826606,0.08866103,1.6033399,1.5686522,-1.4986467,2.5488803,0.16043434,-0.7255738,0.585918,1.0819421,2.8116605,1.1157562,0.65217626,-0.94707185,-1.5094993,-0.7611118,-0.8849926,1.0519763,0.2947243,3.0432713,-1.9722829,2.5006778,-1.0969139,-1.539786,0.18539539,0.5516946,2.442562,1.9828218,0.64686537,-1.8784692,0.4497881,-0.69442326,-0.59212697,0.1364704,-1.0119542,-2.2183251,-1.1819906,-2.9889944,-1.4102532,-0.072717436,-1.7427634,-3.4428864,0.9629234,1.2035046,0.093836874,0.08243731,-1.1269153,-1.1045384,-0.37719324,-1.2281265,0.102630414,-0.2948729,0.5511049,2.1109998,1.1060293,-0.4272278,-0.982914,0.9420911,-0.7236997,0.08021697,0.7573325,0.81953436,-0.50051934,-2.619105,1.1722544,-2.1768744,0.27957493,-0.5914528,-0.42024136,0.40157858,-0.84928626,-0.45284954,0.2921382,-0.625767,-0.16689326,0.88876355,0.42065918,1.6377281,-1.1531652,0.10744356,0.30461305,-2.0914593,1.2744302,0.062217064,0.6145017,1.9456277,-1.0697173,1.0876911,-1.530571,-0.9427187,0.58466166,-0.5660178,-0.96268445,0.024477046,1.3776081,-1.3443648,0.1672217,1.370102,1.0510688,0.9095929,-0.54558796,-0.12469152,-1.0631304,-0.5812468,0.34293655,-0.5384058,0.07473645,-0.032929983,-0.89971834,-1.1080836,-0.5451903,-0.06934961,-0.022115398,-1.205605,-1.517686,-0.63793343,-0.5338685,0.25393707,-0.45249337,-1.7169454,0.7801273,-0.10493139,-0.2727434,-0.45315623,-0.47857141,1.8441653,-0.6713078,1.5492048
"+",-0.39810163,-0.8586694,0.62041086,1.3255508,1.4735154,0.47675517,-0.4546049,-0.22993194,1.4071966,-0.8344677,2.4223282,-0.22043492,0.04043702,1.7745068,-2.6573062,0.15753134,-1.753548,0.81727374,0.22262318,0.25703117,-1.5934346,1.1232108,-0.70801824,0.5715345,1.2909471,-1.0389894,-0.08069136,1.7395968,-0.58693737,-1.3479505,-0.45595148,-0.588467,-1.0378273,-1.5292777,-2.4835577,-0.19708937,0.18736164,-1.2798896,-1.133766,-0.3613308,0.25295433,-2.3285098,1.045941,-0.6404443,-0.15294464,0.21249802,-1.490372,-0.44049925,3.103151,-0.59048486,-0.43497205,0.868622,-0.69779736,1.5479845,-2.09367,-0.6322615,0.5281238,-1.2289478,-0.47614357,1.5357294,3.9187422,0.16794091,-1.3906254,0.2547311,0.61257815,-1.2573571,1.7011504,0.066896446,-0.87019426,1.1637698,-2.8868499,-0.31010604,-0.91013414,-1.7608751,0.753392,1.8294772,0.9956931,-0.67739004,1.7191793,-0.64059675,-1.2907242,-1.2169858,2.5902183,0.20661984,0.06226632,1.1073728,1.1596607,-0.03632432,0.83363104,-2.7394924,-1.1801624,-1.2303917,0.16047679,0.052271765,0.34353858,-2.3333771,0.62191075,0.8724964,-1.132798,0.049483903,-1.0700394,0.22645558,1.0628546,0.58484876,0.23561707,-0.01343209,0.84816283,0.22563864,0.28691116,0.019925196,-0.16289595,-0.035462867,1.0555713,0.010196793,-0.26514524,-0.22342098,-0.29823008,0.6204851,-0.82242,0.4540202,-0.39370278,-1.5847623,-0.52875364,-0.24566925,-0.42416856,0.09546018,1.1332462,0.92228633
",",0.31942663,0.13875253,0.03389472,0.75368804,-0.0868136,-0.65035516,-0.27858883,-0.07048334,0.18536574,0.6401661,-0.7327988,-0.4213772,-0.11961112,-0.106710255,-0.685994,0.2329339,-0.43707812,0.24000643,0.33658567,-0.45528984,0.45646292,-0.17198855,-0.008473658,0.052886195,-0.33676156,-0.7070849,-0.08902447,0.5082897,-0.9212246,0.43955535,-0.05171725,-0.7771669,0.03676523,-0.09717229,0.013962433,0.22753406,0.2800801,0.07160495,-0.77893394,-0.44353822,-0.4481492,0.1251258,-0.2311272,0.28072748,0.43205526,-0.04377515,-0.52053654,-0.22123237,1.9933273,0.01731033,0.66188455,0.08273243,0.18445428,0.08579512,0.13882731,0.25257227,0.5909062,0.35114098,0.14006427,0.7858191,-0.7237702,0.2483898,0.17377952,-0.3045465,-1.6245213,-0.41216612,-0.32287216,0.028548999,0.4306555,0.6792413,-0.47707292,0.17970055,-0.16176695,-0.07196505,0.2936459,0.11797333,0.19346665,-0.08192933,0.018253772,-0.61449,0.5771623,-0.00048080628,-0.26895976,1.8007126,-0.5456673,-0.30856138,0.7511017,-0.6120919,0.14232081,-0.13022554,-0.08781366,0.0489573,0.56118226,-0.32989126,-0.7025823,-0.4514812,-0.043195385,0.58359134,-0.2847395,0.53748417,0.555984,-0.9655012,0.39153603,0.3519623,0.69488347,1.2780548,0.11120746,0.05607202,0.5629159,-0.14676473,0.3620531,-0.87282693,-0.1793099,-1.0167019,0.11188676,-1.7844452,0.3966471,-0.09569104,-0.22103278,0.038888853,-0.55558294,-1.7929882,-0.30604857,0.49545792,0.10027164,-0.87782484,0.057886142,0.17101797
"-",0.4832724,0.40703708,0.3951451,-0.35786742,0.07467724,0.45928997,-0.3883743,-0.9049728,0.10990823,0.26919767,-0.59906894,0.34746262,0.15618725,-0.3781355,-0.83385,0.9273028,0.36278567,-0.5427995,0.7792634,-0.4102632,0.00032198383,0.45807672,0.3478569,0.9967867,0.30211103,-0.33521703,-0.13741991,-0.62876534,-1.1033493,-0.14984593,-0.074714094,-0.77014697,0.20894973,0.51787525,-0.09698557,-0.28288034,-0.30293757,-0.1732762,-0.86878943,0.79193896,-1.269958,-0.52450323,0.4058958,0.3949974,0.37952283,0.30953422,-0.10705513,-0.044488087,0.56329155,-0.38887337,0.019407423,-0.72860694,-0.06710127,0.6054694,0.38050932,0.33781075,0.3709488,1.1296327,0.83489543,0.815361,-0.6681623,0.57593507,-0.48960528,-0.7905005,-0.6571465,0.9347949,0.48383015,-0.4411806,0.3598836,-0.026892725,-0.44056135,0.062305823,-0.26765236,-0.5928115,0.17174602,-0.39357153,-0.575656,-0.25518045,0.16098417,0.40891272,-0.10145022,-0.103225514,-0.38994843,1.8045883,0.19975527,-0.09109433,0.40212795,-0.067846276,-0.7354138,0.5549331,-0.65335226,0.046830446,0.7016586,-0.5263136,-0.34310094,-0.4651776,0.38762873,0.32820955,0.7352187,-0.017327854,0.23454665,-0.490015,0.57105064,0.6668745,0.43562967,0.9151759,0.1154958,-0.08419592,0.41910565,0.052246284,-0.25174204,0.82709,0.29109973,-0.6749674,-0.8092115,-0.42573935,0.48692307,0.2581322,0.41852978,-0.20364228,0.5293446,-1.7600918,-0.15256673,0.42484948,0.41464877,-1.1794266,0.46968868,0.4807495
".",0.7993733,0.20403337,0.12028771,0.083300486,-0.4667541,-0.46373233,0.24140215,0.2639328,0.62654376,0.91853064,-0.35680464,-0.32400617,-0.0957505,0.039164163,-0.7834977,0.7530155,-0.717444,0.29492125,0.7000861,-0.13921495,1.0328896,-0.3237748,0.021948552,0.03389129,-0.5757966,-1.0237186,0.1906977,0.8994716,-0.79317045,0.34426868,-0.13778223,-0.70672727,0.10081159,0.21230425,0.27115873,0.21852231,-0.05753787,0.3127348,-0.42795292,-0.33516216,-0.31337956,0.19231066,-0.04304122,-0.044017185,0.8949054,-0.2788978,-0.01762,0.14032072,2.3238297,0.008984761,0.6182562,-0.06575583,0.048239402,-0.24304302,0.015390548,-0.059787694,0.44738925,-0.09750298,0.1975059,0.6531717,-0.17782085,0.77043915,0.031504206,0.034275386,-1.472753,-0.6541895,0.42323726,0.0048930626,0.2667425,0.34116197,-0.12554589,-0.03929468,-0.014160687,0.3183751,-0.15357515,0.1154345,0.9614435,-0.22478618,-0.0051356596,-0.47780946,1.1014214,0.14828587,-0.046150178,1.5686364,-0.03511401,-0.38000974,0.6303557,0.10523124,-0.18928088,0.023778154,0.26559237,-0.36770895,0.61674374,0.116030805,-0.37425154,-0.041142054,-0.033857424,0.57312244,-0.013275169,0.520004,-0.47308162,-0.3637846,-0.024095865,0.008607086,0.44486853,0.92357177,-0.042829033,-0.041926827,0.16411942,-0.69929355,0.08324337,-0.98489445,-0.15242149,-0.93799686,-0.3928808,-1.5867602,0.26207173,0.21470906,-0.3653256,-0.23895685,-0.8032827,-1.7001969,-0.30727398,-0.04004247,-0.1318043,-0.73938113,-0.15176167,-0.08247351
"0",1.9563226,-0.5064221,0.24512722,0.75395405,0.9010915,0.93002623,-0.055432163,0.113802284,2.1593192,-0.017142078,2.8754523,0.7895547,-0.56706977,0.76982397,-0.6523885,0.96237826,0.12533946,0.09330441,0.9279431,1.331413,-1.5171297,1.1917458,0.06888802,0.31540063,-0.9020954,-1.3775898,0.07721749,0.81745166,-1.2853513,-0.7178273,0.97680014,-1.3393621,-0.22412376,0.4366953,-0.105917744,0.94257283,0.26781625,-2.467188,-1.7724205,0.2844156,-0.89982307,-1.8763214,0.10397485,-2.1358054,-0.6742899,-0.3080171,0.8272114,-0.12250764,1.5061473,1.2381177,2.026358,-0.6056238,-0.23537591,-1.771801,0.22922307,-0.19672465,1.2297893,-1.6302487,-1.9287493,1.4272549,2.5676289,1.200743,-1.8082443,-0.0073660994,-0.9628839,0.6764624,-0.07726434,0.13872318,-2.6479733,-0.33915034,-0.06990261,-0.12917824,-0.15431279,-0.76617754,0.009199743,-0.93796986,0.44859782,1.593835,-0.22177376,2.0047314,1.758497,-0.039081585,1.8613878,1.2215708,0.1688663,2.427745,-0.2854656,-0.7930529,0.07603048,-2.2642155,0.08144254,-0.9399033,-0.28240255,-0.18389483,-0.6808365,-0.5065627,-0.06551158,-1.4228677,1.1980588,-0.772172,-0.53446335,1.4328446,-0.0712141,0.8972424,-1.583875,1.7250092,-0.14314248,-0.2186126,-1.0695362,1.835995,1.0826898,-0.45686612,0.40065107,0.71840173,0.37812778,-0.094789445,-1.5908965,-0.038983338,1.5832868,0.13639773,0.6021029,-1.4010073,-2.5418801,0.53974617,-0.5357352,-1.1850034,-0.039811246,-0.4281047
